[ T-Deposit ]
    title = [t-deposit] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = all
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1        1   1.0000E+00 # 1
    2        3   1.0000E+00 # 3
    3        4   1.0000E+00 # 4
    4      100   8.3810E+00 # 100
    5      200   8.3810E+00 # 200
    6      300   2.1638E-02 # 300
    7      301   8.6840E-02 # 301
    8      302   2.7232E-02 # 302
    9      303   1.0952E+01 # 303
   10      400   1.4120E-01 # 400
   11      401   3.7811E-01 # 401
   12      402   9.4884E-02 # 402
   13      403   4.7502E-02 # 403
   14      404   9.5106E-02 # 404
   15      405   2.7942E+01 # 405
   16      500   8.1872E-02 # 500
   17      501   2.2396E-02 # 501
   18      600   2.1979E-02 # 600
   19      700   1.0052E+01 # 700
   20      800   2.5164E-02 # 800
   21      801   3.0226E-02 # 801
   22      802   5.0447E-02 # 802
   23      803   1.2649E-01 # 803
   24      804   2.5370E-02 # 804
   25      805   5.0796E-02 # 805
   26      806   5.0883E-02 # 806
   27      807   5.0970E-02 # 807
   28      808   2.6932E+00 # 808
   29      900   1.4195E+00 # 900
   30      910   6.5514E+00 # 910
   31     1000   1.8225E+02 # 1000
   32     1010   4.1889E+02 # 1010
   33     1100   3.0628E+01 # 1100
   34     1110   1.5784E+02 # 1110
   35     1200   1.0269E+02 # 1200
   36     1210   3.6766E+02 # 1210
   37     1300   8.3684E+01 # 1300
   38     1400   1.1816E+02 # 1400
   39     1500   3.4907E+01 # 1500
   40     1600   5.5978E+01 # 1600
   41     1700   4.5888E+01 # 1700
   42     1800   3.8121E+01 # 1800
   43     1900   1.4364E+02 # 1900
   44     2000   1.3975E+02 # 2000
   45     2100   2.3442E+01 # 2100
   46     2200   9.5341E+01 # 2200
   47     2300   1.0724E+02 # 2300
   48     2400   2.5342E+01 # 2400
   49     2500   3.8943E+01 # 2500
   50     2600   2.9857E+02 # 2600
   51     2700   3.2796E+02 # 2700
   52     2800   1.3317E+02 # 2800
   53     2900   3.6732E+02 # 2900
   54     3000   2.6550E+01 # 3000
   55     3100   1.6164E+02 # 3100
   56     3200   3.3693E+02 # 3200
   57     3300   8.3771E+01 # 3300
   58     3400   2.8185E+02 # 3400
   59     3500   5.6033E+02 # 3500
   60     3600   8.1361E+01 # 3600
   61     3700   1.2336E+02 # 3700
   62     3800   3.9009E+02 # 3800
   63     3900   4.0377E+01 # 3900
   64     4000   4.4286E+01 # 4000
   65     4100   2.1145E+02 # 4100
   66     4200   5.5278E+02 # 4200
   67     4300   1.9370E+02 # 4300
   68     4400   3.9090E+02 # 4400
   69     4500   1.1730E+02 # 4500
   70     4600   1.3045E+02 # 4600
   71     4700   5.4592E+01 # 4700
   72     4800   7.5229E+01 # 4800
   73     4900   1.5202E+02 # 4900
   74     5000   3.2264E+02 # 5000
   75     5100   9.8764E+01 # 5100
   76     5200   2.6316E+02 # 5200
   77     5300   5.7941E+01 # 5300
   78     5400   1.8608E+02 # 5400
   79     5500   5.2471E+00 # 5500
   80     5600   5.9001E+01 # 5600
   81     5700   5.1257E+01 # 5700
   82     5800   7.4671E+01 # 5800
   83     6100   1.4576E+03 # 6100
   84     6200   8.1522E+00 # 6200
   85     6300   5.0736E+00 # 6300
   86     6400   8.1522E+00 # 6400
   87     6500   5.0736E+00 # 6500
   88     6600   3.6688E-02 # 6600
   89     6601   1.7856E-01 # 6601
   90     6700   1.0121E+00 # 6700
   91     6701   3.0007E-01 # 6701
   92     6702   5.9379E+00 # 6702
   93     6800   3.6688E-02 # 6800
   94     6801   1.7856E-01 # 6801
   95     6900   1.0121E+00 # 6900
   96     6901   3.0007E-01 # 6901
   97     6902   5.9379E+00 # 6902
   98     7000   1.0052E+01 # 7000
   99     7100   5.6311E+01 # 7100
  100     7200   1.7201E+00 # 7200
  101     7201   1.1503E+00 # 7201
  102     7202   5.7937E+00 # 7202
  103     7203   1.7868E+02 # 7203
  104     7300   2.4038E+02 # 7300
  105     7400   1.4028E+01 # 7400
  106     7401   2.1836E+00 # 7401
  107     7402   5.4888E+00 # 7402
  108     7403   8.1012E+02 # 7403
  109     7500   5.1286E+01 # 7500
  110     7501   2.8525E+02 # 7501
  111     7600   2.9619E+00 # 7600
  112     7601   2.1538E-01 # 7601
  113     7602   1.1247E+02 # 7602
  114     7700   5.2885E+01 # 7700
  115     7800   3.8502E+00 # 7800
  116     7801   2.7831E-01 # 7801
  117     7802   7.2971E+01 # 7802
  118     7900   9.1346E+01 # 7900
  119     8000   2.7229E+00 # 8000
  120     8001   1.9766E-01 # 8001
  121     8002   7.4179E+01 # 8002
  122     8100   3.8462E+01 # 8100
  123     8200   2.6803E+00 # 8200
  124     8201   1.9607E-01 # 8201
  125     8202   1.1277E+02 # 8202
  126     8300   3.3654E+01 # 8300
  127     8400   4.2921E+00 # 8400
  128     8401   3.1202E-01 # 8401
  129     8402   4.6784E+01 # 8402
  130     8500   7.2115E+01 # 8500
  131     8600   3.8550E+01 # 8600
  132     8700   3.6712E+02 # 8700
  133     8800   4.8113E+02 # 8800
  134     8900   1.5417E+02 # 8900
  135     9000   3.6429E+01 # 9000
  136     9100   7.2667E+00 # 9100
  137     9200   1.5816E+02 # 9200
  138     9300   3.7381E+01 # 9300
  139     9400   7.4952E+00 # 9400
  140     9500   2.2264E+03 # 9500
  141     9700   1.3154E+03 # 9700
  142     9900   1.5732E+03 # 9900
  143    10000   1.5455E+01 # 10000
  144    10100   1.5455E+01 # 10100
  145    10200   5.3389E+00 # 10200
  146    10300   1.2617E+02 # 10300
  147    10400   1.0678E+01 # 10400
  148    10500   1.0678E+01 # 10500
  149    10600   1.1436E+03 # 10600
  150    10700   1.4135E+04 # 10700
  151    10800   2.7080E+03 # 10800
  152    10900   1.0372E+04 # 10900
  153    11000   1.8509E+00 # 11000
  154    11001   9.9394E-02 # 11001
  155    11002   4.8007E+01 # 11002
  156    11003   2.1990E+01 # 11003
  157    11300   1.6631E+02 # 11300
  158    11400   6.0312E-01 # 11400
  159    11500   1.7088E+01 # 11500
  160    11600   1.0390E+03 # 11600
  161    11700   1.1903E+04 # 11700
  162    11800   1.6505E+03 # 11800
  163    11900   4.8031E+03 # 11900
  164    12000   4.2721E+01 # 12000
  165    12100   4.2721E+01 # 12100
  166    12200   2.3804E+02 # 12200
  167    12201   7.7778E+00 # 12201
  168    12300   1.1673E+03 # 12300
  169    12301   3.5278E+01 # 12301
  170    12400   5.2866E+02 # 12400
  171    12401   1.7303E+01 # 12401
  172    12500   1.1570E+03 # 12500
  173    12501   3.4701E+01 # 12501
  174    12600   3.6811E+01 # 12600
  175    12700   2.1547E+02 # 12700
  176    12800   1.8872E+01 # 12800
  177    12801   4.1479E-02 # 12801
  178    12900   1.7884E+01 # 12900
  179    13000   1.7884E+01 # 13000
  180    13100   2.5130E+01 # 13100
  181    13200   2.2217E+01 # 13200
  182    13300   1.9993E+01 # 13300
  183    13301   5.1954E+01 # 13301
  184    13400   3.0156E+00 # 13400
  185    13500   8.5442E+00 # 13500
  186    13600   7.5390E+00 # 13600
  187    13700   4.7866E+01 # 13700
  188    13701   1.2671E+00 # 13701
  189    13800   1.9231E+02 # 13800
  190    14000   1.4017E+02 # 14000
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =   reg           # axis of output
     file = phits_deposit_MRCP_AM_source_Liver_photon_energy_10.0.out  # file name of output for the above axis
     part =  all      
