[ T-Deposit ]
    title = [t-deposit] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = all
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1        1   1.0000E+00 # 1
    2        3   1.0000E+00 # 3
    3        4   1.0000E+00 # 4
    4      100   7.4159E+00 # 100
    5      200   7.4159E+00 # 200
    6      300   2.0281E-02 # 300
    7      301   8.1385E-02 # 301
    8      302   2.5520E-02 # 302
    9      303   1.0272E+01 # 303
   10      400   1.3026E-01 # 400
   11      401   3.4880E-01 # 401
   12      402   8.7525E-02 # 402
   13      403   4.3819E-02 # 403
   14      404   8.7739E-02 # 404
   15      405   2.5856E+01 # 405
   16      500   7.5507E-02 # 500
   17      501   2.0808E-02 # 501
   18      600   2.0355E-02 # 600
   19      700   8.8945E+00 # 700
   20      800   2.2267E-02 # 800
   21      801   2.6743E-02 # 801
   22      802   4.4642E-02 # 802
   23      803   1.1192E-01 # 803
   24      804   2.2448E-02 # 804
   25      805   4.4948E-02 # 805
   26      806   4.5023E-02 # 806
   27      807   4.5102E-02 # 807
   28      808   2.3830E+00 # 808
   29      900   2.7925E+02 # 900
   30      910   8.3822E+02 # 910
   31     1300   1.2358E+02 # 1300
   32     1400   1.0455E+02 # 1400
   33     1500   6.4619E+01 # 1500
   34     1700   4.0604E+01 # 1700
   35     1900   1.2702E+02 # 1900
   36     2000   1.2366E+02 # 2000
   37     2100   2.0742E+01 # 2100
   38     2200   8.4362E+01 # 2200
   39     2300   9.4889E+01 # 2300
   40     2400   2.2424E+01 # 2400
   41     2500   3.4459E+01 # 2500
   42     2600   2.8433E+02 # 2600
   43     2700   3.1228E+02 # 2700
   44     2800   2.5599E+02 # 2800
   45     2900   3.2076E+02 # 2900
   46     3000   9.5304E+01 # 3000
   47     3200   2.9518E+02 # 3200
   48     3400   2.5213E+02 # 3400
   49     3500   4.9980E+02 # 3500
   50     3600   7.3069E+01 # 3600
   51     3700   1.1333E+02 # 3700
   52     3800   3.5825E+02 # 3800
   53     3900   3.7185E+01 # 3900
   54     4000   4.0696E+01 # 4000
   55     4100   1.8710E+02 # 4100
   56     4200   4.8913E+02 # 4200
   57     4300   1.7139E+02 # 4300
   58     4400   3.4588E+02 # 4400
   59     4500   1.0379E+02 # 4500
   60     4600   1.1543E+02 # 4600
   61     4700   4.9506E+01 # 4700
   62     4800   6.8303E+01 # 4800
   63     4900   1.3451E+02 # 4900
   64     5000   2.8548E+02 # 5000
   65     5100   8.7391E+01 # 5100
   66     5200   2.3286E+02 # 5200
   67     5300   5.1269E+01 # 5300
   68     5400   1.6466E+02 # 5400
   69     5500   4.6429E+00 # 5500
   70     5600   5.2207E+01 # 5600
   71     5700   4.5355E+01 # 5700
   72     5800   6.6148E+01 # 5800
   73     6100   1.3925E+03 # 6100
   74     6200   7.2272E+00 # 6200
   75     6300   4.4893E+00 # 6300
   76     6400   7.2274E+00 # 6400
   77     6500   4.4893E+00 # 6500
   78     6600   3.4726E-02 # 6600
   79     6601   1.6901E-01 # 6601
   80     6700   9.5795E-01 # 6700
   81     6701   2.8402E-01 # 6701
   82     6702   5.6204E+00 # 6702
   83     6800   3.4724E-02 # 6800
   84     6801   1.6900E-01 # 6801
   85     6900   9.5788E-01 # 6900
   86     6901   2.8400E-01 # 6901
   87     6902   5.6200E+00 # 6902
   88     7000   8.8945E+00 # 7000
   89     7100   4.9826E+01 # 7100
   90     7200   1.5220E+00 # 7200
   91     7201   1.0178E+00 # 7201
   92     7202   5.1265E+00 # 7202
   93     7203   1.5810E+02 # 7203
   94     7300   2.1270E+02 # 7300
   95     7400   1.2413E+01 # 7400
   96     7401   1.9322E+00 # 7401
   97     7402   4.8567E+00 # 7402
   98     7403   7.1683E+02 # 7403
   99     7500   4.5380E+01 # 7500
  100     7501   2.5240E+02 # 7501
  101     7600   2.6208E+00 # 7600
  102     7601   1.9057E-01 # 7601
  103     7602   9.9521E+01 # 7602
  104     7700   4.6795E+01 # 7700
  105     7800   3.4069E+00 # 7800
  106     7801   2.4627E-01 # 7801
  107     7802   6.4568E+01 # 7802
  108     7900   8.0827E+01 # 7900
  109     8000   2.4094E+00 # 8000
  110     8001   1.7490E-01 # 8001
  111     8002   6.5637E+01 # 8002
  112     8100   3.4032E+01 # 8100
  113     8200   2.3716E+00 # 8200
  114     8201   1.7349E-01 # 8201
  115     8202   9.9787E+01 # 8202
  116     8300   2.9778E+01 # 8300
  117     8400   3.7979E+00 # 8400
  118     8401   2.7608E-01 # 8401
  119     8402   4.1407E+01 # 8402
  120     8500   6.3811E+01 # 8500
  121     8600   3.4111E+01 # 8600
  122     8700   3.2484E+02 # 8700
  123     8800   4.2573E+02 # 8800
  124     8900   1.3641E+02 # 8900
  125     9000   3.2234E+01 # 9000
  126     9100   6.4299E+00 # 9100
  127     9200   1.3995E+02 # 9200
  128     9300   3.3076E+01 # 9300
  129     9400   6.6321E+00 # 9400
  130     9500   1.9700E+03 # 9500
  131     9700   1.1639E+03 # 9700
  132     9900   1.3920E+03 # 9900
  133    10000   1.4357E+01 # 10000
  134    10100   1.3675E+01 # 10100
  135    10200   4.7991E+00 # 10200
  136    10300   1.1136E+02 # 10300
  137    10400   9.4480E+00 # 10400
  138    10500   9.3909E+00 # 10500
  139    10600   2.5017E+04 # 10600
  140    11000   1.6379E+00 # 11000
  141    11001   8.7955E-02 # 11001
  142    11002   4.2489E+01 # 11002
  143    11003   1.9458E+01 # 11003
  144    11300   1.4716E+02 # 11300
  145    11400   5.6985E-01 # 11400
  146    11500   1.5121E+01 # 11500
  147    11600   1.6629E+04 # 11600
  148    12000   3.9456E+01 # 12000
  149    12100   3.9474E+01 # 12100
  150    12200   2.8308E+03 # 12200
  151    12201   8.6041E+01 # 12201
  152    12600   3.2868E+01 # 12600
  153    12700   1.9066E+02 # 12700
  154    12800   1.7480E+01 # 12800
  155    12801   3.8418E-02 # 12801
  156    12900   1.5261E+01 # 12900
  157    13000   1.5263E+01 # 13000
  158    13100   2.2236E+01 # 13100
  159    13200   1.9659E+01 # 13200
  160    13300   1.8543E+01 # 13300
  161    13301   4.7888E+01 # 13301
  162    13400   2.8132E+00 # 13400
  163    13500   7.5603E+00 # 13500
  164    13600   6.6708E+00 # 13600
  165    13700   4.1714E+01 # 13700
  166    13701   1.7618E+00 # 13701
  167    13800   1.7016E+02 # 13800
  168    14000   1.2961E+02 # 14000
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =   reg           # axis of output
     file = phits_deposit_MRCP_AM_H165W65_source_Liver_photon_energy_10.0.out  # file name of output for the abo
     file = ve axis
     part =  all      
# kf/name :  0        
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :          88 (  0)           0 (  0)          88 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1

x: Serial Num. of Region
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h:   x      n     n          y(all     ),l3 n   
#  num    reg     volume       all       r.err 
    1       1   1.0000E+00   0.0000E+00  0.0000
    2       3   1.0000E+00   0.0000E+00  0.0000
    3       4   1.0000E+00   0.0000E+00  0.0000
    4     100   7.4159E+00   7.4503E-16  1.0000
    5     200   7.4159E+00   1.4604E-14  1.0000
    6     300   2.0281E-02   0.0000E+00  0.0000
    7     301   8.1385E-02   0.0000E+00  0.0000
    8     302   2.5520E-02   0.0000E+00  0.0000
