Organ ID,Skeletal site,Total fluence (photons/m2/source),Excluded fluence outside Table D.1 range,AM dose (Gy/source),AM mass (kg),Mass fraction,Mass-weighted dose contribution (Gy/source)
1400,Humeri_upper_spongiosa,1.1857934311787484,0.0,2.3058775044198626e-15,0.0269,0.022987523500256374,5.300641332156411e-17
2500,Clavicles_spongiosa,1.3503032390277823,0.0,2.6487218858172053e-15,0.0093,0.007947359425739191,2.1050344845411052e-17
2700,Cranium_spongiosa,0.3182443782891133,0.0,6.452284803828125e-16,0.0889,0.07596991967185099,4.901795582467275e-17
2900,Femora_upper_spongiosa,0.38558339677193687,0.0,6.780537431554357e-16,0.0784,0.06699709451375835,4.5427630715592356e-17
4000,Mandible_spongiosa,0.6329538224679538,0.0,1.2340203473983555e-15,0.0094,0.008032814903435312,9.912657037723932e-18
4200,Pelvis_spongiosa,0.814777210306117,0.0,1.4484622235019783e-15,0.2052,0.17535464023243894,2.5399457209246797e-16
4400,Ribs_spongiosa,5.24252484668117,0.0,1.1356651444927219e-14,0.1888,0.1613399418902752,1.8322814841926675e-15
4600,Scapulae_spongiosa,1.461688643902334,0.0,2.84274023025456e-15,0.0328,0.028029396684327475,7.968029358430148e-17
4800,Cervical spine_spongiosa,0.7626626887043053,0.0,1.4686506847241026e-15,0.0456,0.03896769782943088,5.722993609931559e-17
5000,Thoracic spine_spongiosa,5.483093045709189,0.0,1.1446622727233151e-14,0.1888,0.1613399418902752,1.8467974456517e-15
5200,Lumbar spine_spongiosa,3.580791548628924,0.0,6.911860678567219e-15,0.1439,0.12297043240471718,8.499544963645728e-16
5400,Sacrum_spongiosa,1.1169876390269313,0.0,1.9599933345146864e-15,0.1159,0.09904289864980348,1.9412342118462844e-16
5600,Sternum_spongiosa,4.6873198823700015,0.0,9.95424055320024e-15,0.0363,0.031020338403691686,3.0878391051202254e-16
