
=====================================================================
 Run #0 / Number of event processed : 1000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          1.447e-15              0.073
     200|               8.683          7.107e-15              0.035
     300|               0.022          2.261e-16              0.842
     301|               0.090          6.671e-17              0.707
     302|               0.028          4.592e-17              0.728
     303|              11.291          8.133e-17              0.275
     400|               0.141          1.454e-16              0.775
     401|               0.390          1.091e-16              0.399
     402|               0.098          1.006e-16              0.457
     403|               0.049          9.324e-17              0.402
     404|               0.098          1.459e-16              0.450
     405|              28.808          1.413e-16              0.125
     500|               0.086          2.261e-16              0.406
     501|               0.024          0.000e+00               -nan
     600|               0.023          2.671e-17              0.715
     700|              10.364          4.851e-16              0.110
     800|               0.025          8.524e-16              0.354
     801|               0.031          1.170e-15              0.481
     802|               0.052          1.310e-15              0.265
     803|               0.130          1.211e-15              0.257
     804|               0.026          1.620e-15              0.345
     805|               0.052          9.881e-16              0.267
     806|               0.052          8.281e-16              0.224
     807|               0.053          1.604e-15              0.294
     808|               2.777          1.175e-15              0.125
     900|               1.504          9.981e-17              0.590
     910|               6.944          2.701e-16              0.197
    1000|             193.197          1.383e-15              0.016
    1010|             444.035          9.494e-16              0.013
    1100|              32.463          6.368e-16              0.056
    1110|             167.269          4.704e-16              0.029
    1200|             108.832          7.841e-18              0.267
    1210|             389.741          4.903e-18              0.180
    1300|             159.196          3.867e-16              0.032
    1400|             145.689          3.009e-16              0.040
    1500|              34.244          5.674e-16              0.060
    1600|             106.720          6.345e-16              0.031
    1700|              50.890          5.241e-16              0.051
    1800|              37.397          6.902e-16              0.052
    1900|             273.409          1.923e-16              0.035
    2000|             154.981          3.027e-16              0.039
    2100|              22.996          1.725e-16              0.125
    2200|             181.529          3.241e-17              0.102
    2300|             118.927          3.333e-17              0.128
    2400|              48.252          3.853e-16              0.056
    2500|              45.057          4.078e-16              0.060
    2600|             568.469          5.558e-17              0.045
    2700|             382.073          5.945e-17              0.054
    2800|             253.548          4.240e-17              0.070
    2900|             413.232          5.289e-17              0.053
    3000|              26.045          1.373e-17              0.388
    3100|             307.761          4.442e-18              0.206
    3200|             373.652          2.518e-18              0.271
    3300|              82.179          5.855e-18              0.309
    3400|             536.651          1.064e-18              0.350
    3500|             621.408          8.767e-19              0.344
    3600|              79.815          0.000e+00               -nan
    3700|             234.882          1.140e-18              0.405
    3800|             432.615          1.011e-18              0.386
    3900|              76.877          1.581e-16              0.073
    4000|              56.287          1.794e-16              0.081
    4100|             402.595          1.847e-16              0.027
    4200|             619.672          1.642e-16              0.025
    4300|             368.797          1.975e-15              0.009
    4400|             457.351          2.055e-15              0.009
    4500|             223.333          5.387e-16              0.023
    4600|             156.670          4.512e-16              0.030
    4700|             103.943          1.829e-16              0.053
    4800|              78.915          1.815e-16              0.067
    4900|             289.440          1.604e-15              0.012
    5000|             345.222          2.093e-15              0.010
    5100|             188.047          1.007e-15              0.017
    5200|             291.584          1.192e-15              0.015
    5300|             110.320          2.485e-16              0.044
    5400|             192.224          2.537e-16              0.036
    5500|               9.991          1.836e-15              0.050
    5600|              61.420          1.690e-15              0.027
    5700|              56.331          3.001e-15              0.021
    5800|              82.063          1.665e-15              0.022
    6100|            1517.390          4.740e-17              0.033
    6200|               7.769          8.796e-16              0.098
    6300|               5.180          6.417e-16              0.142
    6400|               7.769          3.116e-15              0.056
    6500|               5.180          2.669e-15              0.074
    6600|               0.039          0.000e+00               -nan
    6601|               0.189          3.898e-16              1.000
    6700|               1.113          8.331e-17              0.589
    6701|               0.308          6.708e-18              1.000
    6702|               6.122          3.064e-17              0.497
    6800|               0.039          0.000e+00               -nan
    6801|               0.189          0.000e+00               -nan
    6900|               1.113          4.342e-17              0.582
    6901|               0.308          4.832e-17              1.000
    6902|               6.122          7.729e-17              0.383
    7000|              10.364          9.552e-15              0.024
    7100|              58.000          9.261e-15              0.013
    7200|               1.784          2.894e-15              0.050
    7201|               1.193          2.889e-15              0.055
    7202|               6.008          2.929e-15              0.038
    7203|             185.286          3.271e-15              0.011
    7300|             250.000          2.626e-15              0.011
    7400|              14.547          9.047e-16              0.038
    7401|               2.264          9.001e-16              0.052
    7402|               5.692          9.455e-16              0.046
    7403|             840.096          9.235e-16              0.010
    7500|              53.337          9.411e-16              0.028
    7501|             296.663          9.242e-16              0.016
    7600|               3.071          1.790e-15              0.079
    7601|               0.223          1.898e-15              0.118
    7602|             116.634          1.763e-15              0.019
    7700|              55.000          1.526e-15              0.029
    7800|               3.993          3.974e-15              0.044
    7801|               0.289          3.722e-15              0.076
    7802|              75.671          4.203e-15              0.016
    7900|              95.000          4.098e-15              0.015
    8000|               2.824          1.678e-15              0.081
    8001|               0.205          1.571e-15              0.124
    8002|              76.924          1.653e-15              0.024
    8100|              40.000          1.675e-15              0.033
    8200|               2.779          7.564e-16              0.107
    8201|               0.203          8.970e-16              0.176
    8202|             116.946          7.130e-16              0.029
    8300|              35.000          8.227e-16              0.048
    8400|               4.451          1.558e-16              0.205
    8401|               0.324          1.470e-16              0.357
    8402|              48.524          1.661e-16              0.082
    8500|              75.000          1.762e-16              0.071
    8600|              39.976          1.153e-16              0.115
    8700|             385.839          2.390e-15              0.009
    8800|             510.000          2.343e-15              0.008
    8900|             162.338          1.026e-15              0.021
    9000|              38.359          1.065e-15              0.041
    9100|               7.652          1.183e-15              0.086
    9200|             166.542          3.916e-15              0.011
    9300|              39.362          4.341e-15              0.022
    9400|               7.892          4.242e-15              0.047
    9500|            2360.000          1.132e-14              0.002
    9700|             545.877          8.275e-16              0.013
    9900|             652.861          2.784e-15              0.007
   10000|              15.949          1.072e-16              0.193
   10100|              15.949          2.483e-15              0.041
   10200|               5.510          1.941e-16              0.217
   10300|             130.204          4.997e-16              0.031
   10400|              11.019          5.797e-16              0.098
   10500|              11.019          9.805e-18              0.711
   10600|            1200.828          1.468e-16              0.021
   10700|           14844.730          5.680e-16              0.003
   10800|            2843.507          3.517e-16              0.009
   10900|           10887.729          6.660e-18              0.033
   11000|               1.919          2.007e-15              0.080
   11001|               0.103          1.528e-15              0.143
   11002|              49.783          2.063e-15              0.027
   11003|              22.870          2.013e-15              0.040
   11300|             173.631          4.550e-15              0.010
   11400|               0.622          3.756e-16              0.653
   11500|              17.618          7.128e-17              0.202
   11600|             975.622          1.106e-16              0.025
   11700|           11176.900          9.270e-16              0.003
   11800|            1549.842          4.367e-16              0.010
   11900|            4510.134          7.296e-18              0.045
   12000|              44.045          1.036e-16              0.116
   12100|              44.045          1.487e-16              0.104
   12200|             259.230          9.782e-17              0.047
   12201|               8.470          8.727e-17              0.132
   12300|            1271.006          6.151e-16              0.009
   12301|              38.418          5.594e-16              0.023
   12400|             575.709          2.958e-16              0.019
   12401|              18.843          2.599e-16              0.048
   12500|            1259.982          6.019e-18              0.084
   12501|              37.790          5.692e-18              0.316
   12600|              37.952          1.249e-15              0.039
   12700|             228.400          1.034e-15              0.018
   12800|              50.727          1.444e-16              0.097
   12801|               0.043          1.648e-16              0.511
   12900|              18.617          1.764e-17              0.438
   13000|              18.617          3.983e-17              0.336
   13100|              25.909          7.073e-16              0.062
   13200|              23.351          4.453e-16              0.084
   13300|              20.993          1.437e-16              0.151
   13301|              54.552          1.412e-16              0.096
   13400|               3.109          1.119e-16              0.499
   13500|               8.809          7.930e-16              0.095
   13600|               7.773          9.265e-16              0.095
   13700|              49.781          1.437e-16              0.087
   13701|               1.318          1.089e-16              0.506
   13800|             200.000          1.383e-16              0.049
   14000|               0.140          1.654e-16              0.223
=====================================================================

