Organ ID,Organ Mass (g),Dose (Gy/source),Relative Error
100,6.816533158,0,0
200,8.648553978,0,0
300,0.008564642407,0,0
301,0.03455088067,0,0
302,0.01089318299,0,0
303,4.374578837,4.230217525e-15,0.6124297651
400,0.1041581236,0,0
401,0.2878573922,0,0
402,0.07230681899,0,0
403,0.03623167406,0,0
404,0.07248044634,0,0
405,14.18033102,2.047194926e-15,0.4045804089
500,0.06614430715,3.440194646e-15,0.7475364567
501,0.01611757951,0,0
600,0.01882475852,7.054495318e-15,0.9999499987
700,8.201122819,2.508778912e-16,0.591975806
800,0.01023395671,0,0
801,0.01263400074,0,0
802,0.02110304104,0,0
803,0.05302815931,0,0
804,0.01065080834,0,0
805,0.02134790499,0,0
806,0.0214100712,0,0
807,0.02146976342,0,0
808,1.179008614,0,0
900,1.905949096,0,0
910,3.007187081,2.91413535e-16,0.9999499987
1000,117.8720728,7.197348393e-17,0.7729702049
1010,239.851239,2.166834751e-16,0.3705808845
1100,46.31249862,0,0
1110,139.5278927,6.92325001e-18,0.9999499987
1200,79.90579478,0,0
1210,355.6121419,0,0
1300,113.6814174,1.861138732e-16,0.4099653473
1400,107.7174853,4.383195043e-16,0.4250501361
1500,20.51623487,0,0
1600,103.2956326,5.917412611e-17,0.9963773368
1700,50.26410179,0,0
1800,20.49282149,0,0
1900,156.7082606,0,0
2000,86.882764,0,0
2100,34.06820067,0,0
2200,105.1315483,1.300792152e-17,0.9999499987
2300,69.36022516,3.881252549e-17,0.9999499987
2400,32.82525024,1.790396891e-16,0.6230471675
2500,38.79822057,2.077800614e-16,0.5795857279
2600,407.6700226,8.205027056e-15,0.04625354484
2700,391.3114656,8.782874029e-15,0.04725928379
2800,244.1262813,0,0
2900,232.8040702,4.985066027e-18,0.9999499987
3000,39.51633699,0,0
3100,240.9294145,0,0
3200,166.3336945,0,0
3300,56.76212663,0,0
3400,544.8452248,0,0
3500,558.529149,0,0
3600,88.8834275,0,0
3700,173.475747,0,0
3800,257.4510646,0,0
3900,45.39409987,1.644129037e-15,0.2786406783
4000,33.47875706,2.332520196e-15,0.300338749
4100,262.4576301,0,0
4200,455.5985823,3.187696846e-18,0.9999499987
4300,164.5039908,1.128477029e-16,0.4473046367
4400,277.3248898,2.153945421e-16,0.3363432804
4500,121.6643961,2.084995744e-16,0.4194084528
4600,96.7301388,4.973100851e-16,0.4299110185
4700,71.59649606,3.265644748e-15,0.1787145972
4800,75.60121987,2.198935648e-15,0.2004001028
4900,205.8277997,2.210733954e-16,0.3532396404
5000,271.9154946,2.046413286e-16,0.3600881729
5100,156.1749221,1.813378968e-17,0.9999499987
5200,264.9755765,0,0
5300,80.24045854,1.351437277e-17,0.9999499987
5400,154.8396845,1.124027415e-17,0.7606802694
5500,1.685296248,1.509276672e-15,0.7995350028
5600,51.3469606,4.384732962e-16,0.4621981979
5700,41.95907372,0,0
5800,69.35056397,1.160899348e-16,0.6730508883
6100,1349.568113,1.790313667e-14,0.01820570886
6200,153.6633058,7.884320792e-17,0.7392616504
6300,102.4914601,8.151350224e-17,0.8945373698
6400,153.6633035,1.295201787e-16,0.6304701799
6500,102.4914614,3.593560515e-16,0.4418414103
6600,0.03888949784,0,0
6601,0.1892705671,0,0
6700,1.100128016,2.316674218e-15,0.9999499987
6701,0.3042709126,0,0
6702,6.050738358,7.46872016e-15,0.4170311219
6800,0.03888931586,0,0
6801,0.189270662,0,0
6900,1.100123805,7.157950123e-15,0.6968727285
6901,0.3042708209,0,0
6902,6.05074075,3.80646642e-15,0.6004167625
7000,8.201118428,0,0
7100,47.99999846,4.067573037e-17,0.6149260141
7200,1.560964175,0,0
7201,1.043729985,0,0
7202,5.256181108,0,0
7203,165.0120124,3.638167797e-17,0.7601990188
7300,230.0000006,1.258082355e-16,0.5359622775
7400,12.34122773,4.909338582e-17,0.9999499987
7401,1.921644613,0,0
7402,4.831023158,0,0
7403,736.6617236,1.431491666e-17,0.8088241582
7500,45.22669119,0,0
7501,234.7733081,4.225189401e-17,0.874327457
7600,4.450855099,0,0
7601,0.3218907158,0,0
7602,107.7839896,1.293618359e-17,0.848187706
7700,100.0070035,0,0
7800,3.680164608,0,0
7801,0.2663179478,0,0
7802,64.84744016,0,0
7900,59.99499313,0,0
8000,2.195965822,0,0
8001,0.159996331,0,0
8002,66.42798484,0,0
8100,30.0050013,1.915802947e-17,0.9999499987
8200,3.020775327,0,0
8201,0.2195368713,0,0
8202,109.3204114,2.867987852e-19,0.9999499987
