Organ ID,Organ Mass (g),Dose (Gy/source),Relative Error
100,6.816533158,0,0
200,8.648553978,4.410236699e-15,0.9994998749
300,0.008564642407,0,0
301,0.03455088067,0,0
302,0.01089318299,0,0
303,4.374578837,0,0
400,0.1041581236,0,0
401,0.2878573922,0,0
402,0.07230681899,0,0
403,0.03623167406,0,0
404,0.07248044634,0,0
405,14.18033102,9.600613918e-17,0.9994998749
500,0.06614430715,0,0
501,0.01611757951,0,0
600,0.01882475852,0,0
700,8.201122819,0,0
800,0.01023395671,0,0
801,0.01263400074,0,0
802,0.02110304104,0,0
803,0.05302815931,0,0
804,0.01065080834,0,0
805,0.02134790499,0,0
806,0.0214100712,0,0
807,0.02146976342,0,0
808,1.179008614,0,0
900,1.905949096,0,0
910,3.007187081,0,0
1000,117.8720728,1.104767232e-15,0.7218118499
1010,239.851239,7.040453081e-16,0.5384772111
1100,46.31249862,1.855537469e-16,0.6569421739
1110,139.5278927,1.843230461e-15,0.5796773162
1200,79.90579478,0,0
1210,355.6121419,0,0
1300,113.6814174,5.508659781e-16,0.9844526334
1400,107.7174853,0,0
1500,20.51623487,0,0
1600,103.2956326,6.554331528e-17,0.9994998749
1700,50.26410179,0,0
1800,20.49282149,0,0
1900,156.7082606,8.005476518e-16,0.9391293179
2000,86.882764,8.892516765e-17,0.9994998749
2100,34.06820067,3.384948939e-16,0.7953376264
2200,105.1315483,0,0
2300,69.36022516,0,0
2400,32.82525024,0,0
2500,38.79822057,0,0
2600,407.6700226,3.644298458e-17,0.9994998749
2700,391.3114656,1.899368834e-17,0.8049382056
2800,244.1262813,4.265380854e-16,0.9190329241
2900,232.8040702,2.145871991e-16,0.8951906182
3000,39.51633699,0,0
3100,240.9294145,0,0
3200,166.3336945,0,0
3300,56.76212663,0,0
3400,544.8452248,0,0
3500,558.529149,0,0
3600,88.8834275,0,0
3700,173.475747,0,0
3800,257.4510646,0,0
3900,45.39409987,0,0
4000,33.47875706,8.378203911e-16,0.9994998749
4100,262.4576301,1.065960648e-16,0.5931604746
4200,455.5985823,8.7043523e-16,0.5727424386
4300,164.5039908,3.065248662e-15,0.3982164159
4400,277.3248898,1.886229209e-15,0.388023291
4500,121.6643961,1.082892601e-15,0.6840915822
4600,96.7301388,1.155723272e-16,0.9994998749
4700,71.59649606,0,0
