
=====================================================================
 Run #0 / Number of event processed : 1000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               6.817          0.000e+00               -nan
     200|               8.649          4.410e-15              0.999
     300|               0.009          0.000e+00               -nan
     301|               0.035          0.000e+00               -nan
     302|               0.011          0.000e+00               -nan
     303|               4.375          0.000e+00               -nan
     400|               0.104          0.000e+00               -nan
     401|               0.288          0.000e+00               -nan
     402|               0.072          0.000e+00               -nan
     403|               0.036          0.000e+00               -nan
     404|               0.072          0.000e+00               -nan
     405|              14.180          9.601e-17              0.999
     500|               0.066          0.000e+00               -nan
     501|               0.016          0.000e+00               -nan
     600|               0.019          0.000e+00               -nan
     700|               8.201          0.000e+00               -nan
     800|               0.010          0.000e+00               -nan
     801|               0.013          0.000e+00               -nan
     802|               0.021          0.000e+00               -nan
     803|               0.053          0.000e+00               -nan
     804|               0.011          0.000e+00               -nan
     805|               0.021          0.000e+00               -nan
     806|               0.021          0.000e+00               -nan
     807|               0.021          0.000e+00               -nan
     808|               1.179          0.000e+00               -nan
     900|               1.906          0.000e+00               -nan
     910|               3.007          0.000e+00               -nan
    1000|             117.872          1.105e-15              0.722
    1010|             239.851          7.040e-16              0.538
    1100|              46.312          1.856e-16              0.657
    1110|             139.528          1.843e-15              0.580
    1200|              79.906          0.000e+00               -nan
    1210|             355.612          0.000e+00               -nan
    1300|             113.681          5.509e-16              0.984
    1400|             107.717          0.000e+00               -nan
    1500|              20.516          0.000e+00               -nan
    1600|             103.296          6.554e-17              0.999
    1700|              50.264          0.000e+00               -nan
    1800|              20.493          0.000e+00               -nan
    1900|             156.708          8.005e-16              0.939
    2000|              86.883          8.893e-17              0.999
    2100|              34.068          3.385e-16              0.795
    2200|             105.132          0.000e+00               -nan
    2300|              69.360          0.000e+00               -nan
    2400|              32.825          0.000e+00               -nan
    2500|              38.798          0.000e+00               -nan
    2600|             407.670          3.644e-17              0.999
    2700|             391.311          1.899e-17              0.805
    2800|             244.126          4.265e-16              0.919
    2900|             232.804          2.146e-16              0.895
    3000|              39.516          0.000e+00               -nan
    3100|             240.929          0.000e+00               -nan
    3200|             166.334          0.000e+00               -nan
    3300|              56.762          0.000e+00               -nan
    3400|             544.845          0.000e+00               -nan
    3500|             558.529          0.000e+00               -nan
    3600|              88.883          0.000e+00               -nan
    3700|             173.476          0.000e+00               -nan
    3800|             257.451          0.000e+00               -nan
    3900|              45.394          0.000e+00               -nan
    4000|              33.479          8.378e-16              0.999
    4100|             262.458          1.066e-16              0.593
    4200|             455.599          8.704e-16              0.573
    4300|             164.504          3.065e-15              0.398
    4400|             277.325          1.886e-15              0.388
    4500|             121.664          1.083e-15              0.684
    4600|              96.730          1.156e-16              0.999
    4700|              71.596          0.000e+00               -nan
    4800|              75.601          1.418e-16              0.999
    4900|             205.828          2.645e-15              0.285
    5000|             271.915          2.017e-15              0.361
    5100|             156.175          2.010e-15              0.390
    5200|             264.976          1.863e-15              0.340
    5300|              80.240          8.929e-16              0.674
    5400|             154.840          9.951e-16              0.754
    5500|               1.685          2.753e-15              0.999
    5600|              51.347          4.875e-15              0.550
    5700|              41.959          2.381e-15              0.956
    5800|              69.351          2.793e-15              0.546
    6100|            1349.568          1.235e-16              0.598
    6200|             153.663          4.817e-16              0.903
    6300|             102.491          3.229e-15              0.471
    6400|             153.663          2.444e-15              0.475
    6500|             102.491          3.430e-15              0.456
    6600|               0.039          0.000e+00               -nan
    6601|               0.189          0.000e+00               -nan
    6700|               1.100          0.000e+00               -nan
    6701|               0.304          0.000e+00               -nan
    6702|               6.051          0.000e+00               -nan
    6800|               0.039          0.000e+00               -nan
    6801|               0.189          0.000e+00               -nan
    6900|               1.100          0.000e+00               -nan
    6901|               0.304          0.000e+00               -nan
    6902|               6.051          0.000e+00               -nan
    7000|               8.201          1.578e-14              0.641
    7100|              48.000          1.264e-14              0.363
    7200|               1.561          6.277e-15              0.668
