
=====================================================================
 Run #0 / Number of event processed : 100000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               6.817          2.852e-16              0.018
     200|               8.649          2.522e-16              0.017
     300|               0.009          1.146e-15              0.082
     301|               0.035          1.184e-15              0.059
     302|               0.011          1.150e-15              0.065
     303|               4.375          1.186e-15              0.011
     400|               0.104          6.302e-15              0.011
     401|               0.288          6.162e-15              0.009
     402|               0.072          6.119e-15              0.011
     403|               0.036          6.170e-15              0.013
     404|               0.072          6.085e-15              0.011
     405|              14.180          6.414e-15              0.003
     500|               0.066          5.393e-15              0.011
     501|               0.016          3.035e-15              0.028
     600|               0.019          2.379e-15              0.031
     700|               8.201          6.184e-14              0.001
     800|               0.010          3.731e-15              0.031
     801|               0.013          3.629e-15              0.030
     802|               0.021          3.753e-15              0.027
     803|               0.053          3.648e-15              0.023
     804|               0.011          3.704e-15              0.032
     805|               0.021          3.692e-15              0.026
     806|               0.021          3.633e-15              0.025
     807|               0.021          3.780e-15              0.026
     808|               1.179          3.689e-15              0.011
     900|               1.906          4.758e-15              0.008
     910|               3.007          5.918e-15              0.006
    1000|             117.872          5.376e-15              0.001
    1010|             239.851          2.169e-15              0.001
    1100|              46.312          2.680e-16              0.007
    1110|             139.528          2.665e-16              0.004
    1200|              79.906          1.327e-18              0.068
    1210|             355.612          1.264e-18              0.035
    1300|             113.681          7.355e-16              0.003
    1400|             107.717          9.584e-16              0.003
    1500|              20.516          6.814e-16              0.007
    1600|             103.296          2.694e-16              0.005
    1700|              50.264          1.569e-16              0.009
    1800|              20.493          3.360e-16              0.010
    1900|             156.708          5.760e-17              0.008
    2000|              86.883          7.261e-17              0.011
    2100|              34.068          5.438e-17              0.019
    2200|             105.132          1.436e-17              0.020
    2300|              69.360          1.572e-17              0.025
    2400|              32.825          7.044e-15              0.002
    2500|              38.798          7.909e-15              0.002
    2600|             407.670          6.636e-16              0.002
    2700|             391.311          8.643e-16              0.001
    2800|             244.126          5.506e-18              0.019
    2900|             232.804          9.787e-18              0.016
    3000|              39.516          3.766e-18              0.062
    3100|             240.929          1.199e-18              0.044
    3200|             166.334          6.193e-19              0.079
    3300|              56.762          1.198e-18              0.089
    3400|             544.845          1.389e-19              0.086
    3500|             558.529          1.900e-19              0.081
    3600|              88.883          9.503e-20              0.276
    3700|             173.476          1.423e-19              0.155
    3800|             257.451          1.143e-19              0.148
    3900|              45.394          3.874e-15              0.002
    4000|              33.479          4.342e-15              0.002
    4100|             262.458          2.302e-17              0.009
    4200|             455.599          2.210e-17              0.008
    4300|             164.504          1.652e-15              0.001
    4400|             277.325          1.795e-15              0.001
    4500|             121.664          1.752e-15              0.002
    4600|              96.730          1.768e-15              0.002
    4700|              71.596          9.041e-15              0.001
    4800|              75.601          9.881e-15              0.001
