Organ ID,Organ Mass (g),Dose (Gy/source),Relative Error
100,6.816533158,8.24411878e-14,0.9826066597
200,8.648553978,2.303633833e-13,0.6216103715
300,0.008564642407,0,0
301,0.03455088067,0,0
302,0.01089318299,0,0
303,4.374578837,0,0
400,0.1041581236,0,0
401,0.2878573922,0,0
402,0.07230681899,0,0
403,0.03623167406,0,0
404,0.07248044634,0,0
405,14.18033102,0,0
500,0.06614430715,0,0
501,0.01611757951,0,0
600,0.01882475852,0,0
700,8.201122819,0,0
800,0.01023395671,0,0
801,0.01263400074,0,0
802,0.02110304104,0,0
803,0.05302815931,0,0
804,0.01065080834,0,0
805,0.02134790499,0,0
806,0.0214100712,0,0
807,0.02146976342,0,0
808,1.179008614,0,0
900,1.905949096,0,0
910,3.007187081,0,0
1000,117.8720728,1.230416708e-14,0.4618278337
1010,239.851239,6.0603254e-15,0.4899517428
1100,46.31249862,3.524134475e-15,0.6238564865
1110,139.5278927,8.529845402e-15,0.4617295646
1200,79.90579478,0,0
1210,355.6121419,2.739355326e-15,0.7271490789
1300,113.6814174,4.784492555e-15,0.7177856239
1400,107.7174853,3.40320587e-15,0.9994998749
1500,20.51623487,8.948670219e-16,0.9994998749
1600,103.2956326,4.471386379e-15,0.7067262737
1700,50.26410179,2.993353273e-14,0.7974492013
1800,20.49282149,0,0
1900,156.7082606,1.025633327e-15,0.9994998749
2000,86.882764,1.668524312e-16,0.9994998749
2100,34.06820067,0,0
2200,105.1315483,0,0
2300,69.36022516,0,0
2400,32.82525024,0,0
2500,38.79822057,0,0
2600,407.6700226,1.129541733e-16,0.7145685063
2700,391.3114656,0,0
2800,244.1262813,5.247936605e-17,0.9994998749
2900,232.8040702,4.630165097e-18,0.9994998749
3000,39.51633699,0,0
3100,240.9294145,0,0
3200,166.3336945,0,0
3300,56.76212663,0,0
3400,544.8452248,0,0
3500,558.529149,0,0
3600,88.8834275,0,0
3700,173.475747,0,0
3800,257.4510646,0,0
3900,45.39409987,0,0
4000,33.47875706,0,0
4100,262.4576301,2.575655251e-16,0.9994998749
4200,455.5985823,3.360324443e-15,0.8973618857
4300,164.5039908,9.133162984e-15,0.2822043216
4400,277.3248898,1.258313294e-14,0.2714024332
4500,121.6643961,1.113281754e-14,0.6034345801
4600,96.7301388,7.67027276e-15,0.9174951079
4700,71.59649606,1.765077542e-16,0.9994998749
4800,75.60121987,0,0
4900,205.8277997,9.003969904e-15,0.3714284125
5000,271.9154946,1.100329734e-14,0.4958631256
5100,156.1749221,1.24733683e-14,0.3516359221
5200,264.9755765,8.857562454e-15,0.4693161622
5300,80.24045854,5.328590126e-16,0.9587257409
5400,154.8396845,7.313292085e-15,0.9994998749
5500,1.685296248,0,0
5600,51.3469606,0,0
5700,41.95907372,2.562838307e-14,0.4295537547
5800,69.35056397,8.611772762e-15,0.5942430793
6100,1349.568113,9.575792272e-17,0.9994998749
6200,153.6633058,1.237381391e-15,0.7618299066
6300,102.4914601,1.893855082e-15,0.9994998749
6400,153.6633035,5.703470622e-15,0.5633872584
6500,102.4914614,9.906861292e-15,0.7537368854
6600,0.03888949784,0,0
6601,0.1892705671,0,0
6700,1.100128016,0,0
6701,0.3042709126,0,0
6702,6.050738358,0,0
6800,0.03888931586,0,0
6801,0.189270662,0,0
6900,1.100123805,0,0
6901,0.3042708209,0,0
6902,6.05074075,0,0
7000,8.201118428,6.242280313e-14,0.5291337502
7100,47.99999846,4.129994531e-14,0.471383405
7200,1.560964175,2.926141847e-14,0.6963852336
7201,1.043729985,1.696351466e-14,0.6199323361
7202,5.256181108,1.135879862e-14,0.4071582539
7203,165.0120124,1.663649695e-14,0.3343495095
7300,230.0000006,1.690479094e-14,0.4612747654
7400,12.34122773,4.815734052e-15,0.5058541199
7401,1.921644613,8.122524473e-15,0.6792085514
7402,4.831023158,3.942623111e-15,0.5036059039
7403,736.6617236,7.098365148e-15,0.393490015
7500,45.22669119,6.81266205e-15,0.6609600735
7501,234.7733081,6.383806567e-15,0.5692049074
7600,4.450855099,0,0
7601,0.3218907158,0,0
7602,107.7839896,3.359896772e-15,0.9020880254
7700,100.0070035,5.684472969e-17,0.9994998749
7800,3.680164608,3.169158958e-14,0.9994998749
7801,0.2663179478,4.613415008e-14,0.9994998749
7802,64.84744016,1.008071231e-14,0.9842560504
7900,59.99499313,1.074722732e-14,0.9994998749
8000,2.195965822,7.586117395e-15,0.9994998749
8001,0.159996331,5.930435156e-15,0.9994998749
8002,66.42798484,5.315377243e-15,0.9994998749
8100,30.0050013,2.180008101e-14,0.9994998749
8200,3.020775327,0,0
8201,0.2195368713,0,0
8202,109.3204114,6.845062484e-15,0.9362282116
8300,50.00299463,3.227968972e-17,0.9994998749
8400,4.222046558,0,0
8401,0.3059269267,0,0
8402,51.76085913,1.032445283e-16,0.7067671506
8500,79.99299661,2.035317983e-16,0.9994998749
8600,31.26769463,0,0
8700,290.8899695,2.447312625e-14,0.3284732061
8800,370.000006,1.148735947e-14,0.4827845365
8900,149.091082,1.806865432e-14,0.5979614358
9000,37.44117633,2.754810528e-15,0.9994998749
9100,7.494248016,0,0
9200,125.1467025,2.062486761e-14,0.4327575041
9300,31.43977766,4.832848729e-14,0.7645027076
9400,6.291959956,1.038221209e-14,0.9994998749
9500,1810.000002,4.701665888e-14,0.1092163738
9700,427.255635,6.054165025e-15,0.5265485081
9900,522.5177096,1.438853754e-14,0.2930500121
10000,12.69547045,0,0
10100,12.69544257,4.646918595e-15,0.9994998749
10200,4.385693184,0,0
10300,103.6409332,5.746518703e-15,0.556897411
10400,8.77145648,3.409084411e-14,0.898832827
10500,8.771395776,0,0
10600,445.0216281,0,0
10700,8324.972881,4.887753581e-15,0.1371572642
10800,1479.723864,3.428429938e-15,0.3512498732
10900,7676.719927,1.718337263e-17,0.7237944443
11000,1.871018153,3.099067322e-14,0.698821128
11001,0.1006174688,2.605294739e-14,0.7363906216
11002,41.24658622,1.273894745e-14,0.5919756255
11003,21.24000375,2.226625331e-14,0.8029211789
11100,6.318272095,0,0
11200,6.318275589,2.523826424e-14,0.9994998749
11300,144.55162,2.319612142e-14,0.4381016019
11400,0.6150875891,0,0
11600,844.5432189,7.059781776e-16,0.695483186
11700,11513.36291,5.500992456e-15,0.09492305856
11800,2171.587829,3.587530045e-15,0.2499717764
11900,7795.947644,2.490134299e-16,0.5969713339
12000,35.87984162,0,0
12100,35.87987862,0,0
12200,155.5820784,9.917371792e-16,0.9994998749
12201,6.3244838,7.554136931e-16,0.9994998749
12300,871.6032649,5.308875865e-15,0.1555024043
12301,32.36827261,8.773127965e-15,0.2345016591
12400,380.9053944,3.150038698e-15,0.3062086033
12401,15.59845875,3.297397871e-15,0.4440441301
12500,924.5843397,1.878684825e-16,0.7067830061
12501,35.0246294,3.30819614e-16,0.9994998749
12600,19.09830624,1.583083693e-15,0.9994998749
12700,187.3999946,1.165787082e-14,0.5113170296
12800,40.56239654,0,0
12801,0.03608964952,0,0
13100,20.50279131,2.288772981e-14,0.997936385
13200,19.45530683,0,0
13300,20.99518908,0,0
13301,40.41533026,0,0
13400,3.075414924,0,0
13500,7.688548223,1.237758464e-14,0.9994998749
13600,7.688548547,1.400743508e-15,0.9994998749
13700,39.45905292,1.219238106e-16,0.9994998749
13701,1.345473856,0,0
13800,199.9999984,1.334165661e-17,0.9994998749
13900,81.99316852,1.979791249e-17,0.9994998749
14000,0.03600626171,0,0
