
=====================================================================
 Run #0 / Number of event processed : 1000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               6.817          3.438e-16              0.999
     200|               8.649          0.000e+00               -nan
     300|               0.009          0.000e+00               -nan
     301|               0.035          0.000e+00               -nan
     302|               0.011          0.000e+00               -nan
     303|               4.375          0.000e+00               -nan
     400|               0.104          0.000e+00               -nan
     401|               0.288          0.000e+00               -nan
     402|               0.072          0.000e+00               -nan
     403|               0.036          0.000e+00               -nan
     404|               0.072          0.000e+00               -nan
     405|              14.180          0.000e+00               -nan
     500|               0.066          0.000e+00               -nan
     501|               0.016          0.000e+00               -nan
     600|               0.019          0.000e+00               -nan
     700|               8.201          0.000e+00               -nan
     800|               0.010          0.000e+00               -nan
     801|               0.013          0.000e+00               -nan
     802|               0.021          0.000e+00               -nan
     803|               0.053          0.000e+00               -nan
     804|               0.011          0.000e+00               -nan
     805|               0.021          0.000e+00               -nan
     806|               0.021          0.000e+00               -nan
     807|               0.021          0.000e+00               -nan
     808|               1.179          0.000e+00               -nan
     900|               1.906          0.000e+00               -nan
     910|               3.007          0.000e+00               -nan
    1000|             117.872          1.527e-14              0.397
    1010|             239.851          3.283e-16              0.675
    1100|              46.312          7.776e-17              0.999
    1110|             139.528          3.334e-15              0.904
    1200|              79.906          0.000e+00               -nan
    1210|             355.612          0.000e+00               -nan
    1300|             113.681          3.866e-15              0.951
    1400|             107.717          4.641e-17              0.973
    1500|              20.516          0.000e+00               -nan
    1600|             103.296          6.380e-15              0.769
    1700|              50.264          1.311e-14              0.999
    1800|              20.493          4.493e-14              0.999
    1900|             156.708          3.002e-15              0.999
    2000|              86.883          0.000e+00               -nan
    2100|              34.068          0.000e+00               -nan
    2200|             105.132          0.000e+00               -nan
    2300|              69.360          0.000e+00               -nan
    2400|              32.825          0.000e+00               -nan
    2500|              38.798          0.000e+00               -nan
    2600|             407.670          1.167e-15              0.986
    2700|             391.311          1.201e-15              0.978
    2800|             244.126          6.475e-17              0.999
    2900|             232.804          0.000e+00               -nan
    3000|              39.516          0.000e+00               -nan
    3100|             240.929          0.000e+00               -nan
    3200|             166.334          0.000e+00               -nan
    3300|              56.762          0.000e+00               -nan
    3400|             544.845          0.000e+00               -nan
    3500|             558.529          0.000e+00               -nan
    3600|              88.883          0.000e+00               -nan
    3700|             173.476          0.000e+00               -nan
    3800|             257.451          0.000e+00               -nan
    3900|              45.394          0.000e+00               -nan
    4000|              33.479          0.000e+00               -nan
    4100|             262.458          1.396e-15              0.557
    4200|             455.599          3.707e-15              0.723
    4300|             164.504          1.314e-14              0.261
    4400|             277.325          1.191e-14              0.304
    4500|             121.664          7.702e-15              0.870
    4600|              96.730          1.012e-14              0.708
    4700|              71.596          3.032e-15              0.999
    4800|              75.601          1.168e-15              0.999
    4900|             205.828          1.448e-14              0.319
    5000|             271.915          1.461e-14              0.374
    5100|             156.175          1.877e-14              0.369
    5200|             264.976          1.976e-14              0.325
    5300|              80.240          5.147e-15              0.502
    5400|             154.840          2.468e-15              0.760
    5500|               1.685          4.175e-15              0.999
    5600|              51.347          8.789e-15              0.999
    5700|              41.959          3.167e-14              0.652
    5800|              69.351          2.325e-14              0.378
    6100|            1349.568          2.801e-15              0.563
    6200|             153.663          5.933e-16              0.999
    6300|             102.491          6.264e-17              0.939
    6400|             153.663          9.315e-15              0.642
    6500|             102.491          1.136e-14              0.618
    6600|               0.039          0.000e+00               -nan
    6601|               0.189          0.000e+00               -nan
    6700|               1.100          0.000e+00               -nan
    6701|               0.304          0.000e+00               -nan
    6702|               6.051          0.000e+00               -nan
    6800|               0.039          0.000e+00               -nan
    6801|               0.189          0.000e+00               -nan
    6900|               1.100          0.000e+00               -nan
    6901|               0.304          0.000e+00               -nan
    6902|               6.051          0.000e+00               -nan
    7000|               8.201          4.365e-14              0.505
    7100|              48.000          6.152e-14              0.571
    7200|               1.561          1.117e-14              0.599
    7201|               1.044          1.448e-14              0.632
    7202|               5.256          1.156e-14              0.605
    7203|             165.012          1.361e-14              0.481
    7300|             230.000          1.044e-14              0.438
    7400|              12.341          1.393e-14              0.435
    7401|               1.922          1.048e-14              0.358
    7402|               4.831          1.227e-14              0.486
    7403|             736.662          9.760e-15              0.316
    7500|              45.227          1.401e-14              0.402
    7501|             234.773          7.418e-15              0.357
    7600|               4.451          6.143e-15              0.669
    7601|               0.322          1.784e-15              0.999
    7602|             107.784          3.149e-15              0.937
    7700|             100.007          1.417e-14              0.897
    7800|               3.680          7.457e-15              0.999
    7801|               0.266          4.429e-15              0.999
    7802|              64.847          6.077e-15              0.983
    7900|              59.995          2.342e-14              0.867
    8000|               2.196          3.658e-15              0.999
    8001|               0.160          0.000e+00               -nan
    8002|              66.428          5.190e-15              0.999
    8100|              30.005          6.102e-18              0.999
    8200|               3.021          0.000e+00               -nan
    8201|               0.220          0.000e+00               -nan
    8202|             109.320          3.116e-16              0.786
    8300|              50.003          3.713e-16              0.999
    8400|               4.222          1.594e-15              0.999
    8401|               0.306          1.691e-15              0.999
    8402|              51.761          9.342e-16              0.999
    8500|              79.993          3.414e-15              0.994
    8600|              31.268          0.000e+00               -nan
    8700|             290.890          1.335e-14              0.364
    8800|             370.000          9.983e-15              0.456
    8900|             149.091          5.939e-15              0.971
