
=====================================================================
 Run #0 / Number of event processed : 1000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               6.817          0.000e+00               -nan
     200|               8.649          0.000e+00               -nan
     300|               0.009          0.000e+00               -nan
     301|               0.035          0.000e+00               -nan
     302|               0.011          0.000e+00               -nan
     303|               4.375          0.000e+00               -nan
     400|               0.104          8.195e-15              0.999
     401|               0.288          1.009e-14              0.999
     402|               0.072          9.645e-15              0.999
     403|               0.036          6.779e-15              0.999
     404|               0.072          6.849e-15              0.999
     405|              14.180          4.805e-14              0.496
     500|               0.066          3.121e-14              0.615
     501|               0.016          0.000e+00               -nan
     600|               0.019          1.386e-14              0.999
     700|               8.201          1.837e-13              0.353
     800|               0.010          1.116e-14              0.999
     801|               0.013          1.752e-14              0.999
     802|               0.021          7.423e-14              0.999
     803|               0.053          2.328e-14              0.999
     804|               0.011          2.409e-14              0.999
     805|               0.021          2.090e-14              0.999
     806|               0.021          1.290e-14              0.999
     807|               0.021          2.518e-14              0.999
     808|               1.179          3.755e-14              0.999
     900|               1.906          8.514e-14              0.736
     910|               3.007          0.000e+00               -nan
    1000|             117.872          1.774e-14              0.348
    1010|             239.851          3.668e-15              0.426
    1100|              46.312          0.000e+00               -nan
    1110|             139.528          0.000e+00               -nan
    1200|              79.906          0.000e+00               -nan
    1210|             355.612          0.000e+00               -nan
    1300|             113.681          1.952e-15              0.946
    1400|             107.717          9.640e-15              0.950
    1500|              20.516          0.000e+00               -nan
    1600|             103.296          0.000e+00               -nan
    1700|              50.264          0.000e+00               -nan
    1800|              20.493          0.000e+00               -nan
    1900|             156.708          0.000e+00               -nan
    2000|              86.883          0.000e+00               -nan
    2100|              34.068          0.000e+00               -nan
    2200|             105.132          0.000e+00               -nan
    2300|              69.360          0.000e+00               -nan
    2400|              32.825          2.229e-14              0.518
    2500|              38.798          5.755e-14              0.491
    2600|             407.670          4.612e-15              0.657
    2700|             391.311          3.082e-15              0.451
    2800|             244.126          1.008e-15              0.999
    2900|             232.804          2.070e-15              0.999
    3000|              39.516          0.000e+00               -nan
    3100|             240.929          0.000e+00               -nan
    3200|             166.334          0.000e+00               -nan
    3300|              56.762          0.000e+00               -nan
    3400|             544.845          0.000e+00               -nan
    3500|             558.529          0.000e+00               -nan
    3600|              88.883          0.000e+00               -nan
    3700|             173.476          0.000e+00               -nan
    3800|             257.451          0.000e+00               -nan
    3900|              45.394          1.572e-14              0.678
    4000|              33.479          5.186e-15              0.889
    4100|             262.458          2.980e-18              0.999
    4200|             455.599          9.576e-18              0.999
    4300|             164.504          6.837e-15              0.432
    4400|             277.325          7.742e-15              0.400
    4500|             121.664          1.460e-14              0.612
    4600|              96.730          4.625e-15              0.506
    4700|              71.596          7.882e-14              0.261
    4800|              75.601          9.807e-14              0.257
    4900|             205.828          1.337e-14              0.348
