Organ ID,Organ Mass (g),Dose (Gy/source),Relative Error
100,8.682739522,5.43969721e-17,0.1163150533
200,8.682743132,3.878765811e-17,0.1322880087
300,0.02230901101,2.109127256e-15,0.1120061276
301,0.0895317114,2.172940419e-15,0.08211826524
302,0.02807649465,2.099069631e-15,0.08606038669
303,11.29120583,2.183314634e-15,0.01735936462
400,0.1412003875,4.194253374e-15,0.03566450752
401,0.3898324431,4.164071693e-15,0.02902669065
402,0.09782525444,3.882641021e-15,0.03633266825
403,0.04897425007,4.048985494e-15,0.04315765826
404,0.09805441234,4.067566885e-15,0.03500635819
405,28.8084848,4.118780907e-15,0.007862681527
500,0.08596550428,1.960048864e-15,0.04799603036
501,0.02351556738,2.756326478e-15,0.07829003119
600,0.02307768472,1.755556956e-15,0.1016088996
700,10.36360878,3.857815473e-16,0.03955153686
800,0.02516398227,1.644337887e-16,0.2822103257
801,0.0311633586,1.829185644e-16,0.2953578867
802,0.05201120782,1.885175079e-16,0.2515305854
803,0.130411126,2.194147701e-16,0.1896646001
804,0.02615675687,1.976191362e-16,0.2248216846
805,0.05236504327,1.843508994e-16,0.2434650157
806,0.05246035062,1.489993709e-16,0.2296526509
807,0.05255009106,1.344334773e-16,0.2539191258
808,2.776674508,1.479790087e-16,0.10034936
900,1.504030783,1.22090679e-15,0.05471147183
910,6.943591123,1.286919573e-15,0.02633148026
1000,193.1967825,7.039374585e-17,0.02120122969
1010,444.0353949,6.487307275e-17,0.01509535515
1100,32.46345325,1.902664671e-17,0.09365498281
1110,167.2694021,2.323996206e-17,0.04157814375
1200,108.8315671,1.258843637e-19,0.6030278454
1210,389.7405461,1.696650727e-19,0.2810695405
1300,159.1964517,1.480488403e-16,0.01685861634
1400,145.6886557,2.218786955e-16,0.01529106397
1500,34.24398254,8.092905055e-17,0.04824945541
1600,106.7201246,3.05050121e-17,0.04235961526
1700,50.88978932,1.767726838e-17,0.0850209785
1800,37.39695522,3.885163098e-17,0.06494216338
1900,273.4089197,5.378332073e-18,0.06401361349
2000,154.9809855,9.062399402e-18,0.06954045002
2100,22.99634576,4.646353355e-18,0.2533239105
2200,181.5289885,1.873602713e-18,0.1346205525
2300,118.9268866,2.053566789e-18,0.1605552913
2400,48.25181227,3.561604237e-16,0.01911395966
2500,45.05701336,3.84389046e-16,0.02025165373
2600,568.4694168,7.210114384e-15,0.001335905863
2700,382.0729263,7.840512949e-15,0.001606408161
2800,253.5475846,1.007379009e-18,0.1379231301
2900,413.2322922,1.438555551e-18,0.09738218275
3000,26.04535047,3.699095912e-19,0.6632037812
3100,307.7609735,1.061711422e-19,0.3662384678
3200,373.6519545,3.834973687e-20,0.5220665688
3300,82.17888246,1.582352105e-19,0.6829247161
3400,536.6511904,7.160599866e-21,0.4951038565
3500,621.4076463,3.798626387e-20,0.4505453931
3600,79.81493797,0,0
3700,234.8823428,1.481562631e-20,0.7762631022
3800,432.6150424,2.049643872e-20,0.8156521492
3900,76.87705058,1.828045813e-15,0.00699448308
4000,56.28731655,1.623412038e-15,0.008826301617
4100,402.5946743,3.463745019e-18,0.06054828344
4200,619.6715755,3.350641951e-18,0.05340058989
4300,368.7971196,1.02613323e-16,0.01186069681
4400,457.3511943,1.052688123e-16,0.0114606802
4500,223.3331223,2.295970299e-16,0.01109937616
4600,156.6702568,2.636419522e-16,0.01295172949
4700,103.9434066,1.917518702e-15,0.005764099257
4800,78.91527128,2.169665456e-15,0.006562883505
4900,289.4401291,1.388724552e-16,0.01206264741
5000,345.2217733,1.257785956e-16,0.01232469903
5100,188.0474514,1.309521429e-17,0.04370347456
5200,291.5843646,1.258062811e-17,0.03943799526
5300,110.3202883,4.610013275e-18,0.09335699256
5400,192.223999,4.914625144e-18,0.08036294917
5500,9.990523425,1.456051919e-16,0.05175911203
5600,61.42008372,1.523114323e-16,0.02719084299
5700,56.33146379,4.832445185e-17,0.04715476365
5800,82.06297946,1.448271165e-16,0.02262220359
6100,1517.389678,1.602387973e-14,0.0005735677226
6200,7.769025257,8.521414236e-17,0.09882108132
6300,5.180134068,8.180012888e-17,0.1283601126
6400,7.769029193,8.677876079e-17,0.1014827168
6500,5.180136443,8.736832146e-17,0.1243190714
6600,0.03888948808,3.138210819e-15,0.1835968354
6601,0.1892705688,3.13833326e-15,0.1044794977
6700,1.113285069,4.053979909e-15,0.03206382589
6701,0.3075716047,3.232468212e-15,0.07945612555
6702,6.12199394,3.97416933e-15,0.01788063449
6800,0.03888931397,3.589836594e-15,0.1729407964
6801,0.1892706524,3.658838424e-15,0.09837887571
6900,1.113281696,4.192147657e-15,0.03135206802
6901,0.307571592,3.524229165e-15,0.07742302517
6902,6.12199522,4.26634674e-15,0.01724185077
7000,10.36361276,4.0353281e-17,0.1130141221
7100,57.99999933,3.467396486e-17,0.05663075598
7200,1.783738388,3.392295558e-17,0.1387200827
7201,1.192821131,3.734051327e-17,0.1463941751
7202,6.008017357,3.482188272e-17,0.09730020496
7203,185.2860985,3.885981535e-17,0.02878889485
7300,249.9999865,3.48271236e-17,0.02720830704
7400,14.54747904,1.397037022e-17,0.1024189535
7401,2.264442035,1.361617686e-17,0.1610715042
7402,5.691843593,1.347907891e-17,0.1301203723
7403,840.0963485,1.204556406e-17,0.02454536229
7500,53.33739729,1.247608435e-17,0.07108398255
7501,296.6626081,1.14144293e-17,0.04080577115
7600,3.071450222,6.922516226e-18,0.2818323281
7601,0.2233495664,1.121575556e-17,0.4448512325
7602,116.6341778,1.325902829e-17,0.06254326001
