
=====================================================================
 Run #0 / Number of event processed : 10000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          0.000e+00               -nan
     200|               8.683          0.000e+00               -nan
     300|               0.022          0.000e+00               -nan
     301|               0.090          0.000e+00               -nan
     302|               0.028          0.000e+00               -nan
     303|              11.291          5.404e-16              0.921
     400|               0.141          7.320e-15              1.000
     401|               0.390          7.013e-15              1.000
     402|               0.098          4.958e-15              1.000
     403|               0.049          7.252e-16              1.000
     404|               0.098          5.130e-16              1.000
     405|              28.808          2.950e-15              0.303
     500|               0.086          0.000e+00               -nan
     501|               0.024          0.000e+00               -nan
     600|               0.023          0.000e+00               -nan
     700|              10.364          4.914e-16              1.000
     800|               0.025          0.000e+00               -nan
     801|               0.031          0.000e+00               -nan
     802|               0.052          0.000e+00               -nan
     803|               0.130          0.000e+00               -nan
     804|               0.026          0.000e+00               -nan
     805|               0.052          0.000e+00               -nan
     806|               0.052          0.000e+00               -nan
     807|               0.053          0.000e+00               -nan
     808|               2.777          0.000e+00               -nan
     900|               1.504          5.767e-15              0.713
     910|               6.944          1.119e-16              0.629
    1000|             193.197          1.685e-17              0.588
    1010|             444.035          8.304e-17              0.450
    1100|              32.463          0.000e+00               -nan
    1110|             167.269          3.537e-17              1.000
    1200|             108.832          0.000e+00               -nan
    1210|             389.741          0.000e+00               -nan
    1300|             159.196          1.570e-16              0.470
    1400|             145.689          2.009e-16              0.405
    1500|              34.244          2.180e-16              1.000
    1600|             106.720          1.934e-17              1.000
    1700|              50.890          0.000e+00               -nan
    1800|              37.397          1.487e-17              1.000
    1900|             273.409          0.000e+00               -nan
    2000|             154.981          0.000e+00               -nan
    2100|              22.996          0.000e+00               -nan
    2200|             181.529          0.000e+00               -nan
    2300|             118.927          0.000e+00               -nan
    2400|              48.252          6.644e-16              0.449
    2500|              45.057          4.446e-16              0.584
    2600|             568.469          7.561e-15              0.041
    2700|             382.073          9.293e-15              0.047
    2800|             253.548          0.000e+00               -nan
    2900|             413.232          0.000e+00               -nan
    3000|              26.045          0.000e+00               -nan
    3100|             307.761          0.000e+00               -nan
    3200|             373.652          0.000e+00               -nan
    3300|              82.179          0.000e+00               -nan
    3400|             536.651          0.000e+00               -nan
    3500|             621.408          0.000e+00               -nan
    3600|              79.815          0.000e+00               -nan
    3700|             234.882          0.000e+00               -nan
    3800|             432.615          0.000e+00               -nan
    3900|              76.877          1.663e-15              0.202
    4000|              56.287          2.894e-15              0.221
    4100|             402.595          0.000e+00               -nan
    4200|             619.672          0.000e+00               -nan
    4300|             368.797          2.458e-17              0.389
    4400|             457.351          9.412e-17              0.328
    4500|             223.333          2.657e-16              0.346
    4600|             156.670          2.578e-16              0.436
    4700|             103.943          2.021e-15              0.185
    4800|              78.915          2.614e-15              0.183
    4900|             289.440          1.581e-16              0.361
    5000|             345.222          8.364e-17              0.475
    5100|             188.047          0.000e+00               -nan
    5200|             291.584          0.000e+00               -nan
    5300|             110.320          0.000e+00               -nan
    5400|             192.224          0.000e+00               -nan
    5500|               9.991          5.802e-16              0.783
    5600|              61.420          2.113e-16              0.621
    5700|              56.331          2.309e-16              0.685
    5800|              82.063          1.945e-16              0.561
    6100|            1517.390          1.631e-14              0.018
    6200|               7.769          0.000e+00               -nan
    6300|               5.180          0.000e+00               -nan
    6400|               7.769          0.000e+00               -nan
    6500|               5.180          0.000e+00               -nan
    6600|               0.039          0.000e+00               -nan
    6601|               0.189          0.000e+00               -nan
    6700|               1.113          3.860e-15              0.919
    6701|               0.308          1.043e-14              1.000
    6702|               6.122          4.372e-15              0.580
    6800|               0.039          0.000e+00               -nan
    6801|               0.189          0.000e+00               -nan
    6900|               1.113          1.121e-16              1.000
    6901|               0.308          2.506e-15              1.000
    6902|               6.122          4.706e-15              0.554
    7000|              10.364          0.000e+00               -nan
    7100|              58.000          3.362e-17              1.000
    7200|               1.784          5.467e-16              1.000
    7201|               1.193          2.864e-16              1.000
