Organ ID,Organ Mass (g),Dose (Gy/source),Relative Error
100,8.682739522,2.25113565e-15,0.6532160036
200,8.682743132,6.751272341e-15,0.3778702802
300,0.02230901101,0,0
301,0.0895317114,0,0
302,0.02807649465,0,0
303,11.29120583,0,0
400,0.1412003875,0,0
401,0.3898324431,0,0
402,0.09782525444,0,0
403,0.04897425007,0,0
404,0.09805441234,0,0
405,28.8084848,3.714511812e-17,0.8554224562
500,0.08596550428,0,0
501,0.02351556738,0,0
600,0.02307768472,0,0
700,10.36360878,7.606778989e-16,0.8941266862
800,0.02516398227,2.851605868e-15,0.9999499987
801,0.0311633586,5.141312003e-16,0.9999499987
802,0.05201120782,1.170601733e-15,0.9999499987
803,0.130411126,2.689804192e-15,0.9999499987
804,0.02615675687,4.018546859e-15,0.9999499987
805,0.05236504327,4.528230802e-15,0.9999499987
806,0.05246035062,3.768763075e-15,0.9999499987
807,0.05255009106,3.662498678e-15,0.9999499987
808,2.776674508,1.26037729e-15,0.9999499987
900,1.504030783,2.120477332e-17,0.9999499987
910,6.943591123,3.564961327e-16,0.9999499987
1000,193.1967825,1.704360867e-15,0.1460441893
1010,444.0353949,1.104117248e-15,0.1231924973
1100,32.46345325,6.65826322e-16,0.4817909846
1110,167.2694021,3.818157599e-16,0.3169134708
1200,108.8315671,0,0
1210,389.7405461,1.748895981e-17,0.9999499987
1300,159.1964517,3.249886956e-16,0.3047114426
1400,145.6886557,2.612100883e-16,0.4296359275
1500,34.24398254,4.266932598e-16,0.6693648775
1600,106.7201246,1.047844237e-15,0.2463610563
1700,50.88978932,4.717498776e-16,0.5441238349
1800,37.39695522,7.152583287e-16,0.5166097708
1900,273.4089197,1.942070946e-16,0.3309284875
2000,154.9809855,1.063639488e-16,0.4874838998
2100,22.99634576,1.427060084e-17,0.7078939994
2200,181.5289885,4.537798073e-17,0.7274484876
2300,118.9268866,3.677901346e-17,0.9576358091
2400,48.25181227,6.333220015e-16,0.3898613146
2500,45.05701336,4.438529186e-16,0.6708576856
2600,568.4694168,3.861398416e-17,0.5357603264
2700,382.0729263,2.52070883e-17,0.5531231437
2800,253.5475846,7.735548063e-17,0.6083826954
2900,413.2322922,9.961563303e-17,0.4622272558
3000,26.04535047,0,0
3100,307.7609735,0,0
3200,373.6519545,0,0
3300,82.17888246,0,0
3400,536.6511904,0,0
3500,621.4076463,0,0
3600,79.81493797,0,0
3700,234.8823428,0,0
3800,432.6150424,0,0
3900,76.87705058,1.336713634e-16,0.5015465567
4000,56.28731655,2.300428063e-16,0.9415188913
4100,402.5946743,2.261395556e-16,0.2857443991
4200,619.6715755,2.195471986e-16,0.1995330372
4300,368.7971196,2.022694133e-15,0.08902134667
4400,457.3511943,1.983459841e-15,0.08558011523
4500,223.3331223,6.535156264e-16,0.1902009459
4600,156.6702568,4.6644407e-16,0.242317111
4700,103.9434066,2.347589766e-16,0.4168615887
4800,78.91527128,2.34216079e-16,0.5435904413
4900,289.4401291,1.305350637e-15,0.1243727167
5000,345.2217733,2.294920143e-15,0.100039404
5100,188.0474514,8.952238613e-16,0.1827842444
5200,291.5843646,1.103006713e-15,0.1469401122
5300,110.3202883,2.437852902e-16,0.3166730045
5400,192.223999,3.622232289e-16,0.2853545351
5500,9.990523425,2.074846677e-15,0.4523668488
5600,61.42008372,2.33667567e-15,0.2221246116
5700,56.33146379,2.048267205e-15,0.232605633
5800,82.06297946,2.002173104e-15,0.2155822258
6100,1517.389678,5.223779944e-17,0.2869054293
6200,7.769025257,1.220383299e-15,0.7151444133
6300,5.180134068,0,0
6400,7.769029193,1.966646876e-15,0.6940012421
6500,5.180136443,1.605318711e-16,0.7959903994
6600,0.03888948808,0,0
6601,0.1892705688,0,0
6700,1.113285069,0,0
6701,0.3075716047,0,0
6702,6.12199394,1.987417705e-15,0.9990593293
6800,0.03888931397,0,0
6801,0.1892706524,0,0
6900,1.113281696,0,0
6901,0.307571592,0,0
6902,6.12199522,0,0
7000,10.36361276,1.167389534e-14,0.2416272313
7100,57.99999933,7.682199658e-15,0.1349743082
7200,1.783738388,4.451241326e-15,0.3758178926
7201,1.192821131,2.269319398e-15,0.4477519607
7202,6.008017357,2.175999603e-15,0.3762285587
7203,185.2860985,3.051431164e-15,0.1140250656
7300,249.9999865,2.691099606e-15,0.1084450712
7400,14.54747904,1.016082592e-15,0.3513913724
