
=====================================================================
 Run #0 / Number of event processed : 10000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          1.485e-15              0.023
     200|               8.683          6.989e-15              0.011
     300|               0.022          9.189e-17              0.334
     301|               0.090          1.210e-16              0.334
     302|               0.028          1.221e-16              0.349
     303|              11.291          1.022e-16              0.077
     400|               0.141          1.192e-16              0.212
     401|               0.390          1.151e-16              0.173
     402|               0.098          1.232e-16              0.177
     403|               0.049          1.704e-16              0.204
     404|               0.098          1.318e-16              0.190
     405|              28.808          1.243e-16              0.041
     500|               0.086          1.512e-16              0.174
     501|               0.024          1.004e-16              0.415
     600|               0.023          1.501e-16              0.270
     700|              10.364          5.047e-16              0.034
     800|               0.025          1.248e-15              0.132
     801|               0.031          1.120e-15              0.107
     802|               0.052          1.248e-15              0.109
     803|               0.130          1.226e-15              0.083
     804|               0.026          1.106e-15              0.100
     805|               0.052          9.817e-16              0.086
     806|               0.052          1.043e-15              0.094
     807|               0.053          1.092e-15              0.094
     808|               2.777          1.205e-15              0.037
     900|               1.504          2.276e-16              0.133
     910|               6.944          1.924e-16              0.065
    1000|             193.197          1.400e-15              0.005
    1010|             444.035          9.544e-16              0.004
    1100|              32.463          5.774e-16              0.018
    1110|             167.269          4.718e-16              0.009
    1200|             108.832          4.772e-18              0.097
    1210|             389.741          5.962e-18              0.052
    1300|             159.196          4.049e-16              0.010
    1400|             145.689          3.073e-16              0.013
    1500|              34.244          5.556e-16              0.019
    1600|             106.720          6.577e-16              0.010
    1700|              50.890          5.792e-16              0.016
    1800|              37.397          7.008e-16              0.016
    1900|             273.409          2.049e-16              0.011
    2000|             154.981          2.863e-16              0.013
    2100|              22.996          1.677e-16              0.041
    2200|             181.529          3.044e-17              0.033
    2300|             118.927          3.321e-17              0.041
    2400|              48.252          4.153e-16              0.017
    2500|              45.057          4.196e-16              0.019
    2600|             568.469          5.501e-17              0.014
    2700|             382.073          5.678e-17              0.017
    2800|             253.548          3.737e-17              0.023
    2900|             413.232          5.303e-17              0.017
    3000|              26.045          1.386e-17              0.130
    3100|             307.761          4.166e-18              0.067
    3200|             373.652          2.037e-18              0.091
    3300|              82.179          6.183e-18              0.109
    3400|             536.651          5.375e-19              0.145
    3500|             621.408          7.211e-19              0.120
    3600|              79.815          3.229e-19              0.419
    3700|             234.882          9.895e-19              0.160
    3800|             432.615          5.904e-19              0.161
    3900|              76.877          1.537e-16              0.023
    4000|              56.287          1.701e-16              0.027
    4100|             402.595          1.846e-16              0.009
    4200|             619.672          1.682e-16              0.008
    4300|             368.797          1.973e-15              0.003
    4400|             457.351          2.000e-15              0.003
    4500|             223.333          5.106e-16              0.007
    4600|             156.670          4.426e-16              0.010
    4700|             103.943          1.925e-16              0.017
    4800|              78.915          1.831e-16              0.021
    4900|             289.440          1.594e-15              0.004
    5000|             345.222          2.072e-15              0.003
    5100|             188.047          1.051e-15              0.005
    5200|             291.584          1.164e-15              0.005
    5300|             110.320          2.467e-16              0.014
    5400|             192.224          2.576e-16              0.011
    5500|               9.991          1.686e-15              0.016
    5600|              61.420          1.719e-15              0.008
