
=====================================================================
 Run #0 / Number of event processed : 100000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          2.631e-16              0.016
     200|               8.683          2.530e-16              0.016
     300|               0.022          5.369e-16              0.064
     301|               0.090          5.895e-16              0.047
     302|               0.028          5.865e-16              0.056
     303|              11.291          6.028e-16              0.010
     400|               0.141          5.967e-15              0.010
     401|               0.390          5.819e-15              0.008
     402|               0.098          5.812e-15              0.010
     403|               0.049          5.830e-15              0.011
     404|               0.098          5.843e-15              0.010
     405|              28.808          4.897e-15              0.002
     500|               0.086          2.527e-15              0.015
     501|               0.024          1.568e-15              0.033
     600|               0.023          1.340e-15              0.039
     700|              10.364          4.722e-14              0.001
     800|               0.025          3.464e-15              0.022
     801|               0.031          3.508e-15              0.020
     802|               0.052          3.441e-15              0.019
     803|               0.130          3.431e-15              0.015
     804|               0.026          3.392e-15              0.020
     805|               0.052          3.504e-15              0.017
     806|               0.052          3.383e-15              0.017
     807|               0.053          3.401e-15              0.017
     808|               2.777          3.368e-15              0.007
     900|               1.504          7.929e-15              0.007
     910|               6.944          8.556e-15              0.004
    1000|             193.197          2.729e-15              0.001
    1010|             444.035          2.138e-15              0.001
    1100|              32.463          1.436e-16              0.011
    1110|             167.269          1.418e-16              0.005
    1200|             108.832          8.062e-19              0.077
    1210|             389.741          7.400e-19              0.044
    1300|             159.196          5.171e-16              0.003
    1400|             145.689          6.545e-16              0.003
    1500|              34.244          4.090e-16              0.007
    1600|             106.720          2.033e-16              0.005
    1700|              50.890          1.244e-16              0.010
    1800|              37.397          2.453e-16              0.009
    1900|             273.409          3.833e-17              0.008
    2000|             154.981          5.800e-17              0.009
    2100|              22.996          2.769e-17              0.031
    2200|             181.529          6.328e-18              0.023
    2300|             118.927          7.128e-18              0.028
    2400|              48.252          8.873e-15              0.001
    2500|              45.057          8.256e-15              0.001
    2600|             568.469          5.046e-16              0.002
    2700|             382.073          5.355e-16              0.002
    2800|             253.548          4.861e-18              0.020
    2900|             413.232          6.782e-18              0.015
    3000|              26.045          1.902e-18              0.109
    3100|             307.761          6.163e-19              0.055
    3200|             373.652          2.899e-19              0.077
    3300|              82.179          8.864e-19              0.093
    3400|             536.651          7.950e-20              0.109
    3500|             621.408          9.637e-20              0.101
    3600|              79.815          2.279e-20              0.466
    3700|             234.882          1.657e-19              0.129
    3800|             432.615          8.574e-20              0.132
    3900|              76.877          2.183e-15              0.002
    4000|              56.287          2.539e-15              0.002
    4100|             402.595          1.971e-17              0.008
    4200|             619.672          1.767e-17              0.007
    4300|             368.797          1.272e-15              0.001
    4400|             457.351          1.333e-15              0.001
    4500|             223.333          1.250e-15              0.002
