
=====================================================================
 Run #0 / Number of event processed : 1000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          4.614e-16              0.844
     200|               8.683          3.563e-13              0.484
     300|               0.022          0.000e+00               -nan
     301|               0.090          0.000e+00               -nan
     302|               0.028          0.000e+00               -nan
     303|              11.291          0.000e+00               -nan
     400|               0.141          0.000e+00               -nan
     401|               0.390          0.000e+00               -nan
     402|               0.098          0.000e+00               -nan
     403|               0.049          0.000e+00               -nan
     404|               0.098          0.000e+00               -nan
     405|              28.808          0.000e+00               -nan
     500|               0.086          0.000e+00               -nan
     501|               0.024          0.000e+00               -nan
     600|               0.023          0.000e+00               -nan
     700|              10.364          0.000e+00               -nan
     800|               0.025          0.000e+00               -nan
     801|               0.031          0.000e+00               -nan
     802|               0.052          0.000e+00               -nan
     803|               0.130          0.000e+00               -nan
     804|               0.026          0.000e+00               -nan
     805|               0.052          0.000e+00               -nan
     806|               0.052          0.000e+00               -nan
     807|               0.053          0.000e+00               -nan
     808|               2.777          2.392e-17              0.999
     900|               1.504          0.000e+00               -nan
     910|               6.944          0.000e+00               -nan
    1000|             193.197          1.044e-14              0.405
    1010|             444.035          5.905e-15              0.421
    1100|              32.463          1.788e-16              0.999
    1110|             167.269          1.846e-15              0.673
    1200|             108.832          0.000e+00               -nan
    1210|             389.741          0.000e+00               -nan
    1300|             159.196          6.267e-17              0.710
    1400|             145.689          2.026e-16              0.809
    1500|              34.244          0.000e+00               -nan
    1600|             106.720          0.000e+00               -nan
    1700|              50.890          6.711e-18              0.999
    1800|              37.397          0.000e+00               -nan
    1900|             273.409          0.000e+00               -nan
    2000|             154.981          3.122e-18              0.999
    2100|              22.996          0.000e+00               -nan
    2200|             181.529          2.557e-17              0.999
    2300|             118.927          0.000e+00               -nan
    2400|              48.252          0.000e+00               -nan
    2500|              45.057          6.490e-16              0.999
    2600|             568.469          1.601e-17              0.999
    2700|             382.073          0.000e+00               -nan
    2800|             253.548          0.000e+00               -nan
    2900|             413.232          0.000e+00               -nan
    3000|              26.045          0.000e+00               -nan
    3100|             307.761          0.000e+00               -nan
    3200|             373.652          0.000e+00               -nan
    3300|              82.179          0.000e+00               -nan
    3400|             536.651          0.000e+00               -nan
    3500|             621.408          0.000e+00               -nan
    3600|              79.815          0.000e+00               -nan
    3700|             234.882          0.000e+00               -nan
    3800|             432.615          0.000e+00               -nan
    3900|              76.877          0.000e+00               -nan
    4000|              56.287          0.000e+00               -nan
    4100|             402.595          3.419e-17              0.999
    4200|             619.672          4.100e-17              0.806
    4300|             368.797          3.092e-14              0.111
    4400|             457.351          3.808e-14              0.133
    4500|             223.333          1.116e-15              0.866
    4600|             156.670          4.533e-16              0.999
    4700|             103.943          0.000e+00               -nan
    4800|              78.915          0.000e+00               -nan
    4900|             289.440          7.485e-15              0.262
    5000|             345.222          2.035e-14              0.283
    5100|             188.047          2.089e-16              0.370
    5200|             291.584          1.828e-16              0.575
    5300|             110.320          0.000e+00               -nan
    5400|             192.224          0.000e+00               -nan
    5500|               9.991          4.493e-16              0.999
    5600|              61.420          2.060e-17              0.810
    5700|              56.331          8.188e-14              0.234
    5800|              82.063          1.803e-14              0.466
    6100|            1517.390          3.265e-17              0.999
    6200|               7.769          0.000e+00               -nan
    6300|               5.180          0.000e+00               -nan
    6400|               7.769          3.405e-14              0.724
    6500|               5.180          0.000e+00               -nan
    6600|               0.039          0.000e+00               -nan
    6601|               0.189          0.000e+00               -nan
    6700|               1.113          0.000e+00               -nan
    6701|               0.308          0.000e+00               -nan
    6702|               6.122          0.000e+00               -nan
    6800|               0.039          0.000e+00               -nan
    6801|               0.189          0.000e+00               -nan
    6900|               1.113          0.000e+00               -nan
    6901|               0.308          0.000e+00               -nan
    6902|               6.122          0.000e+00               -nan
    7000|              10.364          3.102e-13              0.209
    7100|              58.000          3.488e-13              0.204
    7200|               1.784          5.621e-14              0.331
    7201|               1.193          4.617e-14              0.264
    7202|               6.008          7.873e-14              0.339
    7203|             185.286          9.378e-14              0.175
    7300|             250.000          5.867e-14              0.241
    7400|              14.547          0.000e+00               -nan
    7401|               2.264          0.000e+00               -nan
    7402|               5.692          1.250e-16              0.999
    7403|             840.096          1.118e-15              0.532
    7500|              53.337          2.848e-16              0.646
    7501|             296.663          5.058e-17              0.567
    7600|               3.071          3.101e-14              0.791
    7601|               0.223          2.107e-14              0.793
    7602|             116.634          2.455e-14              0.434
    7700|              55.000          2.621e-14              0.740
    7800|               3.993          5.078e-14              0.399
    7801|               0.289          8.614e-14              0.604
    7802|              75.671          9.489e-14              0.262
    7900|              95.000          5.879e-14              0.352
    8000|               2.824          1.573e-14              0.752
    8001|               0.205          7.457e-15              0.706
    8002|              76.924          2.954e-14              0.431
    8100|              40.000          3.736e-15              0.953
    8200|               2.779          0.000e+00               -nan
    8201|               0.203          0.000e+00               -nan
    8202|             116.946          6.236e-18              0.999
    8300|              35.000          0.000e+00               -nan
    8400|               4.451          0.000e+00               -nan
    8401|               0.324          0.000e+00               -nan
    8402|              48.524          0.000e+00               -nan
    8500|              75.000          0.000e+00               -nan
    8600|              39.976          0.000e+00               -nan
    8700|             385.839          3.382e-14              0.204
    8800|             510.000          1.644e-14              0.258
    8900|             162.338          6.190e-17              0.564
    9000|              38.359          6.019e-16              0.665
    9100|               7.652          0.000e+00               -nan
    9200|             166.542          6.504e-14              0.272
    9300|              39.362          7.252e-14              0.485
    9400|               7.892          8.495e-15              0.839
    9500|            2360.000          4.766e-13              0.015
    9700|             545.877          1.199e-16              0.354
    9900|             652.861          7.610e-14              0.122
   10000|              15.949          0.000e+00               -nan
   10100|              15.949          7.815e-15              0.991
   10200|               5.510          0.000e+00               -nan
   10300|             130.204          4.437e-15              0.584
   10400|              11.019          0.000e+00               -nan
   10500|              11.019          0.000e+00               -nan
   10600|            1200.828          1.940e-17              0.999
   10700|           14844.730          4.464e-15              0.084
   10800|            2843.507          1.161e-16              0.429
   10900|           10887.729          0.000e+00               -nan
   11000|               1.919          0.000e+00               -nan
   11001|               0.103          0.000e+00               -nan
   11002|              49.783          2.148e-14              0.664
   11003|              22.870          1.375e-16              0.999
   11300|             173.631          6.025e-14              0.264
   11400|               0.622          0.000e+00               -nan
   11500|              17.618          0.000e+00               -nan
   11600|             975.622          1.156e-18              0.775
   11700|           11176.900          9.851e-15              0.059
   11800|            1549.842          1.536e-15              0.481
   11900|            4510.134          8.552e-18              0.999
   12000|              44.045          0.000e+00               -nan
   12100|              44.045          0.000e+00               -nan
   12200|             259.230          0.000e+00               -nan
   12201|               8.470          0.000e+00               -nan
   12300|            1271.006          4.640e-15              0.135
   12301|              38.418          4.888e-15              0.226
   12400|             575.709          1.126e-15              0.394
   12401|              18.843          1.491e-15              0.457
   12500|            1259.982          0.000e+00               -nan
   12501|              37.790          0.000e+00               -nan
   12600|              37.952          6.724e-15              0.999
   12700|             228.400          4.482e-16              0.805
   12800|              50.727          0.000e+00               -nan
   12801|               0.043          0.000e+00               -nan
   12900|              18.617          0.000e+00               -nan
   13000|              18.617          0.000e+00               -nan
   13100|              25.909          7.542e-17              0.999
   13200|              23.351          0.000e+00               -nan
   13300|              20.993          0.000e+00               -nan
   13301|              54.552          0.000e+00               -nan
   13400|               3.109          0.000e+00               -nan
   13500|               8.809          0.000e+00               -nan
   13600|               7.773          0.000e+00               -nan
   13700|              49.781          0.000e+00               -nan
   13701|               1.318          0.000e+00               -nan
   13800|             200.000          0.000e+00               -nan
   14000|               0.140          0.000e+00               -nan
=====================================================================

