Organ ID,Organ Mass (g),Dose (Gy/source),Relative Error
100,8.682739522,0,0
200,8.682743132,1.788626303e-13,0.6400486065
300,0.02230901101,0,0
301,0.0895317114,0,0
302,0.02807649465,0,0
303,11.29120583,0,0
400,0.1412003875,0,0
401,0.3898324431,0,0
402,0.09782525444,0,0
403,0.04897425007,0,0
404,0.09805441234,0,0
405,28.8084848,0,0
500,0.08596550428,0,0
501,0.02351556738,0,0
600,0.02307768472,0,0
700,10.36360878,6.373958851e-17,0.9994998749
800,0.02516398227,0,0
801,0.0311633586,0,0
802,0.05201120782,0,0
803,0.130411126,0,0
804,0.02615675687,0,0
805,0.05236504327,0,0
806,0.05246035062,0,0
807,0.05255009106,0,0
808,2.776674508,0,0
900,1.504030783,0,0
910,6.943591123,0,0
1000,193.1967825,1.312375227e-14,0.5335419291
1010,444.0353949,5.46107124e-15,0.3505282259
1100,32.46345325,6.293781101e-15,0.9977262068
1110,167.2694021,1.547743415e-15,0.9984091428
1200,108.8315671,0,0
1210,389.7405461,0,0
1300,159.1964517,4.610636699e-17,0.9994998749
1400,145.6886557,0,0
1500,34.24398254,0,0
1600,106.7201246,5.479798882e-15,0.7920168178
1700,50.88978932,1.531709194e-14,0.9994998749
1800,37.39695522,2.073541906e-18,0.9994998749
1900,273.4089197,2.198976614e-15,0.9994998749
2000,154.9809855,1.904331941e-17,0.8677948092
2100,22.99634576,5.634414116e-15,0.9994998749
2200,181.5289885,0,0
2300,118.9268866,0,0
2400,48.25181227,6.822673711e-15,0.998597025
2500,45.05701336,5.912695242e-15,0.9994998749
2600,568.4694168,1.712583521e-16,0.7936397422
2700,382.0729263,7.107227613e-16,0.9994998749
2800,253.5475846,0,0
2900,413.2322922,2.979361706e-17,0.7072318521
3000,26.04535047,0,0
3100,307.7609735,8.390341289e-17,0.9994998749
3200,373.6519545,0,0
3300,82.17888246,0,0
3400,536.6511904,0,0
3500,621.4076463,0,0
3600,79.81493797,0,0
3700,234.8823428,3.931956251e-16,0.9994998749
3800,432.6150424,1.210840759e-15,0.9994998749
3900,76.87705058,0,0
4000,56.28731655,0,0
4100,402.5946743,5.046764052e-15,0.4964572958
4200,619.6715755,2.936271181e-15,0.5361540039
4300,368.7971196,7.3478744e-15,0.2220390266
4400,457.3511943,1.222816507e-14,0.2543259335
4500,223.3331223,1.184517427e-15,0.5198908937
4600,156.6702568,4.761449431e-15,0.7032996764
4700,103.9434066,6.170194161e-15,0.9994998749
4800,78.91527128,7.436664727e-16,0.9994998749
4900,289.4401291,4.146774111e-15,0.3929300199
5000,345.2217733,6.300013664e-15,0.4930330313
5100,188.0474514,5.336803447e-15,0.4331262005
5200,291.5843646,7.634677631e-15,0.5324181336
5300,110.3202883,2.192978165e-15,0.8755586836
5400,192.223999,6.243502466e-15,0.8446553282
5500,9.990523425,1.126215978e-14,0.6387062756
5600,61.42008372,1.216704916e-14,0.6849922524
5700,56.33146379,1.54040908e-14,0.8355014722
5800,82.06297946,7.505846258e-15,0.5667174816
6100,1517.389678,0,0
6200,7.769025257,0,0
6300,5.180134068,0,0
6400,7.769029193,1.497857877e-16,0.9994998749
6500,5.180136443,0,0
6600,0.03888948808,0,0
6601,0.1892705688,0,0
6700,1.113285069,0,0
6701,0.3075716047,0,0
6702,6.12199394,0,0
6800,0.03888931397,0,0
6801,0.1892706524,0,0
6900,1.113281696,0,0
6901,0.307571592,0,0
6902,6.12199522,0,0
7000,10.36361276,7.39493644e-14,0.6250507517
7100,57.99999933,5.913645488e-14,0.414031708
7200,1.783738388,1.327464403e-14,0.4765270771
7201,1.192821131,1.267757601e-14,0.5271772442
7202,6.008017357,2.437475492e-14,0.5986277698
