
=====================================================================
 Run #0 / Number of event processed : 1000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          2.440e-14              0.999
     200|               8.683          1.455e-14              0.999
     300|               0.022          0.000e+00               -nan
     301|               0.090          0.000e+00               -nan
     302|               0.028          0.000e+00               -nan
     303|              11.291          0.000e+00               -nan
     400|               0.141          0.000e+00               -nan
     401|               0.390          0.000e+00               -nan
     402|               0.098          0.000e+00               -nan
     403|               0.049          0.000e+00               -nan
     404|               0.098          0.000e+00               -nan
     405|              28.808          0.000e+00               -nan
     500|               0.086          0.000e+00               -nan
     501|               0.024          0.000e+00               -nan
     600|               0.023          0.000e+00               -nan
     700|              10.364          0.000e+00               -nan
     800|               0.025          0.000e+00               -nan
     801|               0.031          0.000e+00               -nan
     802|               0.052          0.000e+00               -nan
     803|               0.130          0.000e+00               -nan
     804|               0.026          0.000e+00               -nan
     805|               0.052          0.000e+00               -nan
     806|               0.052          0.000e+00               -nan
     807|               0.053          0.000e+00               -nan
     808|               2.777          0.000e+00               -nan
     900|               1.504          0.000e+00               -nan
     910|               6.944          0.000e+00               -nan
    1000|             193.197          1.385e-14              0.472
    1010|             444.035          7.976e-15              0.407
    1100|              32.463          6.441e-15              0.790
    1110|             167.269          4.500e-15              0.707
    1200|             108.832          0.000e+00               -nan
    1210|             389.741          1.631e-16              0.999
    1300|             159.196          4.569e-15              0.699
    1400|             145.689          4.870e-17              0.999
    1500|              34.244          7.702e-15              0.999
    1600|             106.720          1.307e-15              0.933
    1700|              50.890          1.583e-15              0.999
    1800|              37.397          0.000e+00               -nan
    1900|             273.409          1.402e-15              0.818
    2000|             154.981          1.603e-14              0.704
    2100|              22.996          0.000e+00               -nan
    2200|             181.529          0.000e+00               -nan
    2300|             118.927          0.000e+00               -nan
    2400|              48.252          0.000e+00               -nan
    2500|              45.057          0.000e+00               -nan
    2600|             568.469          6.625e-16              0.604
    2700|             382.073          1.908e-15              0.824
    2800|             253.548          8.580e-17              0.999
    2900|             413.232          0.000e+00               -nan
    3000|              26.045          0.000e+00               -nan
    3100|             307.761          3.811e-17              0.999
    3200|             373.652          2.345e-15              0.999
    3300|              82.179          6.336e-16              0.999
    3400|             536.651          0.000e+00               -nan
    3500|             621.408          0.000e+00               -nan
    3600|              79.815          0.000e+00               -nan
    3700|             234.882          0.000e+00               -nan
    3800|             432.615          0.000e+00               -nan
    3900|              76.877          0.000e+00               -nan
    4000|              56.287          0.000e+00               -nan
    4100|             402.595          1.039e-15              0.646
    4200|             619.672          1.171e-15              0.639
    4300|             368.797          1.324e-14              0.194
    4400|             457.351          1.433e-14              0.214
    4500|             223.333          5.913e-15              0.446
    4600|             156.670          5.607e-15              0.709
    4700|             103.943          0.000e+00               -nan
    4800|              78.915          1.434e-17              0.901
    4900|             289.440          1.156e-14              0.367
    5000|             345.222          2.130e-14              0.339
    5100|             188.047          7.219e-15              0.398
    5200|             291.584          7.621e-16              0.523
    5300|             110.320          6.669e-15              0.506
    5400|             192.224          9.381e-15              0.749
    5500|               9.991          2.863e-15              0.999
    5600|              61.420          3.961e-16              0.999
    5700|              56.331          1.368e-14              0.567
    5800|              82.063          3.648e-15              0.564
    6100|            1517.390          4.929e-16              0.707
    6200|               7.769          0.000e+00               -nan
    6300|               5.180          0.000e+00               -nan
    6400|               7.769          6.516e-14              0.609
    6500|               5.180          8.735e-14              0.577
    6600|               0.039          0.000e+00               -nan
    6601|               0.189          0.000e+00               -nan
    6700|               1.113          0.000e+00               -nan
    6701|               0.308          0.000e+00               -nan
    6702|               6.122          0.000e+00               -nan
    6800|               0.039          0.000e+00               -nan
    6801|               0.189          0.000e+00               -nan
    6900|               1.113          0.000e+00               -nan
    6901|               0.308          0.000e+00               -nan
    6902|               6.122          0.000e+00               -nan
    7000|              10.364          2.840e-14              0.680
    7100|              58.000          2.944e-14              0.536
    7200|               1.784          1.577e-14              0.530
    7201|               1.193          3.103e-14              0.627
    7202|               6.008          1.868e-14              0.583
    7203|             185.286          1.034e-14              0.413
    7300|             250.000          1.919e-14              0.403
    7400|              14.547          1.984e-15              0.543
    7401|               2.264          2.293e-15              0.547
    7402|               5.692          2.024e-15              0.493
    7403|             840.096          3.943e-15              0.370
    7500|              53.337          2.341e-15              0.554
    7501|             296.663          2.438e-15              0.555
    7600|               3.071          5.685e-15              0.999
    7601|               0.223          5.725e-15              0.999
    7602|             116.634          1.411e-14              0.843
    7700|              55.000          2.314e-15              0.937
    7800|               3.993          8.144e-15              0.601
    7801|               0.289          4.978e-15              0.582
    7802|              75.671          1.561e-14              0.465
    7900|              95.000          3.940e-14              0.538
    8000|               2.824          5.214e-15              0.999
    8001|               0.205          3.093e-15              0.999
    8002|              76.924          1.116e-14              0.613
    8100|              40.000          4.568e-15              0.981
    8200|               2.779          0.000e+00               -nan
    8201|               0.203          0.000e+00               -nan
    8202|             116.946          3.655e-15              0.876
    8300|              35.000          1.993e-15              0.772
    8400|               4.451          0.000e+00               -nan
    8401|               0.324          0.000e+00               -nan
    8402|              48.524          0.000e+00               -nan
    8500|              75.000          0.000e+00               -nan
    8600|              39.976          7.903e-17              0.999
    8700|             385.839          4.187e-15              0.397
    8800|             510.000          1.193e-14              0.417
    8900|             162.338          2.635e-14              0.459
    9000|              38.359          2.637e-14              0.577
    9100|               7.652          0.000e+00               -nan
    9200|             166.542          2.560e-14              0.405
    9300|              39.362          4.857e-14              0.554
    9400|               7.892          5.137e-15              0.930
    9500|            2360.000          4.551e-14              0.097
    9700|             545.877          5.011e-15              0.454
    9900|             652.861          1.642e-14              0.268
   10000|              15.949          1.836e-14              0.999
   10100|              15.949          1.654e-17              0.999
   10200|               5.510          0.000e+00               -nan
   10300|             130.204          8.242e-16              0.685
   10400|              11.019          0.000e+00               -nan
   10500|              11.019          0.000e+00               -nan
   10600|            1200.828          5.338e-16              0.734
   10700|           14844.730          3.841e-15              0.116
   10800|            2843.507          2.644e-15              0.310
   10900|           10887.729          1.444e-16              0.995
   11000|               1.919          1.337e-14              0.721
   11001|               0.103          6.908e-15              0.763
   11002|              49.783          2.511e-14              0.649
   11003|              22.870          1.749e-14              0.727
   11300|             173.631          3.325e-14              0.458
   11400|               0.622          0.000e+00               -nan
   11500|              17.618          0.000e+00               -nan
   11600|             975.622          8.587e-17              0.619
   11700|           11176.900          5.585e-15              0.100
   11800|            1549.842          3.099e-15              0.312
   11900|            4510.134          6.787e-19              0.999
   12000|              44.045          0.000e+00               -nan
   12100|              44.045          0.000e+00               -nan
   12200|             259.230          6.912e-18              0.999
   12201|               8.470          0.000e+00               -nan
   12300|            1271.006          3.050e-15              0.164
   12301|              38.418          2.894e-15              0.187
   12400|             575.709          1.892e-15              0.335
   12401|              18.843          2.407e-15              0.418
   12500|            1259.982          0.000e+00               -nan
   12501|              37.790          0.000e+00               -nan
   12600|              37.952          1.242e-14              0.710
   12700|             228.400          6.539e-15              0.907
   12800|              50.727          0.000e+00               -nan
   12801|               0.043          0.000e+00               -nan
   12900|              18.617          0.000e+00               -nan
   13000|              18.617          0.000e+00               -nan
   13100|              25.909          2.171e-16              0.711
   13200|              23.351          0.000e+00               -nan
   13300|              20.993          0.000e+00               -nan
   13301|              54.552          0.000e+00               -nan
   13400|               3.109          0.000e+00               -nan
   13500|               8.809          3.460e-14              0.999
   13600|               7.773          0.000e+00               -nan
   13700|              49.781          0.000e+00               -nan
   13701|               1.318          0.000e+00               -nan
   13800|             200.000          0.000e+00               -nan
   14000|               0.140          0.000e+00               -nan
=====================================================================

