
=====================================================================
 Run #0 / Number of event processed : 1000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          3.008e-16              0.999
     200|               8.683          0.000e+00               -nan
     300|               0.022          0.000e+00               -nan
     301|               0.090          0.000e+00               -nan
     302|               0.028          0.000e+00               -nan
     303|              11.291          2.105e-16              0.999
     400|               0.141          3.146e-14              0.784
     401|               0.390          2.344e-14              0.783
     402|               0.098          2.117e-14              0.757
     403|               0.049          1.340e-14              0.773
     404|               0.098          1.740e-14              0.803
     405|              28.808          3.588e-14              0.579
     500|               0.086          1.659e-13              0.829
     501|               0.024          0.000e+00               -nan
     600|               0.023          0.000e+00               -nan
     700|              10.364          2.838e-13              0.360
     800|               0.025          9.542e-15              0.999
     801|               0.031          5.768e-14              0.999
     802|               0.052          1.343e-14              0.999
     803|               0.130          9.793e-15              0.999
     804|               0.026          6.134e-15              0.999
     805|               0.052          2.009e-14              0.999
     806|               0.052          1.179e-14              0.999
     807|               0.053          7.613e-15              0.999
     808|               2.777          3.229e-14              0.703
     900|               1.504          0.000e+00               -nan
     910|               6.944          3.354e-14              0.714
    1000|             193.197          1.026e-14              0.366
    1010|             444.035          1.764e-14              0.253
    1100|              32.463          6.889e-15              0.999
    1110|             167.269          0.000e+00               -nan
    1200|             108.832          0.000e+00               -nan
    1210|             389.741          0.000e+00               -nan
    1300|             159.196          5.223e-15              0.713
    1400|             145.689          2.517e-16              0.717
    1500|              34.244          1.059e-14              0.999
    1600|             106.720          5.008e-15              0.999
    1700|              50.890          0.000e+00               -nan
    1800|              37.397          1.377e-15              0.999
    1900|             273.409          7.065e-16              0.999
    2000|             154.981          0.000e+00               -nan
    2100|              22.996          0.000e+00               -nan
    2200|             181.529          0.000e+00               -nan
    2300|             118.927          0.000e+00               -nan
    2400|              48.252          5.121e-14              0.402
    2500|              45.057          7.252e-14              0.385
    2600|             568.469          6.998e-15              0.371
    2700|             382.073          6.962e-15              0.377
    2800|             253.548          0.000e+00               -nan
    2900|             413.232          0.000e+00               -nan
    3000|              26.045          0.000e+00               -nan
    3100|             307.761          0.000e+00               -nan
    3200|             373.652          0.000e+00               -nan
    3300|              82.179          0.000e+00               -nan
    3400|             536.651          0.000e+00               -nan
    3500|             621.408          0.000e+00               -nan
    3600|              79.815          0.000e+00               -nan
    3700|             234.882          0.000e+00               -nan
    3800|             432.615          0.000e+00               -nan
    3900|              76.877          1.197e-14              0.430
    4000|              56.287          1.626e-14              0.495
    4100|             402.595          3.580e-17              0.999
    4200|             619.672          6.235e-18              0.999
    4300|             368.797          6.091e-15              0.319
    4400|             457.351          6.894e-15              0.313
    4500|             223.333          3.232e-15              0.736
    4600|             156.670          3.593e-15              0.747
    4700|             103.943          4.308e-14              0.308
    4800|              78.915          3.861e-14              0.390
    4900|             289.440          1.400e-14              0.279
    5000|             345.222          1.978e-14              0.348
    5100|             188.047          0.000e+00               -nan
    5200|             291.584          0.000e+00               -nan
    5300|             110.320          0.000e+00               -nan
    5400|             192.224          1.735e-15              0.999
    5500|               9.991          8.000e-15              0.572
    5600|              61.420          2.914e-14              0.610
    5700|              56.331          0.000e+00               -nan
    5800|              82.063          1.015e-14              0.486
    6100|            1517.390          4.775e-15              0.372
    6200|               7.769          0.000e+00               -nan
    6300|               5.180          0.000e+00               -nan
    6400|               7.769          0.000e+00               -nan
    6500|               5.180          0.000e+00               -nan
    6600|               0.039          0.000e+00               -nan
    6601|               0.189          0.000e+00               -nan
    6700|               1.113          0.000e+00               -nan
    6701|               0.308          0.000e+00               -nan
    6702|               6.122          0.000e+00               -nan
    6800|               0.039          0.000e+00               -nan
    6801|               0.189          0.000e+00               -nan
    6900|               1.113          0.000e+00               -nan
    6901|               0.308          0.000e+00               -nan
    6902|               6.122          0.000e+00               -nan
    7000|              10.364          0.000e+00               -nan
    7100|              58.000          0.000e+00               -nan
    7200|               1.784          3.531e-15              0.624
    7201|               1.193          9.017e-15              0.750
    7202|               6.008          3.427e-15              0.593
    7203|             185.286          3.670e-15              0.579
    7300|             250.000          6.910e-15              0.637
    7400|              14.547          7.719e-16              0.710
    7401|               2.264          7.201e-16              0.737
    7402|               5.692          7.795e-16              0.707
    7403|             840.096          2.323e-15              0.724
    7500|              53.337          1.987e-15              0.754
    7501|             296.663          1.456e-16              0.964
    7600|               3.071          7.674e-15              0.999
    7601|               0.223          3.451e-15              0.999
    7602|             116.634          5.290e-15              0.949
    7700|              55.000          7.611e-15              0.999
    7800|               3.993          0.000e+00               -nan
    7801|               0.289          0.000e+00               -nan
    7802|              75.671          5.074e-18              0.999
    7900|              95.000          0.000e+00               -nan
    8000|               2.824          0.000e+00               -nan
    8001|               0.205          0.000e+00               -nan
    8002|              76.924          5.476e-16              0.701
    8100|              40.000          3.746e-18              0.999
    8200|               2.779          0.000e+00               -nan
    8201|               0.203          0.000e+00               -nan
    8202|             116.946          3.115e-17              0.999
    8300|              35.000          0.000e+00               -nan
    8400|               4.451          0.000e+00               -nan
    8401|               0.324          0.000e+00               -nan
    8402|              48.524          0.000e+00               -nan
    8500|              75.000          0.000e+00               -nan
    8600|              39.976          0.000e+00               -nan
    8700|             385.839          1.610e-14              0.342
    8800|             510.000          1.354e-14              0.380
    8900|             162.338          0.000e+00               -nan
    9000|              38.359          0.000e+00               -nan
    9100|               7.652          0.000e+00               -nan
    9200|             166.542          9.076e-15              0.999
    9300|              39.362          0.000e+00               -nan
    9400|               7.892          0.000e+00               -nan
    9500|            2360.000          2.807e-15              0.428
    9700|             545.877          1.284e-14              0.388
    9900|             652.861          7.419e-15              0.369
   10000|              15.949          2.977e-14              0.792
   10100|              15.949          8.650e-15              0.650
   10200|               5.510          3.533e-14              0.999
   10300|             130.204          4.918e-16              0.999
   10400|              11.019          0.000e+00               -nan
   10500|              11.019          0.000e+00               -nan
   10600|            1200.828          2.228e-14              0.171
   10700|           14844.730          4.765e-15              0.107
   10800|            2843.507          2.156e-15              0.373
   10900|           10887.729          2.184e-16              0.706
   11000|               1.919          4.268e-14              0.421
   11001|               0.103          6.106e-14              0.559
   11002|              49.783          9.943e-14              0.343
   11003|              22.870          5.347e-14              0.496
   11300|             173.631          6.083e-18              0.999
   11400|               0.622          0.000e+00               -nan
   11500|              17.618          0.000e+00               -nan
   11600|             975.622          1.267e-14              0.166
   11700|           11176.900          4.794e-15              0.100
   11800|            1549.842          1.203e-15              0.459
   11900|            4510.134          7.805e-17              0.999
   12000|              44.045          2.296e-14              0.627
   12100|              44.045          1.812e-14              0.968
   12200|             259.230          1.078e-14              0.261
   12201|               8.470          1.088e-14              0.480
   12300|            1271.006          5.246e-15              0.178
   12301|              38.418          4.039e-15              0.251
   12400|             575.709          7.170e-16              0.456
   12401|              18.843          4.295e-16              0.554
   12500|            1259.982          0.000e+00               -nan
   12501|              37.790          0.000e+00               -nan
   12600|              37.952          9.491e-15              0.707
   12700|             228.400          1.598e-16              0.720
   12800|              50.727          1.408e-15              0.855
   12801|               0.043          0.000e+00               -nan
   12900|              18.617          0.000e+00               -nan
   13000|              18.617          0.000e+00               -nan
   13100|              25.909          4.181e-14              0.633
   13200|              23.351          2.539e-13              0.248
   13300|              20.993          1.442e-14              0.999
   13301|              54.552          1.335e-14              0.841
   13400|               3.109          0.000e+00               -nan
   13500|               8.809          0.000e+00               -nan
   13600|               7.773          0.000e+00               -nan
   13700|              49.781          0.000e+00               -nan
   13701|               1.318          0.000e+00               -nan
   13800|             200.000          0.000e+00               -nan
   14000|               0.140          2.788e-14              0.388
=====================================================================

