Organ ID,Organ Mass (g),Dose (Gy/source),Relative Error
100,6.816533158,0,0
200,8.648553978,0,0
300,0.008564642407,0,0
301,0.03455088067,0,0
302,0.01089318299,0,0
303,4.374578837,0,0
400,0.1041581236,0,0
401,0.2878573922,0,0
402,0.07230681899,0,0
403,0.03623167406,0,0
404,0.07248044634,0,0
405,14.18033102,0,0
500,0.06614430715,0,0
501,0.01611757951,0,0
600,0.01882475852,0,0
700,8.201122819,0,0
800,0.01023395671,0,0
801,0.01263400074,0,0
802,0.02110304104,0,0
803,0.05302815931,0,0
804,0.01065080834,0,0
805,0.02134790499,0,0
806,0.0214100712,0,0
807,0.02146976342,0,0
808,1.179008614,0,0
900,1.905949096,0,0
910,3.007187081,0,0
1000,117.8720728,0,0
1010,239.851239,0,0
1100,46.31249862,0,0
1110,139.5278927,0,0
1200,79.90579478,0,0
1210,355.6121419,0,0
1300,113.6814174,0,0
1400,107.7174853,0,0
1500,20.51623487,0,0
1600,103.2956326,0,0
1700,50.26410179,0,0
1800,20.49282149,0,0
1900,156.7082606,0,0
2000,86.882764,0,0
2100,34.06820067,0,0
2200,105.1315483,0,0
2300,69.36022516,0,0
2400,32.82525024,0,0
2500,38.79822057,0,0
2600,407.6700226,7.837589378e-15,0.1599103543
2700,391.3114656,3.998381981e-15,0.2198914199
2800,244.1262813,0,0
2900,232.8040702,0,0
3000,39.51633699,0,0
3100,240.9294145,0,0
3200,166.3336945,0,0
3300,56.76212663,0,0
3400,544.8452248,0,0
3500,558.529149,0,0
3600,88.8834275,0,0
3700,173.475747,0,0
3800,257.4510646,0,0
3900,45.39409987,0,0
4000,33.47875706,0,0
4100,262.4576301,0,0
4200,455.5985823,0,0
4300,164.5039908,0,0
4400,277.3248898,0,0
4500,121.6643961,0,0
4600,96.7301388,0,0
4700,71.59649606,3.87281386e-16,0.9994998749
4800,75.60121987,0,0
4900,205.8277997,0,0
5000,271.9154946,0,0
5100,156.1749221,0,0
5200,264.9755765,0,0
5300,80.24045854,0,0
5400,154.8396845,0,0
5500,1.685296248,0,0
5600,51.3469606,0,0
5700,41.95907372,0,0
5800,69.35056397,0,0
6100,1349.568113,1.145617775e-13,0.004910257454
6200,153.6633058,0,0
6300,102.4914601,0,0
6400,153.6633035,0,0
6500,102.4914614,0,0
6600,0.03888949784,0,0
6601,0.1892705671,0,0
6700,1.100128016,0,0
6701,0.3042709126,0,0
6702,6.050738358,0,0
6800,0.03888931586,0,0
6801,0.189270662,0,0
6900,1.100123805,0,0
6901,0.3042708209,0,0
6902,6.05074075,0,0
7000,8.201118428,0,0
7100,47.99999846,0,0
7200,1.560964175,0,0
7201,1.043729985,0,0
7202,5.256181108,0,0
7203,165.0120124,0,0
7300,230.0000006,0,0
7400,12.34122773,0,0
7401,1.921644613,0,0
7402,4.831023158,0,0
7403,736.6617236,0,0
7500,45.22669119,0,0
7501,234.7733081,0,0
7600,4.450855099,0,0
7601,0.3218907158,0,0
7602,107.7839896,0,0
7700,100.0070035,0,0
7800,3.680164608,0,0
7801,0.2663179478,0,0
7802,64.84744016,0,0
7900,59.99499313,0,0
8000,2.195965822,0,0
8001,0.159996331,0,0
8002,66.42798484,0,0
8100,30.0050013,0,0
8200,3.020775327,0,0
8201,0.2195368713,0,0
8202,109.3204114,0,0
8300,50.00299463,0,0
8400,4.222046558,0,0
8401,0.3059269267,0,0
8402,51.76085913,0,0
8500,79.99299661,0,0
8600,31.26769463,0,0
8700,290.8899695,0,0
8800,370.000006,0,0
8900,149.091082,0,0
9000,37.44117633,0,0
9100,7.494248016,0,0
9200,125.1467025,0,0
9300,31.43977766,0,0
9400,6.291959956,0,0
9500,1810.000002,0,0
9700,427.255635,0,0
9900,522.5177096,0,0
10000,12.69547045,4.688393285e-15,0.9994998749
10100,12.69544257,0,0
10200,4.385693184,0,0
10300,103.6409332,0,0
10400,8.77145648,0,0
10500,8.771395776,0,0
10600,445.0216281,1.205093926e-16,0.8632222765
10700,8324.972881,0,0
10800,1479.723864,0,0
10900,7676.719927,0,0
11000,1.871018153,0,0
11001,0.1006174688,0,0
11002,41.24658622,0,0
11003,21.24000375,0,0
11100,6.318272095,0,0
11200,6.318275589,0,0
11300,144.55162,0,0
11400,0.6150875891,2.00134513e-13,0.9994998749
11600,844.5432189,2.566185553e-16,0.4939020211
11700,11513.36291,0,0
11800,2171.587829,0,0
11900,7795.947644,0,0
12000,35.87984162,0,0
12100,35.87987862,0,0
12200,155.5820784,1.737957746e-17,0.9994998749
12201,6.3244838,0,0
12300,871.6032649,0,0
12301,32.36827261,0,0
12400,380.9053944,0,0
12401,15.59845875,0,0
12500,924.5843397,0,0
12501,35.0246294,0,0
12600,19.09830624,0,0
12700,187.3999946,0,0
12800,40.56239654,0,0
12801,0.03608964952,0,0
13100,20.50279131,0,0
13200,19.45530683,0,0
13300,20.99518908,0,0
13301,40.41533026,0,0
13400,3.075414924,0,0
13500,7.688548223,0,0
13600,7.688548547,0,0
13700,39.45905292,0,0
13701,1.345473856,0,0
13800,199.9999984,0,0
13900,81.99316852,0,0
14000,0.03600626171,0,0
