
=====================================================================
 Run #0 / Number of event processed : 1000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               6.817          0.000e+00               -nan
     200|               8.649          0.000e+00               -nan
     300|               0.009          0.000e+00               -nan
     301|               0.035          0.000e+00               -nan
     302|               0.011          0.000e+00               -nan
     303|               4.375          0.000e+00               -nan
     400|               0.104          1.166e-13              0.713
     401|               0.288          9.465e-14              0.555
     402|               0.072          5.394e-14              0.571
     403|               0.036          6.808e-14              0.577
     404|               0.072          1.024e-13              0.714
     405|              14.180          1.083e-13              0.383
     500|               0.066          0.000e+00               -nan
     501|               0.016          0.000e+00               -nan
     600|               0.019          0.000e+00               -nan
     700|               8.201          3.339e-15              0.999
     800|               0.010          0.000e+00               -nan
     801|               0.013          0.000e+00               -nan
     802|               0.021          0.000e+00               -nan
     803|               0.053          0.000e+00               -nan
     804|               0.011          0.000e+00               -nan
     805|               0.021          0.000e+00               -nan
     806|               0.021          0.000e+00               -nan
     807|               0.021          0.000e+00               -nan
     808|               1.179          0.000e+00               -nan
     900|               1.906          0.000e+00               -nan
     910|               3.007          0.000e+00               -nan
    1000|             117.872          0.000e+00               -nan
    1010|             239.851          0.000e+00               -nan
    1100|              46.312          0.000e+00               -nan
    1110|             139.528          0.000e+00               -nan
    1200|              79.906          0.000e+00               -nan
    1210|             355.612          0.000e+00               -nan
    1300|             113.681          0.000e+00               -nan
    1400|             107.717          0.000e+00               -nan
    1500|              20.516          0.000e+00               -nan
    1600|             103.296          0.000e+00               -nan
    1700|              50.264          0.000e+00               -nan
    1800|              20.493          0.000e+00               -nan
    1900|             156.708          0.000e+00               -nan
    2000|              86.883          0.000e+00               -nan
    2100|              34.068          0.000e+00               -nan
    2200|             105.132          0.000e+00               -nan
    2300|              69.360          0.000e+00               -nan
    2400|              32.825          0.000e+00               -nan
    2500|              38.798          0.000e+00               -nan
    2600|             407.670          2.165e-13              0.052
    2700|             391.311          2.695e-13              0.057
    2800|             244.126          0.000e+00               -nan
    2900|             232.804          0.000e+00               -nan
    3000|              39.516          0.000e+00               -nan
    3100|             240.929          0.000e+00               -nan
    3200|             166.334          0.000e+00               -nan
    3300|              56.762          0.000e+00               -nan
    3400|             544.845          0.000e+00               -nan
    3500|             558.529          0.000e+00               -nan
    3600|              88.883          0.000e+00               -nan
    3700|             173.476          0.000e+00               -nan
    3800|             257.451          0.000e+00               -nan
    3900|              45.394          7.247e-15              0.997
    4000|              33.479          6.951e-15              0.999
    4100|             262.458          0.000e+00               -nan
    4200|             455.599          0.000e+00               -nan
    4300|             164.504          5.062e-17              0.999
    4400|             277.325          1.963e-16              0.887
    4500|             121.664          1.110e-16              0.999
    4600|              96.730          0.000e+00               -nan
    4700|              71.596          1.486e-14              0.462
    4800|              75.601          1.467e-14              0.507
    4900|             205.828          5.110e-16              0.999
