Organ ID,Organ Mass (g),Dose (Gy/source),Relative Error
100,6.816533158,4.247632021e-15,0.8857594394
200,8.648553978,2.620253037e-13,0.4649198847
300,0.008564642407,0,0
301,0.03455088067,0,0
302,0.01089318299,0,0
303,4.374578837,0,0
400,0.1041581236,0,0
401,0.2878573922,0,0
402,0.07230681899,0,0
403,0.03623167406,0,0
404,0.07248044634,0,0
405,14.18033102,0,0
500,0.06614430715,0,0
501,0.01611757951,0,0
600,0.01882475852,0,0
700,8.201122819,0,0
800,0.01023395671,0,0
801,0.01263400074,0,0
802,0.02110304104,0,0
803,0.05302815931,0,0
804,0.01065080834,0,0
805,0.02134790499,0,0
806,0.0214100712,0,0
807,0.02146976342,0,0
808,1.179008614,0,0
900,1.905949096,0,0
910,3.007187081,0,0
1000,117.8720728,1.579780268e-14,0.4817182104
1010,239.851239,5.499506452e-16,0.7668079432
1100,46.31249862,2.79138266e-17,0.9994998749
1110,139.5278927,1.171752425e-15,0.9158568404
1200,79.90579478,0,0
1210,355.6121419,0,0
1300,113.6814174,2.21538947e-16,0.9994998749
1400,107.7174853,0,0
1500,20.51623487,0,0
1600,103.2956326,5.331357875e-16,0.6751690758
1700,50.26410179,0,0
1800,20.49282149,0,0
1900,156.7082606,1.683175828e-15,0.7161910923
2000,86.882764,1.047393134e-16,0.7314177648
2100,34.06820067,1.050479365e-15,0.9994998749
2200,105.1315483,0,0
2300,69.36022516,0,0
2400,32.82525024,1.715085264e-16,0.9994998749
2500,38.79822057,0,0
2600,407.6700226,0,0
2700,391.3114656,0,0
2800,244.1262813,0,0
2900,232.8040702,7.731939158e-18,0.7078477055
3000,39.51633699,0,0
3100,240.9294145,0,0
3200,166.3336945,0,0
3300,56.76212663,0,0
3400,544.8452248,0,0
3500,558.529149,0,0
3600,88.8834275,0,0
3700,173.475747,0,0
3800,257.4510646,0,0
3900,45.39409987,0,0
4000,33.47875706,0,0
4100,262.4576301,2.335294582e-17,0.8296854738
4200,455.5985823,2.165967272e-17,0.9212792399
4300,164.5039908,4.580539482e-14,0.1225049249
4400,277.3248898,4.760136362e-14,0.1361499899
4500,121.6643961,5.809619126e-18,0.9994998749
4600,96.7301388,3.518401405e-18,0.9645445581
4700,71.59649606,0,0
4800,75.60121987,0,0
4900,205.8277997,2.405638224e-14,0.2197764337
5000,271.9154946,2.501664752e-14,0.2585901717
5100,156.1749221,2.644421347e-15,0.6035186683
5200,264.9755765,2.485118062e-15,0.510925067
5300,80.24045854,0,0
5400,154.8396845,0,0
5500,1.685296248,3.778082888e-14,0.6559095291
5600,51.3469606,3.49921932e-14,0.4475641695
5700,41.95907372,1.526583827e-13,0.2066176947
5800,69.35056397,3.357430754e-14,0.361955137
6100,1349.568113,1.339392523e-16,0.9994998749
6200,153.6633058,1.341160318e-15,0.7323766715
6300,102.4914601,2.169664877e-16,0.9994998749
6400,153.6633035,1.360112361e-15,0.8975334397
6500,102.4914614,1.443162843e-15,0.9717264842
6600,0.03888949784,0,0
6601,0.1892705671,0,0
6700,1.100128016,0,0
6701,0.3042709126,0,0
6702,6.050738358,0,0
6800,0.03888931586,0,0
6801,0.189270662,0,0
6900,1.100123805,0,0
6901,0.3042708209,0,0
6902,6.05074075,0,0
7000,8.201118428,3.400696489e-13,0.256247225
7100,47.99999846,2.236870443e-13,0.2331658871
7200,1.560964175,6.112741798e-14,0.4969180094
7201,1.043729985,3.23445835e-14,0.2737811009
7202,5.256181108,3.049749292e-14,0.2659200789
7203,165.0120124,5.727665144e-14,0.2076698311
7300,230.0000006,5.479856148e-14,0.2617587845
7400,12.34122773,5.032808868e-16,0.6462720503
7401,1.921644613,5.402333864e-16,0.7646843052
7402,4.831023158,8.074880257e-16,0.7821505499
7403,736.6617236,1.060334565e-15,0.4442197907
7500,45.22669119,9.936979872e-16,0.7280588287
7501,234.7733081,5.608760684e-15,0.7308082349
7600,4.450855099,1.675702147e-15,0.9994998749
7601,0.3218907158,1.375019271e-15,0.9994998749
7602,107.7839896,1.459192061e-15,0.8866534427
7700,100.0070035,4.494375246e-15,0.8922795406
7800,3.680164608,0,0
7801,0.2663179478,0,0
7802,64.84744016,9.663690768e-18,0.9994998749
7900,59.99499313,9.503485827e-17,0.9123937193
8000,2.195965822,0,0
8001,0.159996331,0,0
8002,66.42798484,5.753160518e-16,0.7270249854
8100,30.0050013,1.039801779e-16,0.9994998749
8200,3.020775327,0,0
8201,0.2195368713,0,0
8202,109.3204114,5.670055883e-17,0.9994998749
8300,50.00299463,1.615986557e-16,0.9994998749
8400,4.222046558,0,0
8401,0.3059269267,0,0
8402,51.76085913,1.49480502e-17,0.9994998749
8500,79.99299661,3.235687422e-17,0.7068900194
8600,31.26769463,3.521274529e-15,0.9994998749
8700,290.8899695,3.186588809e-14,0.2345548565
8800,370.000006,2.362940706e-14,0.2674103471
8900,149.091082,2.165831999e-16,0.6929554864
9000,37.44117633,0,0
9100,7.494248016,0,0
9200,125.1467025,1.280049758e-13,0.2258093614
9300,31.43977766,1.124817643e-13,0.3845973756
9400,6.291959956,1.341144218e-13,0.5308328059
9500,1810.000002,6.280315878e-13,0.01461393467
9700,427.255635,1.357966653e-15,0.4693359918
9900,522.5177096,6.381721308e-14,0.1251734419
10000,12.69547045,0,0
10100,12.69544257,8.938577709e-14,0.4086276429
10200,4.385693184,0,0
10300,103.6409332,0,0
10400,8.77145648,9.878581106e-18,0.9994998749
10500,8.771395776,0,0
10600,445.0216281,0,0
10700,8324.972881,5.690455697e-15,0.09130881567
10800,1479.723864,8.413950892e-16,0.4624844405
10900,7676.719927,4.746970345e-17,0.7167077591
11000,1.871018153,2.07951556e-14,0.5173329404
11001,0.1006174688,2.146408195e-14,0.5053750815
11002,41.24658622,3.940431984e-14,0.4351567644
11003,21.24000375,4.530234312e-14,0.5446217897
11100,6.318272095,0,0
11200,6.318275589,0,0
11300,144.55162,9.906205583e-14,0.2397868944
11400,0.6150875891,0,0
11600,844.5432189,0,0
11700,11513.36291,1.214951822e-14,0.05621584274
11800,2171.587829,2.220497672e-15,0.3039354757
11900,7795.947644,2.450153978e-18,0.9994998749
12000,35.87984162,0,0
12100,35.87987862,0,0
12200,155.5820784,0,0
12201,6.3244838,0,0
12300,871.6032649,7.262295646e-15,0.1275392594
12301,32.36827261,5.86709573e-15,0.1490943587
12400,380.9053944,2.824076433e-15,0.3067066087
12401,15.59845875,1.595817527e-15,0.311236344
12500,924.5843397,0,0
12501,35.0246294,0,0
12600,19.09830624,5.967837324e-18,0.9994998749
12700,187.3999946,1.80753046e-15,0.8900314468
12800,40.56239654,0,0
12801,0.03608964952,0,0
13100,20.50279131,0,0
13200,19.45530683,0,0
13300,20.99518908,0,0
13301,40.41533026,0,0
13400,3.075414924,0,0
13500,7.688548223,7.509559672e-16,0.9994998749
13600,7.688548547,0,0
13700,39.45905292,0,0
13701,1.345473856,0,0
13800,199.9999984,3.553449902e-17,0.9994998749
13900,81.99316852,0,0
14000,0.03600626171,0,0
