
=====================================================================
 Run #0 / Number of event processed : 1000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               6.817          4.248e-15              0.886
     200|               8.649          2.620e-13              0.465
     300|               0.009          0.000e+00               -nan
     301|               0.035          0.000e+00               -nan
     302|               0.011          0.000e+00               -nan
     303|               4.375          0.000e+00               -nan
     400|               0.104          0.000e+00               -nan
     401|               0.288          0.000e+00               -nan
     402|               0.072          0.000e+00               -nan
     403|               0.036          0.000e+00               -nan
     404|               0.072          0.000e+00               -nan
     405|              14.180          0.000e+00               -nan
     500|               0.066          0.000e+00               -nan
     501|               0.016          0.000e+00               -nan
     600|               0.019          0.000e+00               -nan
     700|               8.201          0.000e+00               -nan
     800|               0.010          0.000e+00               -nan
     801|               0.013          0.000e+00               -nan
     802|               0.021          0.000e+00               -nan
     803|               0.053          0.000e+00               -nan
     804|               0.011          0.000e+00               -nan
     805|               0.021          0.000e+00               -nan
     806|               0.021          0.000e+00               -nan
     807|               0.021          0.000e+00               -nan
     808|               1.179          0.000e+00               -nan
     900|               1.906          0.000e+00               -nan
     910|               3.007          0.000e+00               -nan
    1000|             117.872          1.580e-14              0.482
    1010|             239.851          5.500e-16              0.767
    1100|              46.312          2.791e-17              0.999
    1110|             139.528          1.172e-15              0.916
    1200|              79.906          0.000e+00               -nan
    1210|             355.612          0.000e+00               -nan
    1300|             113.681          2.215e-16              0.999
    1400|             107.717          0.000e+00               -nan
    1500|              20.516          0.000e+00               -nan
    1600|             103.296          5.331e-16              0.675
    1700|              50.264          0.000e+00               -nan
    1800|              20.493          0.000e+00               -nan
    1900|             156.708          1.683e-15              0.716
    2000|              86.883          1.047e-16              0.731
    2100|              34.068          1.050e-15              0.999
    2200|             105.132          0.000e+00               -nan
    2300|              69.360          0.000e+00               -nan
    2400|              32.825          1.715e-16              0.999
    2500|              38.798          0.000e+00               -nan
    2600|             407.670          0.000e+00               -nan
    2700|             391.311          0.000e+00               -nan
    2800|             244.126          0.000e+00               -nan
    2900|             232.804          7.732e-18              0.708
    3000|              39.516          0.000e+00               -nan
    3100|             240.929          0.000e+00               -nan
    3200|             166.334          0.000e+00               -nan
    3300|              56.762          0.000e+00               -nan
    3400|             544.845          0.000e+00               -nan
    3500|             558.529          0.000e+00               -nan
    3600|              88.883          0.000e+00               -nan
    3700|             173.476          0.000e+00               -nan
    3800|             257.451          0.000e+00               -nan
    3900|              45.394          0.000e+00               -nan
    4000|              33.479          0.000e+00               -nan
    4100|             262.458          2.335e-17              0.830
    4200|             455.599          2.166e-17              0.921
    4300|             164.504          4.581e-14              0.123
    4400|             277.325          4.760e-14              0.136
    4500|             121.664          5.810e-18              0.999
    4600|              96.730          3.518e-18              0.965
    4700|              71.596          0.000e+00               -nan
    4800|              75.601          0.000e+00               -nan
    4900|             205.828          2.406e-14              0.220
    5000|             271.915          2.502e-14              0.259
    5100|             156.175          2.644e-15              0.604
    5200|             264.976          2.485e-15              0.511
    5300|              80.240          0.000e+00               -nan
    5400|             154.840          0.000e+00               -nan
    5500|               1.685          3.778e-14              0.656
    5600|              51.347          3.499e-14              0.448
    5700|              41.959          1.527e-13              0.207
    5800|              69.351          3.357e-14              0.362
    6100|            1349.568          1.339e-16              0.999
    6200|             153.663          1.341e-15              0.732
    6300|             102.491          2.170e-16              0.999
    6400|             153.663          1.360e-15              0.898
    6500|             102.491          1.443e-15              0.972
    6600|               0.039          0.000e+00               -nan
    6601|               0.189          0.000e+00               -nan
    6700|               1.100          0.000e+00               -nan
    6701|               0.304          0.000e+00               -nan
    6702|               6.051          0.000e+00               -nan
    6800|               0.039          0.000e+00               -nan
    6801|               0.189          0.000e+00               -nan
    6900|               1.100          0.000e+00               -nan
    6901|               0.304          0.000e+00               -nan
    6902|               6.051          0.000e+00               -nan
    7000|               8.201          3.401e-13              0.256
    7100|              48.000          2.237e-13              0.233
    7200|               1.561          6.113e-14              0.497
    7201|               1.044          3.234e-14              0.274
    7202|               5.256          3.050e-14              0.266
    7203|             165.012          5.728e-14              0.208
    7300|             230.000          5.480e-14              0.262
    7400|              12.341          5.033e-16              0.646
    7401|               1.922          5.402e-16              0.765
    7402|               4.831          8.075e-16              0.782
    7403|             736.662          1.060e-15              0.444
    7500|              45.227          9.937e-16              0.728
    7501|             234.773          5.609e-15              0.731
    7600|               4.451          1.676e-15              0.999
    7601|               0.322          1.375e-15              0.999
    7602|             107.784          1.459e-15              0.887
    7700|             100.007          4.494e-15              0.892
    7800|               3.680          0.000e+00               -nan
    7801|               0.266          0.000e+00               -nan
    7802|              64.847          9.664e-18              0.999
    7900|              59.995          9.503e-17              0.912
    8000|               2.196          0.000e+00               -nan
    8001|               0.160          0.000e+00               -nan
    8002|              66.428          5.753e-16              0.727
    8100|              30.005          1.040e-16              0.999
    8200|               3.021          0.000e+00               -nan
    8201|               0.220          0.000e+00               -nan
    8202|             109.320          5.670e-17              0.999
    8300|              50.003          1.616e-16              0.999
    8400|               4.222          0.000e+00               -nan
    8401|               0.306          0.000e+00               -nan
    8402|              51.761          1.495e-17              0.999
    8500|              79.993          3.236e-17              0.707
    8600|              31.268          3.521e-15              0.999
    8700|             290.890          3.187e-14              0.235
    8800|             370.000          2.363e-14              0.267
    8900|             149.091          2.166e-16              0.693
    9000|              37.441          0.000e+00               -nan
    9100|               7.494          0.000e+00               -nan
    9200|             125.147          1.280e-13              0.226
    9300|              31.440          1.125e-13              0.385
    9400|               6.292          1.341e-13              0.531
    9500|            1810.000          6.280e-13              0.015
    9700|             427.256          1.358e-15              0.469
    9900|             522.518          6.382e-14              0.125
   10000|              12.695          0.000e+00               -nan
   10100|              12.695          8.939e-14              0.409
   10200|               4.386          0.000e+00               -nan
   10300|             103.641          0.000e+00               -nan
   10400|               8.771          9.879e-18              0.999
   10500|               8.771          0.000e+00               -nan
   10600|             445.022          0.000e+00               -nan
   10700|            8324.973          5.690e-15              0.091
   10800|            1479.724          8.414e-16              0.462
   10900|            7676.720          4.747e-17              0.717
   11000|               1.871          2.080e-14              0.517
   11001|               0.101          2.146e-14              0.505
   11002|              41.247          3.940e-14              0.435
   11003|              21.240          4.530e-14              0.545
   11100|               6.318          0.000e+00               -nan
   11200|               6.318          0.000e+00               -nan
   11300|             144.552          9.906e-14              0.240
   11400|               0.615          0.000e+00               -nan
   11600|             844.543          0.000e+00               -nan
   11700|           11513.363          1.215e-14              0.056
   11800|            2171.588          2.220e-15              0.304
   11900|            7795.948          2.450e-18              0.999
   12000|              35.880          0.000e+00               -nan
   12100|              35.880          0.000e+00               -nan
   12200|             155.582          0.000e+00               -nan
   12201|               6.324          0.000e+00               -nan
   12300|             871.603          7.262e-15              0.128
   12301|              32.368          5.867e-15              0.149
   12400|             380.905          2.824e-15              0.307
   12401|              15.598          1.596e-15              0.311
   12500|             924.584          0.000e+00               -nan
   12501|              35.025          0.000e+00               -nan
   12600|              19.098          5.968e-18              0.999
   12700|             187.400          1.808e-15              0.890
   12800|              40.562          0.000e+00               -nan
   12801|               0.036          0.000e+00               -nan
   13100|              20.503          0.000e+00               -nan
   13200|              19.455          0.000e+00               -nan
   13300|              20.995          0.000e+00               -nan
   13301|              40.415          0.000e+00               -nan
   13400|               3.075          0.000e+00               -nan
   13500|               7.689          7.510e-16              0.999
   13600|               7.689          0.000e+00               -nan
   13700|              39.459          0.000e+00               -nan
   13701|               1.345          0.000e+00               -nan
   13800|             200.000          3.553e-17              0.999
   13900|              81.993          0.000e+00               -nan
   14000|               0.036          0.000e+00               -nan
=====================================================================

