
=====================================================================
 Run #0 / Number of event processed : 1000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               6.817          0.000e+00               -nan
     200|               8.649          0.000e+00               -nan
     300|               0.009          0.000e+00               -nan
     301|               0.035          0.000e+00               -nan
     302|               0.011          0.000e+00               -nan
     303|               4.375          0.000e+00               -nan
     400|               0.104          0.000e+00               -nan
     401|               0.288          0.000e+00               -nan
     402|               0.072          0.000e+00               -nan
     403|               0.036          0.000e+00               -nan
     404|               0.072          0.000e+00               -nan
     405|              14.180          0.000e+00               -nan
     500|               0.066          5.933e-15              0.999
     501|               0.016          0.000e+00               -nan
     600|               0.019          0.000e+00               -nan
     700|               8.201          0.000e+00               -nan
     800|               0.010          0.000e+00               -nan
     801|               0.013          0.000e+00               -nan
     802|               0.021          0.000e+00               -nan
     803|               0.053          0.000e+00               -nan
     804|               0.011          0.000e+00               -nan
     805|               0.021          0.000e+00               -nan
     806|               0.021          0.000e+00               -nan
     807|               0.021          0.000e+00               -nan
     808|               1.179          0.000e+00               -nan
     900|               1.906          0.000e+00               -nan
     910|               3.007          0.000e+00               -nan
    1000|             117.872          8.940e-15              0.715
    1010|             239.851          1.384e-15              0.647
    1100|              46.312          5.939e-15              0.751
    1110|             139.528          5.292e-15              0.518
    1200|              79.906          0.000e+00               -nan
    1210|             355.612          1.283e-15              0.659
    1300|             113.681          3.298e-16              0.999
    1400|             107.717          0.000e+00               -nan
    1500|              20.516          0.000e+00               -nan
    1600|             103.296          1.340e-14              0.600
    1700|              50.264          3.671e-15              0.995
    1800|              20.493          2.565e-14              0.751
    1900|             156.708          9.054e-15              0.534
    2000|              86.883          9.615e-15              0.719
    2100|              34.068          1.319e-14              0.707
    2200|             105.132          0.000e+00               -nan
    2300|              69.360          0.000e+00               -nan
    2400|              32.825          0.000e+00               -nan
    2500|              38.798          0.000e+00               -nan
    2600|             407.670          4.134e-16              0.999
    2700|             391.311          1.318e-16              0.999
    2800|             244.126          6.011e-16              0.857
    2900|             232.804          4.741e-15              0.723
    3000|              39.516          0.000e+00               -nan
    3100|             240.929          0.000e+00               -nan
    3200|             166.334          0.000e+00               -nan
    3300|              56.762          5.749e-17              0.999
    3400|             544.845          0.000e+00               -nan
    3500|             558.529          0.000e+00               -nan
    3600|              88.883          0.000e+00               -nan
    3700|             173.476          0.000e+00               -nan
    3800|             257.451          0.000e+00               -nan
    3900|              45.394          0.000e+00               -nan
    4000|              33.479          0.000e+00               -nan
    4100|             262.458          2.948e-15              0.793
    4200|             455.599          3.007e-15              0.751
    4300|             164.504          9.906e-15              0.254
    4400|             277.325          1.141e-14              0.272
    4500|             121.664          8.069e-16              0.804
    4600|              96.730          0.000e+00               -nan
    4700|              71.596          0.000e+00               -nan
    4800|              75.601          0.000e+00               -nan
    4900|             205.828          6.555e-15              0.443
