
=====================================================================
 Run #0 / Number of event processed : 10000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               6.071          5.494e-17              0.710
     200|               7.703          7.525e-18              1.000
     300|               0.008          5.939e-14              0.891
     301|               0.032          5.935e-14              0.715
     302|               0.010          3.375e-14              0.867
     303|               4.046          2.784e-14              0.643
     400|               0.096          1.351e-14              0.422
     401|               0.265          1.781e-14              0.437
     402|               0.067          1.772e-14              0.486
     403|               0.033          1.647e-14              0.416
     404|               0.067          2.376e-14              0.477
     405|              13.047          1.583e-14              0.429
     500|               0.060          8.642e-15              0.616
     501|               0.015          1.304e-14              0.638
     600|               0.017          1.153e-14              0.608
     700|               7.311          6.807e-15              1.000
     800|               0.009          2.422e-15              1.000
     801|               0.011          2.624e-15              1.000
     802|               0.019          1.948e-15              1.000
     803|               0.047          2.689e-15              1.000
     804|               0.009          2.567e-15              1.000
     805|               0.019          2.936e-15              1.000
     806|               0.019          1.698e-15              1.000
     807|               0.019          2.687e-15              1.000
     808|               1.050          2.892e-15              1.000
     900|             217.547          8.125e-16              0.468
     910|             652.594          4.952e-16              0.348
    1300|             193.247          7.031e-16              0.441
    1400|              95.943          3.773e-15              0.474
    1500|              36.527          5.348e-17              0.865
    1700|              44.770          1.326e-17              1.000
    1900|             139.579          0.000e+00               -nan
    2000|              77.386          0.000e+00               -nan
    2100|              30.344          0.000e+00               -nan
    2200|              93.640          0.000e+00               -nan
    2300|              61.779          0.000e+00               -nan
    2400|              29.262          3.845e-15              0.354
    2500|              34.581          5.584e-15              0.418
    2600|             385.563          3.872e-14              0.044
    2700|             368.925          4.638e-14              0.050
    2800|             412.008          7.412e-17              0.944
    2900|             205.178          3.422e-16              0.986
    3000|              81.166          0.000e+00               -nan
    3200|             144.433          5.905e-20              1.000
    3400|             493.939          3.968e-17              1.000
    3500|             505.055          2.661e-16              0.927
    3600|              81.048          0.000e+00               -nan
    3700|             166.229          0.000e+00               -nan
    3800|             246.607          0.000e+00               -nan
    3900|              41.619          1.438e-14              0.257
    4000|              30.641          8.307e-15              0.393
    4100|             233.772          9.435e-17              0.611
    4200|             405.799          1.774e-16              0.715
    4300|             146.527          1.604e-15              0.319
    4400|             247.012          1.256e-15              0.315
    4500|             108.385          1.966e-15              0.421
    4600|              86.162          9.496e-16              0.433
    4700|              65.291          1.493e-14              0.184
    4800|              68.880          1.746e-14              0.194
    4900|             183.330          1.240e-15              0.323
    5000|             242.194          2.120e-15              0.374
    5100|             139.104          3.251e-16              0.839
    5200|             236.012          6.214e-16              0.548
    5300|              71.470          1.113e-16              0.896
    5400|             137.915          4.523e-17              0.979
    5500|               1.501          5.477e-16              0.743
    5600|              45.734          1.293e-15              0.846
    5700|              37.373          3.495e-15              0.914
    5800|              61.849          1.634e-15              0.569
    6100|            1276.256          6.745e-14              0.035
    6200|             147.121          2.098e-15              0.563
    6300|              91.289          2.814e-15              0.624
    6400|             147.173          2.716e-15              0.465
    6500|              91.289          3.347e-15              0.525
    6600|               0.036          0.000e+00               -nan
    6601|               0.176          0.000e+00               -nan
    6700|               1.025          3.244e-14              0.518
    6701|               0.283          0.000e+00               -nan
    6702|               5.636          2.717e-14              0.483
    6800|               0.036          0.000e+00               -nan
    6801|               0.176          0.000e+00               -nan
    6900|               1.025          1.367e-14              0.663
    6901|               0.283          4.339e-14              1.000
    6902|               5.635          2.158e-14              0.674
    7000|               7.305          3.315e-15              0.702
    7100|              42.753          1.919e-15              0.709
    7200|               1.390          1.581e-16              1.000
    7201|               0.930          1.456e-16              1.000
    7202|               4.682          1.117e-16              1.000
    7203|             146.975          4.225e-16              0.696
    7300|             204.860          3.446e-16              0.734
    7400|              10.992          2.114e-16              0.762
    7401|               1.712          1.414e-16              0.656
    7402|               4.303          1.884e-16              0.731
    7403|             656.136          2.034e-16              0.642
    7500|              40.283          2.035e-16              0.689
    7501|             209.111          5.213e-16              0.712
    7600|               3.964          0.000e+00               -nan
    7601|               0.287          0.000e+00               -nan
    7602|              96.003          1.006e-15              0.724
    7700|              89.076          0.000e+00               -nan
    7800|               3.278          0.000e+00               -nan
    7801|               0.237          0.000e+00               -nan
    7802|              57.759          0.000e+00               -nan
    7900|              53.437          0.000e+00               -nan
    8000|               1.956          1.342e-15              1.000
    8001|               0.143          1.314e-15              1.000
    8002|              59.167          1.325e-15              1.000
    8100|              26.725          8.451e-16              0.993
    8200|               2.691          0.000e+00               -nan
    8201|               0.196          0.000e+00               -nan
    8202|              97.371          8.341e-17              0.657
    8300|              44.537          1.729e-17              1.000
    8400|               3.761          0.000e+00               -nan
    8401|               0.272          0.000e+00               -nan
    8402|              46.101          0.000e+00               -nan
    8500|              71.249          0.000e+00               -nan
    8600|              27.850          0.000e+00               -nan
    8700|             259.094          2.203e-15              0.389
    8800|             329.557          2.738e-15              0.314
    8900|             132.795          8.344e-16              0.647
    9000|              33.349          2.389e-17              1.000
    9100|               6.675          0.000e+00               -nan
    9200|             111.467          6.325e-18              1.000
    9300|              28.003          0.000e+00               -nan
    9400|               5.604          0.000e+00               -nan
    9500|            1612.157          4.674e-16              0.354
    9700|             380.554          9.942e-16              0.417
    9900|             465.404          1.337e-15              0.335
   10000|              11.730          2.573e-14              0.284
   10100|              11.308          1.010e-16              0.587
   10200|               3.978          1.120e-14              0.569
   10300|              92.063          1.751e-16              1.000
   10400|               7.813          0.000e+00               -nan
   10500|               7.659          0.000e+00               -nan
   10600|           15824.544          1.106e-15              0.065
   11000|               1.668          1.512e-14              0.962
   11001|               0.090          5.394e-15              0.941
   11002|              36.764          2.212e-15              0.651
   11003|              18.930          7.477e-15              0.697
   11100|               5.628          0.000e+00               -nan
   11200|               5.628          0.000e+00               -nan
   11300|             128.751          5.995e-16              0.998
   11400|               0.574          5.690e-14              0.590
   11600|           22170.763          1.338e-15              0.045
   12000|              33.005          2.702e-14              0.254
   12100|              33.019          2.757e-14              0.253
   12200|            2159.529          2.181e-15              0.052
   12201|              82.178          1.972e-15              0.078
   12600|              17.140          1.979e-15              0.705
   12700|             166.916          2.155e-15              0.510
   12800|              37.225          1.005e-14              0.406
   12801|               0.033          9.983e-15              0.513
   13100|              18.262          2.873e-15              0.963
   13200|              17.329          2.537e-15              0.968
   13300|              19.308          1.525e-14              0.424
   13301|              36.988          9.116e-15              0.474
   13400|               2.832          1.140e-14              1.000
   13500|               6.848          0.000e+00               -nan
   13600|               6.848          0.000e+00               -nan
   13700|              34.332          0.000e+00               -nan
   13701|               2.012          0.000e+00               -nan
   13800|             178.139          0.000e+00               -nan
   13900|              73.031          0.000e+00               -nan
   14000|               0.033          1.447e-14              0.442
=====================================================================

