
=====================================================================
 Run #0 / Number of event processed : 10000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               6.071          1.840e-14              0.645
     200|               7.703          4.799e-14              0.354
     300|               0.008          0.000e+00               -nan
     301|               0.032          0.000e+00               -nan
     302|               0.010          0.000e+00               -nan
     303|               4.046          3.151e-16              1.000
     400|               0.096          0.000e+00               -nan
     401|               0.265          0.000e+00               -nan
     402|               0.067          0.000e+00               -nan
     403|               0.033          0.000e+00               -nan
     404|               0.067          0.000e+00               -nan
     405|              13.047          1.006e-16              1.000
     500|               0.060          1.047e-15              1.000
     501|               0.015          0.000e+00               -nan
     600|               0.017          0.000e+00               -nan
     700|               7.311          1.039e-14              0.645
     800|               0.009          2.731e-15              1.000
     801|               0.011          3.900e-15              1.000
     802|               0.019          3.488e-15              1.000
     803|               0.047          3.059e-15              1.000
     804|               0.009          5.442e-15              1.000
     805|               0.019          2.054e-15              1.000
     806|               0.019          2.292e-15              1.000
     807|               0.019          5.830e-15              1.000
     808|               1.050          1.030e-14              0.731
     900|             217.547          6.058e-15              0.168
     910|             652.594          2.656e-15              0.134
    1300|             193.247          1.552e-15              0.348
    1400|              95.943          2.491e-15              0.620
    1500|              36.527          3.916e-15              0.592
    1700|              44.770          3.423e-15              0.540
    1900|             139.579          1.982e-15              0.347
    2000|              77.386          8.829e-16              0.506
    2100|              30.344          1.718e-15              0.556
    2200|              93.640          4.910e-16              0.770
    2300|              61.779          3.197e-16              0.964
    2400|              29.262          2.764e-15              0.489
    2500|              34.581          2.661e-15              0.745
    2600|             385.563          1.162e-15              0.286
    2700|             368.925          1.080e-15              0.368
    2800|             412.008          2.030e-16              0.397
    2900|             205.178          9.384e-16              0.558
    3000|              81.166          8.750e-17              0.953
    3200|             144.433          1.441e-16              0.962
    3400|             493.939          1.017e-16              0.668
    3500|             505.055          2.561e-16              0.678
    3600|              81.048          0.000e+00               -nan
    3700|             166.229          0.000e+00               -nan
    3800|             246.607          0.000e+00               -nan
    3900|              41.619          5.070e-16              0.569
    4000|              30.641          2.675e-15              0.704
    4100|             233.772          1.782e-15              0.297
    4200|             405.799          1.251e-15              0.301
    4300|             146.527          1.403e-14              0.080
    4400|             247.012          1.523e-14              0.083
    4500|             108.385          4.077e-15              0.253
    4600|              86.162          3.541e-15              0.401
    4700|              65.291          1.203e-15              0.665
    4800|              68.880          3.677e-16              0.690
    4900|             183.330          1.353e-14              0.112
    5000|             242.194          1.509e-14              0.126
    5100|             139.104          1.423e-14              0.128
    5200|             236.012          1.585e-14              0.132
    5300|              71.470          3.430e-15              0.349
    5400|             137.915          2.690e-15              0.421
    5500|               1.501          1.567e-14              0.261
    5600|              45.734          1.986e-14              0.245
    5700|              37.373          2.373e-14              0.198
    5800|              61.849          1.568e-14              0.212
    6100|            1276.256          1.261e-15              0.261
    6200|             147.121          7.323e-15              0.231
    6300|              91.289          4.184e-15              0.360
    6400|             147.173          1.242e-14              0.191
    6500|              91.289          7.309e-15              0.285
    6600|               0.036          0.000e+00               -nan
    6601|               0.176          0.000e+00               -nan
    6700|               1.025          1.003e-14              1.000
    6701|               0.283          0.000e+00               -nan
    6702|               5.636          3.644e-15              1.000
    6800|               0.036          0.000e+00               -nan
    6801|               0.176          0.000e+00               -nan
    6900|               1.025          0.000e+00               -nan
    6901|               0.283          0.000e+00               -nan
    6902|               5.635          0.000e+00               -nan
    7000|               7.305          3.501e-14              0.218
    7100|              42.753          3.386e-14              0.228
    7200|               1.390          1.770e-14              0.157
    7201|               0.930          1.993e-14              0.163
    7202|               4.682          2.365e-14              0.182
    7203|             146.975          2.099e-14              0.115
    7300|             204.860          2.719e-14              0.126
    7400|              10.992          4.317e-15              0.209
    7401|               1.712          5.617e-15              0.261
    7402|               4.303          6.912e-15              0.277
    7403|             656.136          5.693e-15              0.127
    7500|              40.283          4.166e-15              0.242
    7501|             209.111          5.337e-15              0.198
    7600|               3.964          6.038e-15              0.468
    7601|               0.287          6.285e-15              0.546
    7602|              96.003          7.432e-15              0.318
    7700|              89.076          6.493e-15              0.353
    7800|               3.278          7.977e-15              0.388
    7801|               0.237          6.946e-15              0.405
    7802|              57.759          8.972e-15              0.279
    7900|              53.437          9.483e-15              0.345
    8000|               1.956          6.858e-15              0.695
    8001|               0.143          2.333e-15              0.598
    8002|              59.167          9.034e-15              0.360
    8100|              26.725          3.213e-15              0.624
    8200|               2.691          4.102e-15              0.666
    8201|               0.196          4.914e-15              0.750
    8202|              97.371          1.984e-15              0.492
    8300|              44.537          6.009e-15              0.619
    8400|               3.761          9.880e-16              0.975
    8401|               0.272          2.699e-16              1.000
    8402|              46.101          1.316e-15              0.651
    8500|              71.249          1.617e-15              0.775
    8600|              27.850          1.095e-18              1.000
    8700|             259.094          1.793e-14              0.116
    8800|             329.557          1.444e-14              0.131
    8900|             132.795          1.041e-14              0.227
    9000|              33.349          1.017e-14              0.375
    9100|               6.675          2.489e-15              0.592
    9200|             111.467          2.638e-14              0.154
    9300|              28.003          2.607e-14              0.294
    9400|               5.604          3.086e-14              0.442
    9500|            1612.157          5.742e-14              0.034
    9700|             380.554          8.027e-15              0.146
    9900|             465.404          1.857e-14              0.090
   10000|              11.730          6.183e-16              1.000
   10100|              11.308          1.482e-14              0.315
   10200|               3.978          7.370e-15              0.708
   10300|              92.063          4.163e-15              0.238
   10400|               7.813          3.515e-16              0.636
   10500|               7.659          0.000e+00               -nan
   10600|           15824.544          2.534e-15              0.042
   11000|               1.668          1.190e-14              0.416
   11001|               0.090          1.575e-14              0.457
   11002|              36.764          1.364e-14              0.256
   11003|              18.930          1.162e-14              0.357
   11100|               5.628          9.013e-16              1.000
   11200|               5.628          1.854e-16              1.000
   11300|             128.751          1.732e-14              0.179
   11400|               0.574          0.000e+00               -nan
   11600|           22170.763          3.926e-15              0.028
   12000|              33.005          1.447e-15              0.718
   12100|              33.019          2.521e-16              1.000
   12200|            2159.529          2.679e-15              0.052
   12201|              82.178          2.530e-15              0.083
   12600|              17.140          1.950e-14              0.280
   12700|             166.916          1.496e-14              0.184
   12800|              37.225          1.045e-15              0.977
   12801|               0.033          4.212e-16              1.000
   13100|              18.262          4.059e-15              0.916
   13200|              17.329          3.385e-15              0.789
   13300|              19.308          4.814e-17              0.559
   13301|              36.988          1.060e-15              0.882
   13400|               2.832          1.296e-15              1.000
   13500|               6.848          1.457e-15              0.934
   13600|               6.848          1.458e-15              0.989
   13700|              34.332          3.945e-15              0.481
   13701|               2.012          1.731e-15              0.474
   13800|             178.139          1.891e-15              0.429
   13900|              73.031          5.499e-16              0.885
   14000|               0.033          2.643e-15              0.546
=====================================================================

