
=====================================================================
 Run #0 / Number of event processed : 10000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          0.000e+00               -nan
     200|               8.683          0.000e+00               -nan
     300|               0.022          1.539e-15              1.000
     301|               0.090          1.978e-15              1.000
     302|               0.028          6.400e-16              1.000
     303|              11.291          1.710e-15              0.758
     400|               0.141          5.954e-14              0.190
     401|               0.390          7.796e-14              0.205
     402|               0.098          1.033e-13              0.315
     403|               0.049          6.036e-14              0.199
     404|               0.098          6.021e-14              0.236
     405|              28.808          7.896e-14              0.134
     500|               0.086          2.162e-15              0.909
     501|               0.024          1.008e-14              0.381
     600|               0.023          0.000e+00               -nan
     700|              10.364          0.000e+00               -nan
     800|               0.025          0.000e+00               -nan
     801|               0.031          0.000e+00               -nan
     802|               0.052          0.000e+00               -nan
     803|               0.130          0.000e+00               -nan
     804|               0.026          0.000e+00               -nan
     805|               0.052          0.000e+00               -nan
     806|               0.052          0.000e+00               -nan
     807|               0.053          0.000e+00               -nan
     808|               2.777          0.000e+00               -nan
     900|               1.504          0.000e+00               -nan
     910|               6.944          4.346e-15              0.567
    1000|             193.197          1.583e-16              0.713
    1010|             444.035          2.656e-18              1.000
    1100|              32.463          0.000e+00               -nan
    1110|             167.269          2.427e-19              1.000
    1200|             108.832          0.000e+00               -nan
    1210|             389.741          0.000e+00               -nan
    1300|             159.196          4.945e-17              0.997
    1400|             145.689          1.404e-17              0.702
    1500|              34.244          1.480e-16              1.000
    1600|             106.720          1.119e-18              1.000
    1700|              50.890          0.000e+00               -nan
    1800|              37.397          0.000e+00               -nan
    1900|             273.409          0.000e+00               -nan
    2000|             154.981          0.000e+00               -nan
    2100|              22.996          0.000e+00               -nan
    2200|             181.529          0.000e+00               -nan
    2300|             118.927          0.000e+00               -nan
    2400|              48.252          5.942e-16              0.871
    2500|              45.057          4.813e-17              0.698
    2600|             568.469          2.150e-13              0.015
    2700|             382.073          2.462e-13              0.018
    2800|             253.548          0.000e+00               -nan
    2900|             413.232          0.000e+00               -nan
    3000|              26.045          0.000e+00               -nan
    3100|             307.761          0.000e+00               -nan
    3200|             373.652          0.000e+00               -nan
    3300|              82.179          0.000e+00               -nan
    3400|             536.651          0.000e+00               -nan
    3500|             621.408          0.000e+00               -nan
    3600|              79.815          0.000e+00               -nan
    3700|             234.882          0.000e+00               -nan
    3800|             432.615          0.000e+00               -nan
    3900|              76.877          1.484e-15              0.513
    4000|              56.287          2.797e-15              0.495
    4100|             402.595          1.485e-17              1.000
    4200|             619.672          1.715e-18              1.000
    4300|             368.797          5.365e-17              0.571
    4400|             457.351          1.368e-16              0.857
    4500|             223.333          9.991e-17              0.469
    4600|             156.670          5.293e-17              0.624
    4700|             103.943          1.255e-14              0.134
    4800|              78.915          1.644e-14              0.169
    4900|             289.440          1.987e-17              0.375
    5000|             345.222          4.770e-17              0.587
    5100|             188.047          2.373e-18              1.000
    5200|             291.584          5.157e-18              1.000
    5300|             110.320          0.000e+00               -nan
    5400|             192.224          0.000e+00               -nan
    5500|               9.991          0.000e+00               -nan
    5600|              61.420          0.000e+00               -nan
    5700|              56.331          0.000e+00               -nan
    5800|              82.063          3.757e-18              0.745
    6100|            1517.390          7.612e-13              0.005
    6200|               7.769          0.000e+00               -nan
    6300|               5.180          0.000e+00               -nan
    6400|               7.769          0.000e+00               -nan
    6500|               5.180          0.000e+00               -nan
    6600|               0.039          0.000e+00               -nan
    6601|               0.189          0.000e+00               -nan
    6700|               1.113          6.039e-14              0.487
    6701|               0.308          1.960e-14              0.969
    6702|               6.122          4.830e-14              0.379
    6800|               0.039          0.000e+00               -nan
    6801|               0.189          0.000e+00               -nan
    6900|               1.113          3.467e-14              0.363
    6901|               0.308          0.000e+00               -nan
    6902|               6.122          4.289e-14              0.417
    7000|              10.364          0.000e+00               -nan
    7100|              58.000          2.407e-18              1.000
    7200|               1.784          1.183e-16              1.000
    7201|               1.193          1.928e-16              1.000
