
=====================================================================
 Run #0 / Number of event processed : 10000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          2.178e-16              0.648
     200|               8.683          1.815e-13              0.160
     300|               0.022          0.000e+00               -nan
     301|               0.090          0.000e+00               -nan
     302|               0.028          0.000e+00               -nan
     303|              11.291          0.000e+00               -nan
     400|               0.141          0.000e+00               -nan
     401|               0.390          0.000e+00               -nan
     402|               0.098          0.000e+00               -nan
     403|               0.049          0.000e+00               -nan
     404|               0.098          0.000e+00               -nan
     405|              28.808          0.000e+00               -nan
     500|               0.086          0.000e+00               -nan
     501|               0.024          0.000e+00               -nan
     600|               0.023          0.000e+00               -nan
     700|              10.364          4.270e-18              1.000
     800|               0.025          1.157e-15              1.000
     801|               0.031          1.039e-15              1.000
     802|               0.052          1.384e-15              1.000
     803|               0.130          3.031e-15              1.000
     804|               0.026          9.747e-16              1.000
     805|               0.052          6.954e-15              0.768
     806|               0.052          5.819e-15              0.756
     807|               0.053          2.505e-15              1.000
     808|               2.777          2.893e-15              1.000
     900|               1.504          0.000e+00               -nan
     910|               6.944          0.000e+00               -nan
    1000|             193.197          1.396e-14              0.141
    1010|             444.035          7.787e-15              0.097
    1100|              32.463          7.954e-17              0.571
    1110|             167.269          3.959e-16              0.536
    1200|             108.832          0.000e+00               -nan
    1210|             389.741          2.819e-19              1.000
    1300|             159.196          2.522e-16              0.517
    1400|             145.689          1.687e-17              0.470
    1500|              34.244          7.342e-17              0.827
    1600|             106.720          2.571e-16              0.402
    1700|              50.890          1.932e-16              0.559
    1800|              37.397          2.215e-17              0.562
    1900|             273.409          3.693e-17              0.305
    2000|             154.981          7.456e-17              0.521
    2100|              22.996          7.209e-18              1.000
    2200|             181.529          3.707e-18              1.000
    2300|             118.927          0.000e+00               -nan
    2400|              48.252          3.056e-16              0.718
    2500|              45.057          3.967e-16              0.578
    2600|             568.469          1.359e-19              1.000
    2700|             382.073          3.605e-17              0.987
    2800|             253.548          0.000e+00               -nan
    2900|             413.232          1.376e-18              1.000
    3000|              26.045          0.000e+00               -nan
    3100|             307.761          0.000e+00               -nan
    3200|             373.652          0.000e+00               -nan
    3300|              82.179          0.000e+00               -nan
    3400|             536.651          0.000e+00               -nan
    3500|             621.408          0.000e+00               -nan
    3600|              79.815          0.000e+00               -nan
    3700|             234.882          0.000e+00               -nan
    3800|             432.615          0.000e+00               -nan
    3900|              76.877          8.882e-18              1.000
    4000|              56.287          1.030e-18              1.000
    4100|             402.595          2.630e-16              0.583
    4200|             619.672          5.663e-17              0.390
    4300|             368.797          3.494e-14              0.038
    4400|             457.351          3.534e-14              0.044
    4500|             223.333          1.467e-16              0.241
    4600|             156.670          5.247e-17              0.362
    4700|             103.943          5.401e-17              0.561
    4800|              78.915          7.841e-19              0.856
    4900|             289.440          9.806e-15              0.091
    5000|             345.222          1.576e-14              0.105
    5100|             188.047          5.375e-16              0.294
    5200|             291.584          5.414e-16              0.451
    5300|             110.320          2.210e-17              0.658
    5400|             192.224          1.229e-16              0.904
    5500|               9.991          2.080e-14              0.243
    5600|              61.420          1.437e-14              0.232
    5700|              56.331          7.056e-14              0.081
    5800|              82.063          1.330e-14              0.167
    6100|            1517.390          1.247e-17              0.563
