
=====================================================================
 Run #0 / Number of event processed : 1000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          3.192e-15              0.725
     200|               8.683          1.285e-13              0.999
     300|               0.022          0.000e+00               -nan
     301|               0.090          0.000e+00               -nan
     302|               0.028          0.000e+00               -nan
     303|              11.291          0.000e+00               -nan
     400|               0.141          0.000e+00               -nan
     401|               0.390          0.000e+00               -nan
     402|               0.098          0.000e+00               -nan
     403|               0.049          0.000e+00               -nan
     404|               0.098          0.000e+00               -nan
     405|              28.808          0.000e+00               -nan
     500|               0.086          0.000e+00               -nan
     501|               0.024          0.000e+00               -nan
     600|               0.023          0.000e+00               -nan
     700|              10.364          0.000e+00               -nan
     800|               0.025          7.485e-14              0.827
     801|               0.031          3.701e-14              0.589
     802|               0.052          4.956e-14              0.676
     803|               0.130          3.904e-14              0.584
     804|               0.026          4.070e-14              0.591
     805|               0.052          4.360e-14              0.606
     806|               0.052          4.044e-14              0.640
     807|               0.053          2.919e-14              0.611
     808|               2.777          5.296e-14              0.629
     900|               1.504          0.000e+00               -nan
     910|               6.944          0.000e+00               -nan
    1000|             193.197          8.479e-15              0.587
    1010|             444.035          6.508e-15              0.424
    1100|              32.463          0.000e+00               -nan
    1110|             167.269          2.125e-15              0.731
    1200|             108.832          0.000e+00               -nan
    1210|             389.741          2.244e-16              0.970
    1300|             159.196          3.689e-17              0.999
    1400|             145.689          1.303e-16              0.999
    1500|              34.244          0.000e+00               -nan
    1600|             106.720          1.680e-14              0.732
    1700|              50.890          4.778e-15              0.999
    1800|              37.397          5.836e-15              0.999
    1900|             273.409          1.405e-15              0.793
    2000|             154.981          0.000e+00               -nan
    2100|              22.996          0.000e+00               -nan
    2200|             181.529          6.361e-16              0.999
    2300|             118.927          0.000e+00               -nan
    2400|              48.252          1.522e-16              0.999
    2500|              45.057          6.611e-17              0.999
    2600|             568.469          0.000e+00               -nan
    2700|             382.073          0.000e+00               -nan
    2800|             253.548          0.000e+00               -nan
    2900|             413.232          2.361e-18              0.999
    3000|              26.045          0.000e+00               -nan
    3100|             307.761          0.000e+00               -nan
    3200|             373.652          0.000e+00               -nan
    3300|              82.179          0.000e+00               -nan
    3400|             536.651          0.000e+00               -nan
    3500|             621.408          0.000e+00               -nan
    3600|              79.815          0.000e+00               -nan
    3700|             234.882          0.000e+00               -nan
    3800|             432.615          0.000e+00               -nan
    3900|              76.877          3.963e-15              0.999
    4000|              56.287          0.000e+00               -nan
    4100|             402.595          5.984e-17              0.722
    4200|             619.672          2.901e-17              0.802
    4300|             368.797          5.885e-15              0.250
    4400|             457.351          6.959e-15              0.334
    4500|             223.333          3.080e-15              0.552
    4600|             156.670          7.293e-15              0.900
    4700|             103.943          4.257e-15              0.999
    4800|              78.915          0.000e+00               -nan
    4900|             289.440          8.497e-15              0.355
    5000|             345.222          8.118e-15              0.341
    5100|             188.047          4.618e-15              0.566
    5200|             291.584          8.902e-15              0.581
    5300|             110.320          1.652e-15              0.999
    5400|             192.224          5.497e-16              0.759
    5500|               9.991          7.972e-15              0.714
    5600|              61.420          1.414e-14              0.742
    5700|              56.331          9.306e-15              0.601
    5800|              82.063          1.383e-15              0.710
    6100|            1517.390          3.668e-17              0.862
    6200|               7.769          0.000e+00               -nan
    6300|               5.180          0.000e+00               -nan
    6400|               7.769          4.006e-14              0.717
    6500|               5.180          3.917e-14              0.999
    6600|               0.039          0.000e+00               -nan
    6601|               0.189          0.000e+00               -nan
    6700|               1.113          0.000e+00               -nan
    6701|               0.308          0.000e+00               -nan
    6702|               6.122          0.000e+00               -nan
    6800|               0.039          0.000e+00               -nan
    6801|               0.189          0.000e+00               -nan
    6900|               1.113          0.000e+00               -nan
    6901|               0.308          0.000e+00               -nan
    6902|               6.122          0.000e+00               -nan
    7000|              10.364          3.723e-14              0.598
    7100|              58.000          2.720e-14              0.586
    7200|               1.784          2.342e-14              0.446
    7201|               1.193          2.711e-14              0.597
    7202|               6.008          3.467e-14              0.497
    7203|             185.286          1.768e-14              0.324
    7300|             250.000          1.628e-14              0.386
    7400|              14.547          3.075e-15              0.516
    7401|               2.264          2.256e-15              0.617
    7402|               5.692          5.541e-15              0.639
    7403|             840.096          7.223e-15              0.305
    7500|              53.337          4.053e-15              0.541
    7501|             296.663          1.800e-15              0.506
    7600|               3.071          6.504e-16              0.999
    7601|               0.223          0.000e+00               -nan
    7602|             116.634          2.096e-17              0.966
    7700|              55.000          4.541e-16              0.682
    7800|               3.993          2.295e-14              0.904
    7801|               0.289          8.099e-15              0.802
    7802|              75.671          1.493e-14              0.603
    7900|              95.000          9.169e-15              0.835
    8000|               2.824          2.039e-14              0.999
    8001|               0.205          2.805e-15              0.999
    8002|              76.924          6.287e-15              0.686
    8100|              40.000          3.400e-14              0.985
    8200|               2.779          1.107e-14              0.999
    8201|               0.203          7.152e-15              0.999
    8202|             116.946          1.031e-14              0.745
    8300|              35.000          7.118e-15              0.999
    8400|               4.451          3.607e-15              0.999
    8401|               0.324          6.983e-15              0.999
    8402|              48.524          4.217e-15              0.706
    8500|              75.000          5.727e-15              0.987
    8600|              39.976          0.000e+00               -nan
    8700|             385.839          2.116e-14              0.325
    8800|             510.000          9.522e-15              0.441
    8900|             162.338          2.409e-15              0.996
    9000|              38.359          0.000e+00               -nan
    9100|               7.652          0.000e+00               -nan
    9200|             166.542          1.737e-14              0.555
    9300|              39.362          9.249e-17              0.999
    9400|               7.892          0.000e+00               -nan
    9500|            2360.000          4.321e-14              0.103
    9700|             545.877          6.076e-15              0.453
    9900|             652.861          7.373e-15              0.346
   10000|              15.949          0.000e+00               -nan
   10100|              15.949          3.341e-14              0.606
   10200|               5.510          1.373e-14              0.999
   10300|             130.204          7.825e-15              0.542
   10400|              11.019          8.023e-15              0.999
   10500|              11.019          0.000e+00               -nan
   10600|            1200.828          3.316e-15              0.534
   10700|           14844.730          3.372e-15              0.126
   10800|            2843.507          3.053e-15              0.302
   10900|           10887.729          1.346e-16              0.797
   11000|               1.919          0.000e+00               -nan
   11001|               0.103          0.000e+00               -nan
   11002|              49.783          7.389e-15              0.999
   11003|              22.870          0.000e+00               -nan
   11300|             173.631          8.853e-15              0.665
   11400|               0.622          0.000e+00               -nan
   11500|              17.618          0.000e+00               -nan
   11600|             975.622          1.633e-15              0.492
   11700|           11176.900          5.260e-15              0.101
   11800|            1549.842          4.570e-15              0.269
   11900|            4510.134          4.304e-17              0.558
   12000|              44.045          0.000e+00               -nan
   12100|              44.045          0.000e+00               -nan
   12200|             259.230          2.804e-15              0.742
   12201|               8.470          5.101e-16              0.999
   12300|            1271.006          2.716e-15              0.209
   12301|              38.418          3.168e-15              0.219
   12400|             575.709          2.052e-15              0.284
   12401|              18.843          3.384e-15              0.603
   12500|            1259.982          1.009e-16              0.706
   12501|              37.790          7.881e-17              0.721
   12600|              37.952          5.155e-15              0.974
   12700|             228.400          4.358e-15              0.962
   12800|              50.727          1.023e-16              0.999
   12801|               0.043          0.000e+00               -nan
   12900|              18.617          0.000e+00               -nan
   13000|              18.617          0.000e+00               -nan
   13100|              25.909          0.000e+00               -nan
   13200|              23.351          1.017e-16              0.999
   13300|              20.993          0.000e+00               -nan
   13301|              54.552          1.110e-15              0.999
   13400|               3.109          0.000e+00               -nan
   13500|               8.809          0.000e+00               -nan
   13600|               7.773          0.000e+00               -nan
   13700|              49.781          4.466e-15              0.999
   13701|               1.318          1.716e-14              0.999
   13800|             200.000          1.572e-15              0.999
   14000|               0.140          5.615e-15              0.716
=====================================================================

