
=====================================================================
 Run #0 / Number of event processed : 10000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               7.683          4.279e-18              1.000
     200|               7.683          2.950e-15              1.000
     300|               0.021          1.634e-15              1.000
     301|               0.084          2.401e-15              1.000
     302|               0.026          6.173e-15              1.000
     303|              10.590          1.501e-14              0.570
     400|               0.130          1.818e-14              0.684
     401|               0.360          2.189e-14              0.706
     402|               0.090          5.958e-15              0.371
     403|               0.045          1.300e-14              0.593
     404|               0.090          3.417e-14              0.578
     405|              26.657          2.002e-14              0.252
     500|               0.079          1.699e-14              0.501
     501|               0.022          6.807e-15              0.554
     600|               0.021          3.559e-14              0.790
     700|               9.170          1.505e-15              0.766
     800|               0.022          1.687e-14              1.000
     801|               0.028          1.771e-14              1.000
     802|               0.046          1.761e-14              1.000
     803|               0.115          1.477e-14              1.000
     804|               0.023          4.087e-15              1.000
     805|               0.046          2.361e-14              1.000
     806|               0.046          5.241e-15              1.000
     807|               0.047          5.029e-15              1.000
     808|               2.457          7.962e-15              0.997
     900|             296.003          6.985e-16              0.408
     910|             888.516          3.847e-16              0.312
    1300|             235.295          1.272e-15              0.430
    1400|             128.912          7.149e-16              0.483
    1500|              63.391          7.523e-16              1.000
    1700|              45.030          0.000e+00               -nan
    1900|             241.682          2.145e-16              0.716
    2000|             137.134          1.412e-16              1.000
    2100|              20.348          0.000e+00               -nan
    2200|             160.625          4.307e-16              0.991
    2300|             105.232          0.000e+00               -nan
    2400|              42.695          3.675e-15              0.527
    2500|              39.868          3.215e-15              0.556
    2600|             541.371          3.846e-14              0.041
    2700|             363.803          4.184e-14              0.049
    2800|             487.395          1.409e-17              1.000
    2900|             360.852          1.562e-16              0.920
    3000|              93.493          0.000e+00               -nan
    3200|             327.357          0.000e+00               -nan
    3400|             480.064          0.000e+00               -nan
    3500|             554.273          0.000e+00               -nan
    3600|              71.681          0.000e+00               -nan
    3700|             215.773          0.000e+00               -nan
    3800|             397.299          0.000e+00               -nan
    3900|              70.800          1.301e-14              0.214
    4000|              51.724          1.123e-14              0.267
    4100|             356.234          1.144e-18              1.000
    4200|             548.313          1.594e-16              0.995
    4300|             326.324          1.059e-15              0.245
    4400|             404.685          1.723e-15              0.237
    4500|             197.615          2.551e-15              0.326
    4600|             138.629          1.890e-15              0.426
    4700|              94.260          1.220e-14              0.191
    4800|              71.649          1.722e-14              0.212
    4900|             256.109          2.864e-15              0.314
    5000|             305.468          1.884e-15              0.344
    5100|             166.393          1.073e-16              0.538
    5200|             258.007          1.593e-16              0.758
    5300|              97.616          0.000e+00               -nan
    5400|             170.088          4.018e-18              1.000
    5500|               8.840          2.007e-15              0.620
    5600|              54.347          1.979e-15              0.819
    5700|              49.845          4.593e-16              0.970
    5800|              72.697          9.101e-16              0.463
    6100|            1449.542          6.621e-14              0.033
    6200|               6.888          0.000e+00               -nan
    6300|               4.584          0.000e+00               -nan
    6400|               6.888          0.000e+00               -nan
    6500|               4.584          0.000e+00               -nan
    6600|               0.037          4.391e-14              1.000
    6601|               0.179          3.190e-14              1.000
    6700|               1.054          2.174e-14              0.507
    6701|               0.291          7.179e-14              0.679
    6702|               5.795          3.941e-14              0.580
    6800|               0.037          6.992e-14              1.000
    6801|               0.179          1.360e-13              1.000
    6900|               1.054          1.074e-14              0.623
    6901|               0.291          5.661e-14              0.897
    6902|               5.794          2.239e-14              0.579
    7000|               9.170          3.723e-16              1.000
    7100|              51.321          1.329e-15              0.839
    7200|               1.578          3.486e-16              0.589
    7201|               1.055          3.464e-16              0.584
    7202|               5.316          4.577e-16              0.606
    7203|             163.949          5.626e-16              0.483
    7300|             221.211          7.884e-16              0.552
    7400|              12.872          1.167e-16              0.709
    7401|               2.004          9.217e-17              0.708
    7402|               5.036          9.873e-17              0.708
    7403|             743.355          3.052e-16              0.356
    7500|              47.195          1.614e-16              0.663
    7501|             262.500          1.871e-16              0.815
    7600|               2.718          0.000e+00               -nan
    7601|               0.198          0.000e+00               -nan
    7602|             103.203          0.000e+00               -nan
    7700|              48.666          0.000e+00               -nan
    7800|               3.533          0.000e+00               -nan
    7801|               0.255          0.000e+00               -nan
    7802|              66.957          2.602e-16              0.898
    7900|              84.060          9.277e-17              0.968
    8000|               2.499          3.734e-15              1.000
    8001|               0.181          3.865e-15              1.000
    8002|              68.066          3.475e-15              0.615
    8100|              35.394          1.885e-15              0.991
    8200|               2.459          3.747e-15              1.000
    8201|               0.180          1.363e-15              1.000
    8202|             103.479          1.110e-15              0.581
    8300|              30.970          1.912e-16              0.992
    8400|               3.938          0.000e+00               -nan
    8401|               0.286          0.000e+00               -nan
    8402|              42.937          0.000e+00               -nan
    8500|              66.363          2.227e-18              1.000
    8600|              35.373          1.968e-17              1.000
    8700|             341.407          1.186e-15              0.413
    8800|             451.271          1.222e-15              0.427
    8900|             143.644          7.546e-16              0.658
    9000|              33.942          0.000e+00               -nan
    9100|               6.771          0.000e+00               -nan
    9200|             147.364          1.663e-15              0.565
    9300|              34.829          3.419e-17              1.000
    9400|               6.984          0.000e+00               -nan
    9500|            2088.233          2.830e-16              0.340
    9700|             483.016          2.019e-15              0.306
    9900|             577.681          1.134e-15              0.369
   10000|              14.816          2.256e-14              0.283
   10100|              14.113          0.000e+00               -nan
   10200|               4.953          4.103e-15              1.000
   10300|             114.927          3.173e-16              0.698
   10400|               9.750          0.000e+00               -nan
   10500|               9.691          0.000e+00               -nan
   10600|           26267.363          1.119e-15              0.053
   11000|               1.698          5.736e-15              1.000
   11001|               0.091          3.430e-15              1.000
   11002|              44.061          2.979e-15              0.711
   11003|              20.237          5.999e-17              0.733
   11300|             153.637          1.985e-15              0.533
   11400|               0.588          5.376e-14              0.796
   11500|              15.589          0.000e+00               -nan
   11600|           15614.359          1.477e-15              0.045
   12000|              40.680          1.980e-14              0.284
   12100|              40.697          1.695e-14              0.293
   12200|            3082.768          1.966e-15              0.053
   12201|              93.699          1.719e-15              0.077
   12600|              33.887          3.030e-15              0.597
   12700|             202.098          4.525e-16              0.892
   12800|              46.985          1.042e-14              0.406
   12801|               0.040          5.913e-15              0.475
   12900|              15.887          0.000e+00               -nan
   13000|              15.889          0.000e+00               -nan
   13100|              22.925          4.104e-15              0.994
   13200|              20.662          2.619e-15              0.730
   13300|              19.470          8.542e-15              0.493
   13301|              50.282          1.394e-14              0.315
   13400|               2.900          3.926e-14              0.506
   13500|               7.795          0.000e+00               -nan
   13600|               6.878          2.266e-15              1.000
   13700|              43.382          0.000e+00               -nan
   13701|               1.832          0.000e+00               -nan
   13800|             176.969          0.000e+00               -nan
   14000|               0.130          1.379e-14              0.232
=====================================================================

