
=====================================================================
 Run #0 / Number of event processed : 10000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               7.683          8.052e-15              0.563
     200|               7.683          4.296e-14              0.426
     300|               0.021          0.000e+00               -nan
     301|               0.084          0.000e+00               -nan
     302|               0.026          0.000e+00               -nan
     303|              10.590          0.000e+00               -nan
     400|               0.130          0.000e+00               -nan
     401|               0.360          0.000e+00               -nan
     402|               0.090          0.000e+00               -nan
     403|               0.045          0.000e+00               -nan
     404|               0.090          0.000e+00               -nan
     405|              26.657          4.100e-16              1.000
     500|               0.079          0.000e+00               -nan
     501|               0.022          1.159e-15              1.000
     600|               0.021          9.921e-16              1.000
     700|               9.170          3.124e-15              0.707
     800|               0.022          6.144e-15              0.654
     801|               0.028          8.753e-15              0.658
     802|               0.046          9.034e-15              0.650
     803|               0.115          9.687e-15              0.649
     804|               0.023          9.978e-15              0.656
     805|               0.046          1.069e-14              0.595
     806|               0.046          2.639e-14              0.797
     807|               0.047          1.459e-14              0.777
     808|               2.457          3.307e-14              0.545
     900|             296.003          7.039e-15              0.145
     910|             888.516          2.757e-15              0.135
    1300|             235.295          4.764e-15              0.222
    1400|             128.912          2.326e-15              0.580
    1500|              63.391          5.257e-15              0.385
    1700|              45.030          8.237e-15              0.401
    1900|             241.682          2.055e-15              0.363
    2000|             137.134          1.670e-15              0.462
    2100|              20.348          1.050e-15              0.988
    2200|             160.625          1.944e-17              0.631
    2300|             105.232          0.000e+00               -nan
    2400|              42.695          1.885e-15              0.395
    2500|              39.868          6.491e-15              0.478
    2600|             541.371          7.375e-16              0.299
    2700|             363.803          5.339e-16              0.372
    2800|             487.395          4.369e-16              0.471
    2900|             360.852          8.638e-16              0.572
    3000|              93.493          1.072e-15              0.822
    3200|             327.357          9.832e-17              0.984
    3400|             480.064          0.000e+00               -nan
    3500|             554.273          1.425e-18              1.000
    3600|              71.681          0.000e+00               -nan
    3700|             215.773          0.000e+00               -nan
    3800|             397.299          1.518e-18              1.000
    3900|              70.800          8.077e-16              0.946
    4000|              51.724          1.849e-16              1.000
    4100|             356.234          1.775e-15              0.228
    4200|             548.313          2.408e-15              0.240
    4300|             326.324          1.048e-14              0.071
    4400|             404.685          1.118e-14              0.083
    4500|             197.615          3.932e-15              0.198
    4600|             138.629          3.532e-15              0.272
    4700|              94.260          2.396e-15              0.365
    4800|              71.649          1.505e-15              0.390
    4900|             256.109          8.732e-15              0.125
    5000|             305.468          1.105e-14              0.125
    5100|             166.393          7.548e-15              0.186
    5200|             258.007          8.370e-15              0.171
    5300|              97.616          1.671e-15              0.318
    5400|             170.088          1.119e-15              0.462
    5500|               8.840          1.357e-14              0.261
    5600|              54.347          1.305e-14              0.279
    5700|              49.845          1.198e-14              0.212
    5800|              72.697          1.328e-14              0.165
    6100|            1449.542          8.021e-16              0.276
    6200|               6.888          4.311e-15              0.708
    6300|               4.584          6.798e-15              1.000
    6400|               6.888          8.402e-15              0.692
    6500|               4.584          4.640e-15              0.914
    6600|               0.037          0.000e+00               -nan
    6601|               0.179          0.000e+00               -nan
    6700|               1.054          0.000e+00               -nan
    6701|               0.291          0.000e+00               -nan
    6702|               5.795          0.000e+00               -nan
    6800|               0.037          0.000e+00               -nan
    6801|               0.179          0.000e+00               -nan
    6900|               1.054          0.000e+00               -nan
    6901|               0.291          0.000e+00               -nan
    6902|               5.794          0.000e+00               -nan
    7000|               9.170          4.439e-14              0.165
    7100|              51.321          6.152e-14              0.156
    7200|               1.578          1.547e-14              0.209
    7201|               1.055          1.788e-14              0.295
    7202|               5.316          1.630e-14              0.203
    7203|             163.949          1.968e-14              0.118
    7300|             221.211          1.408e-14              0.160
    7400|              12.872          4.222e-15              0.201
    7401|               2.004          3.329e-15              0.203
    7402|               5.036          5.291e-15              0.290
    7403|             743.355          4.480e-15              0.117
    7500|              47.195          5.067e-15              0.181
    7501|             262.500          5.072e-15              0.188
    7600|               2.718          4.061e-15              0.620
    7601|               0.198          3.521e-15              0.471
    7602|             103.203          8.620e-15              0.295
    7700|              48.666          7.808e-15              0.454
    7800|               3.533          3.875e-14              0.216
    7801|               0.255          3.439e-14              0.239
    7802|              66.957          2.361e-14              0.157
    7900|              84.060          2.967e-14              0.179
    8000|               2.499          9.410e-15              0.397
    8001|               0.181          6.049e-15              0.400
    8002|              68.066          8.115e-15              0.232
    8100|              35.394          9.923e-15              0.392
    8200|               2.459          6.096e-15              0.535
    8201|               0.180          6.369e-15              0.507
    8202|             103.479          8.918e-15              0.286
    8300|              30.970          7.849e-15              0.544
    8400|               3.938          3.377e-15              0.624
    8401|               0.286          2.316e-15              0.457
    8402|              42.937          2.349e-15              0.407
    8500|              66.363          3.997e-15              0.426
    8600|              35.373          2.283e-17              0.879
    8700|             341.407          1.583e-14              0.109
    8800|             451.271          1.511e-14              0.120
    8900|             143.644          7.894e-15              0.236
    9000|              33.942          7.357e-15              0.400
    9100|               6.771          4.581e-15              0.987
    9200|             147.364          1.880e-14              0.155
    9300|              34.829          2.065e-14              0.262
    9400|               6.984          2.063e-14              0.427
    9500|            2088.233          4.813e-14              0.032
    9700|             483.016          5.708e-15              0.154
    9900|             577.681          1.512e-14              0.084
   10000|              14.816          8.986e-17              1.000
   10100|              14.113          1.607e-14              0.308
   10200|               4.953          2.726e-15              0.919
   10300|             114.927          4.108e-15              0.213
   10400|               9.750          1.270e-15              1.000
   10500|               9.691          0.000e+00               -nan
   10600|           26267.363          2.569e-15              0.034
   11000|               1.698          1.823e-14              0.359
   11001|               0.091          4.992e-14              0.844
   11002|              44.061          1.753e-14              0.219
   11003|              20.237          1.424e-14              0.320
   11300|             153.637          3.113e-14              0.136
   11400|               0.588          0.000e+00               -nan
   11500|              15.589          3.586e-16              1.000
   11600|           15614.359          4.102e-15              0.030
   12000|              40.680          2.113e-15              0.937
   12100|              40.697          7.232e-16              0.953
   12200|            3082.768          2.250e-15              0.055
   12201|              93.699          1.917e-15              0.106
   12600|              33.887          6.891e-15              0.413
   12700|             202.098          4.841e-15              0.286
   12800|              46.985          1.526e-15              0.778
   12801|               0.040          5.627e-16              1.000
   12900|              15.887          0.000e+00               -nan
   13000|              15.889          0.000e+00               -nan
   13100|              22.925          3.653e-15              0.665
   13200|              20.662          2.781e-15              0.737
   13300|              19.470          2.749e-15              1.000
   13301|              50.282          2.197e-16              0.715
   13400|               2.900          0.000e+00               -nan
   13500|               7.795          1.193e-16              1.000
   13600|               6.878          3.692e-17              1.000
   13700|              43.382          2.648e-16              0.876
   13701|               1.832          2.013e-16              1.000
   13800|             176.969          2.541e-15              0.511
   14000|               0.130          1.902e-15              0.624
=====================================================================

