
=====================================================================
 Run #0 / Number of event processed : 1000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          1.320e-15              0.075
     200|               8.683          6.912e-15              0.036
     300|               0.022          0.000e+00               -nan
     301|               0.090          0.000e+00               -nan
     302|               0.028          0.000e+00               -nan
     303|              11.291          7.457e-17              0.254
     400|               0.141          2.169e-16              0.653
     401|               0.390          1.554e-16              0.397
     402|               0.098          1.403e-16              0.572
     403|               0.049          1.250e-16              0.367
     404|               0.098          1.548e-16              0.571
     405|              28.808          1.183e-16              0.126
     500|               0.086          1.024e-16              0.429
     501|               0.024          1.403e-16              0.558
     600|               0.023          2.950e-17              0.586
     700|              10.364          4.867e-16              0.112
     800|               0.025          7.190e-16              0.357
     801|               0.031          6.703e-16              0.311
     802|               0.052          6.649e-16              0.301
     803|               0.130          8.995e-16              0.303
     804|               0.026          8.307e-16              0.340
     805|               0.052          8.510e-16              0.287
     806|               0.052          1.365e-15              0.274
     807|               0.053          1.083e-15              0.232
     808|               2.777          1.202e-15              0.119
     900|               1.504          1.173e-16              0.455
     910|               6.944          1.489e-16              0.231
    1000|             193.197          1.464e-15              0.016
    1010|             444.035          9.442e-16              0.013
    1100|              32.463          5.635e-16              0.057
    1110|             167.269          4.627e-16              0.030
    1200|             108.832          8.294e-18              0.270
    1210|             389.741          4.475e-18              0.171
    1300|             159.196          4.159e-16              0.031
    1400|             145.689          3.137e-16              0.040
    1500|              34.244          5.653e-16              0.060
    1600|             106.720          6.660e-16              0.031
    1700|              50.890          5.760e-16              0.049
    1800|              37.397          7.009e-16              0.052
    1900|             273.409          1.903e-16              0.035
    2000|             154.981          3.118e-16              0.039
    2100|              22.996          1.794e-16              0.132
    2200|             181.529          3.038e-17              0.109
    2300|             118.927          3.433e-17              0.125
    2400|              48.252          4.557e-16              0.053
    2500|              45.057          4.026e-16              0.060
    2600|             568.469          5.815e-17              0.045
    2700|             382.073          5.825e-17              0.054
    2800|             253.548          3.324e-17              0.078
    2900|             413.232          5.191e-17              0.057
    3000|              26.045          1.512e-17              0.400
    3100|             307.761          3.528e-18              0.185
    3200|             373.652          3.152e-18              0.236
    3300|              82.179          4.603e-18              0.358
    3400|             536.651          5.376e-19              0.485
    3500|             621.408          6.726e-19              0.373
    3600|              79.815          9.344e-19              1.000
    3700|             234.882          6.171e-19              0.734
    3800|             432.615          2.912e-19              0.581
    3900|              76.877          1.480e-16              0.076
    4000|              56.287          1.526e-16              0.087
    4100|             402.595          1.780e-16              0.027
    4200|             619.672          1.645e-16              0.025
    4300|             368.797          1.985e-15              0.009
    4400|             457.351          2.016e-15              0.009
    4500|             223.333          5.221e-16              0.023
    4600|             156.670          4.418e-16              0.031
    4700|             103.943          1.842e-16              0.055
    4800|              78.915          1.855e-16              0.067
    4900|             289.440          1.617e-15              0.012
    5000|             345.222          2.083e-15              0.010
    5100|             188.047          1.052e-15              0.017
    5200|             291.584          1.170e-15              0.015
    5300|             110.320          2.381e-16              0.043
    5400|             192.224          2.551e-16              0.037
    5500|               9.991          1.634e-15              0.051
    5600|              61.420          1.679e-15              0.027
    5700|              56.331          2.971e-15              0.021
    5800|              82.063          1.715e-15              0.022
    6100|            1517.390          4.990e-17              0.033
    6200|               7.769          9.402e-16              0.102
    6300|               5.180          7.856e-16              0.140
    6400|               7.769          2.810e-15              0.059
    6500|               5.180          2.153e-15              0.082
    6600|               0.039          0.000e+00               -nan
    6601|               0.189          0.000e+00               -nan
    6700|               1.113          6.001e-17              0.759
    6701|               0.308          0.000e+00               -nan
    6702|               6.122          9.563e-17              0.317
    6800|               0.039          0.000e+00               -nan
    6801|               0.189          4.258e-16              0.992
    6900|               1.113          2.986e-17              0.492
    6901|               0.308          1.082e-16              0.816
    6902|               6.122          8.644e-17              0.390
    7000|              10.364          9.554e-15              0.024
    7100|              58.000          9.129e-15              0.013
    7200|               1.784          3.029e-15              0.049
    7201|               1.193          3.105e-15              0.051
    7202|               6.008          2.987e-15              0.038
    7203|             185.286          3.305e-15              0.011
    7300|             250.000          2.707e-15              0.011
    7400|              14.547          9.363e-16              0.038
    7401|               2.264          9.023e-16              0.054
    7402|               5.692          9.245e-16              0.046
    7403|             840.096          9.277e-16              0.010
    7500|              53.337          9.236e-16              0.028
    7501|             296.663          9.133e-16              0.016
    7600|               3.071          1.823e-15              0.075
    7601|               0.223          1.714e-15              0.124
    7602|             116.634          1.782e-15              0.019
    7700|              55.000          1.559e-15              0.029
    7800|               3.993          4.131e-15              0.043
    7801|               0.289          4.334e-15              0.075
    7802|              75.671          4.031e-15              0.016
    7900|              95.000          4.035e-15              0.015
    8000|               2.824          1.658e-15              0.075
    8001|               0.205          1.452e-15              0.148
    8002|              76.924          1.571e-15              0.024
    8100|              40.000          1.742e-15              0.033
    8200|               2.779          6.465e-16              0.117
    8201|               0.203          8.482e-16              0.194
    8202|             116.946          6.867e-16              0.029
    8300|              35.000          8.497e-16              0.048
    8400|               4.451          1.875e-16              0.187
    8401|               0.324          1.067e-16              0.307
    8402|              48.524          1.710e-16              0.081
    8500|              75.000          1.768e-16              0.070
    8600|              39.976          8.974e-17              0.122
    8700|             385.839          2.362e-15              0.009
    8800|             510.000          2.315e-15              0.008
    8900|             162.338          1.044e-15              0.020
    9000|              38.359          1.152e-15              0.040
    9100|               7.652          1.066e-15              0.090
    9200|             166.542          3.932e-15              0.011
    9300|              39.362          4.437e-15              0.021
    9400|               7.892          4.390e-15              0.046
    9500|            2360.000          1.129e-14              0.002
    9700|             545.877          8.270e-16              0.013
    9900|             652.861          2.777e-15              0.007
   10000|              15.949          1.247e-16              0.187
   10100|              15.949          2.524e-15              0.041
   10200|               5.510          2.677e-16              0.198
   10300|             130.204          4.436e-16              0.033
   10400|              11.019          5.971e-16              0.094
   10500|              11.019          0.000e+00               -nan
   10600|            1200.828          1.504e-16              0.020
   10700|           14844.730          5.648e-16              0.003
   10800|            2843.507          3.412e-16              0.009
   10900|           10887.729          6.373e-18              0.033
   11000|               1.919          2.225e-15              0.082
   11001|               0.103          1.405e-15              0.121
   11002|              49.783          2.023e-15              0.026
   11003|              22.870          1.864e-15              0.041
   11300|             173.631          4.526e-15              0.010
   11400|               0.622          1.276e-17              1.000
   11500|              17.618          1.238e-16              0.163
   11600|             975.622          1.120e-16              0.025
   11700|           11176.900          9.252e-16              0.003
   11800|            1549.842          4.324e-16              0.010
   11900|            4510.134          7.091e-18              0.045
   12000|              44.045          1.192e-16              0.119
   12100|              44.045          1.492e-16              0.104
   12200|             259.230          1.001e-16              0.048
   12201|               8.470          8.124e-17              0.126
   12300|            1271.006          6.205e-16              0.009
   12301|              38.418          5.384e-16              0.022
   12400|             575.709          3.112e-16              0.018
   12401|              18.843          2.830e-16              0.046
   12500|            1259.982          6.913e-18              0.085
   12501|              37.790          6.393e-18              0.213
   12600|              37.952          1.228e-15              0.039
   12700|             228.400          1.056e-15              0.018
   12800|              50.727          1.453e-16              0.099
   12801|               0.043          2.189e-16              0.553
   12900|              18.617          1.700e-17              0.506
   13000|              18.617          4.591e-17              0.260
   13100|              25.909          7.076e-16              0.062
   13200|              23.351          3.836e-16              0.086
   13300|              20.993          7.936e-17              0.179
   13301|              54.552          1.337e-16              0.094
   13400|               3.109          7.416e-17              0.472
   13500|               8.809          6.854e-16              0.100
   13600|               7.773          1.013e-15              0.091
   13700|              49.781          1.670e-16              0.081
   13701|               1.318          1.432e-16              0.315
   13800|             200.000          1.383e-16              0.049
   14000|               0.140          1.137e-16              0.266
=====================================================================

