
=====================================================================
 Run #0 / Number of event processed : 10000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               6.817          5.194e-15              0.015
     200|               8.649          8.469e-15              0.010
     300|               0.009          1.106e-16              0.652
     301|               0.035          8.760e-17              0.846
     302|               0.011          1.848e-16              0.589
     303|               4.375          1.158e-16              0.111
     400|               0.104          2.001e-16              0.230
     401|               0.288          1.321e-16              0.163
     402|               0.072          1.112e-16              0.193
     403|               0.036          1.600e-16              0.282
     404|               0.072          1.296e-16              0.199
     405|              14.180          1.603e-16              0.052
     500|               0.066          1.784e-16              0.171
     501|               0.016          9.248e-17              0.317
     600|               0.019          1.256e-16              0.354
     700|               8.201          5.867e-16              0.036
     800|               0.010          1.277e-15              0.179
     801|               0.013          1.078e-15              0.152
     802|               0.021          1.365e-15              0.198
     803|               0.053          1.180e-15              0.122
     804|               0.011          1.211e-15              0.143
     805|               0.021          1.247e-15              0.143
     806|               0.021          1.059e-15              0.124
     807|               0.021          8.044e-16              0.113
     808|               1.179          1.095e-15              0.058
     900|               1.906          1.981e-16              0.122
     910|               3.007          2.056e-16              0.097
    1000|             117.872          1.623e-15              0.006
    1010|             239.851          5.973e-16              0.007
    1100|              46.312          7.818e-16              0.013
    1110|             139.528          8.072e-16              0.008
    1200|              79.906          1.092e-17              0.077
    1210|             355.612          1.075e-17              0.039
    1300|             113.681          4.847e-16              0.011
    1400|             107.717          2.739e-16              0.016
    1500|              20.516          5.901e-16              0.024
    1600|             103.296          8.350e-16              0.009
    1700|              50.264          7.071e-16              0.014
    1800|              20.493          9.474e-16              0.019
    1900|             156.708          2.876e-16              0.012
    2000|              86.883          3.420e-16              0.016
    2100|              34.068          2.665e-16              0.027
    2200|             105.132          6.162e-17              0.031
    2300|              69.360          6.445e-17              0.039
    2400|              32.825          4.226e-16              0.020
    2500|              38.798          4.562e-16              0.020
    2600|             407.670          6.498e-17              0.015
    2700|             391.311          7.268e-17              0.015
    2800|             244.126          4.668e-17              0.022
    2900|             232.804          8.528e-17              0.018
    3000|              39.516          3.520e-17              0.065
    3100|             240.929          9.643e-18              0.049
    3200|             166.334          4.798e-18              0.094
    3300|              56.762          9.368e-18              0.101
    3400|             544.845          1.087e-18              0.098
    3500|             558.529          1.637e-18              0.086
    3600|              88.883          4.522e-19              0.351
    3700|             173.476          9.324e-19              0.190
    3800|             257.451          7.419e-19              0.198
    3900|              45.394          1.965e-16              0.027
    4000|              33.479          2.259e-16              0.030
    4100|             262.458          2.405e-16              0.009
    4200|             455.599          2.321e-16              0.008
    4300|             164.504          2.342e-15              0.004
    4400|             277.325          2.339e-15              0.003
    4500|             121.664          4.330e-16              0.011
    4600|              96.730          3.820e-16              0.013
    4700|              71.596          1.956e-16              0.020
    4800|              75.601          2.178e-16              0.020
    4900|             205.828          2.258e-15              0.004
    5000|             271.915          2.600e-15              0.003
    5100|             156.175          2.024e-15              0.004
    5200|             264.976          2.052e-15              0.004
    5300|              80.240          3.319e-16              0.014
    5400|             154.840          3.465e-16              0.011
    5500|               1.685          2.656e-15              0.020
    5600|              51.347          2.419e-15              0.008
    5700|              41.959          4.750e-15              0.006
    5800|              69.351          2.506e-15              0.006
    6100|            1349.568          6.026e-17              0.010
    6200|             153.663          1.045e-15              0.007
    6300|             102.491          9.992e-16              0.009
    6400|             153.663          1.872e-15              0.005
    6500|             102.491          2.078e-15              0.006
    6600|               0.039          3.311e-16              0.663
    6601|               0.189          1.971e-16              0.418
    6700|               1.100          9.232e-17              0.193
    6701|               0.304          2.170e-16              0.374
    6702|               6.051          9.970e-17              0.108
    6800|               0.039          4.482e-17              0.610
    6801|               0.189          2.486e-16              0.378
    6900|               1.100          1.478e-16              0.156
    6901|               0.304          2.081e-16              0.277
    6902|               6.051          1.408e-16              0.091
    7000|               8.201          1.025e-14              0.008
    7100|              48.000          9.723e-15              0.004
    7200|               1.561          3.697e-15              0.015
    7201|               1.044          3.654e-15              0.016
    7202|               5.256          3.669e-15              0.012
    7203|             165.012          3.478e-15              0.004
    7300|             230.000          3.520e-15              0.003
    7400|              12.341          8.309e-16              0.014
    7401|               1.922          8.360e-16              0.021
    7402|               4.831          8.238e-16              0.017
    7403|             736.662          8.624e-16              0.003
    7500|              45.227          8.399e-16              0.010
    7501|             234.773          8.457e-16              0.006
    7600|               4.451          1.227e-15              0.025
    7601|               0.322          1.278e-15              0.042
    7602|             107.784          1.114e-15              0.008
    7700|             100.007          1.100e-15              0.008
    7800|               3.680          1.141e-15              0.027
    7801|               0.266          1.099e-15              0.045
    7802|              64.847          1.187e-15              0.010
    7900|              59.995          1.055e-15              0.011
    8000|               2.196          6.880e-16              0.044
    8001|               0.160          6.477e-16              0.071
    8002|              66.428          6.812e-16              0.012
    8100|              30.005          6.366e-16              0.019
    8200|               3.021          4.413e-16              0.049
    8201|               0.220          3.949e-16              0.087
    8202|             109.320          3.819e-16              0.013
    8300|              50.003          4.045e-16              0.018
    8400|               4.222          1.480e-16              0.064
    8401|               0.306          1.518e-16              0.120
    8402|              51.761          1.622e-16              0.026
    8500|              79.993          1.492e-16              0.023
    8600|              31.268          1.129e-16              0.041
    8700|             290.890          2.532e-15              0.003
    8800|             370.000          2.710e-15              0.003
    8900|             149.091          1.785e-15              0.005
    9000|              37.441          1.642e-15              0.011
    9100|               7.494          1.773e-15              0.022
    9200|             125.147          4.960e-15              0.004
    9300|              31.440          5.012e-15              0.007
    9400|               6.292          5.407e-15              0.015
    9500|            1810.000          1.336e-14              0.001
    9700|             427.256          1.015e-15              0.004
    9900|             522.518          2.982e-15              0.002
   10000|              12.695          1.298e-16              0.059
   10100|              12.695          3.114e-15              0.013
   10200|               4.386          2.741e-16              0.072
   10300|             103.641          4.846e-16              0.011
   10400|               8.771          8.048e-16              0.030
   10500|               8.771          3.328e-18              0.423
   10600|             445.022          1.430e-16              0.010
   10700|            8324.973          6.532e-16              0.001
   10800|            1479.724          5.009e-16              0.003
   10900|            7676.720          1.275e-17              0.009
   11000|               1.871          2.248e-15              0.025
   11001|               0.101          2.118e-15              0.043
   11002|              41.247          2.101e-15              0.009
   11003|              21.240          2.273e-15              0.012
   11100|               6.318          9.943e-17              0.096
   11200|               6.318          1.650e-16              0.077
   11300|             144.552          5.019e-15              0.003
   11400|               0.615          8.420e-17              0.308
   11600|             844.543          1.224e-16              0.008
   11700|           11513.363          9.355e-16              0.001
   11800|            2171.588          6.267e-16              0.002
   11900|            7795.948          1.214e-17              0.009
   12000|              35.880          1.411e-16              0.036
   12100|              35.880          1.784e-16              0.033
   12200|             155.582          9.725e-17              0.019
   12201|               6.324          8.674e-17              0.048
   12300|             871.603          7.886e-16              0.003
   12301|              32.368          7.184e-16              0.007
   12400|             380.905          4.673e-16              0.006
   12401|              15.598          4.189e-16              0.013
   12500|             924.584          9.240e-18              0.025
   12501|              35.025          6.690e-18              0.070
   12600|              19.098          1.744e-15              0.014
   12700|             187.400          1.623e-15              0.005
   12800|              40.562          1.775e-16              0.031
   12801|               0.036          2.270e-16              0.239
   13100|              20.503          7.779e-16              0.021
   13200|              19.455          4.053e-16              0.029
   13300|              20.995          1.647e-16              0.044
   13301|              40.415          1.968e-16              0.029
   13400|               3.075          1.243e-16              0.125
   13500|               7.689          9.527e-16              0.030
   13600|               7.689          1.536e-15              0.024
   13700|              39.459          1.483e-16              0.030
   13701|               1.345          1.673e-16              0.076
   13800|             200.000          1.428e-16              0.015
   13900|              81.993          1.338e-16              0.024
   14000|               0.036          3.689e-16              0.120
=====================================================================

