
=====================================================================
 Run #0 / Number of event processed : 10000000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          1.501e-15              0.023
     200|               8.683          6.980e-15              0.011
     300|               0.022          5.474e-17              0.335
     301|               0.090          1.084e-16              0.354
     302|               0.028          8.030e-17              0.380
     303|              11.291          1.093e-16              0.074
     400|               0.141          1.579e-16              0.182
     401|               0.390          1.558e-16              0.143
     402|               0.098          2.023e-16              0.198
     403|               0.049          1.534e-16              0.211
     404|               0.098          1.609e-16              0.178
     405|              28.808          1.261e-16              0.040
     500|               0.086          1.510e-16              0.172
     501|               0.024          1.337e-16              0.319
     600|               0.023          1.850e-16              0.390
     700|              10.364          5.407e-16              0.033
     800|               0.025          1.132e-15              0.120
     801|               0.031          1.175e-15              0.113
     802|               0.052          9.607e-16              0.090
     803|               0.130          1.021e-15              0.082
     804|               0.026          1.024e-15              0.109
     805|               0.052          1.109e-15              0.095
     806|               0.052          1.061e-15              0.086
     807|               0.053          1.031e-15              0.086
     808|               2.777          1.237e-15              0.038
     900|               1.504          1.825e-16              0.131
     910|               6.943          2.049e-16              0.066
    1000|             193.192          1.423e-15              0.005
    1010|             444.080          9.492e-16              0.004
    1100|              32.452          6.090e-16              0.018
    1110|             167.270          4.680e-16              0.009
    1200|             108.840          4.859e-18              0.101
    1210|             389.680          5.458e-18              0.052
    1300|             159.385          4.122e-16              0.010
    1400|             145.689          3.125e-16              0.012
    1500|              34.244          5.642e-16              0.019
    1600|             106.532          6.580e-16              0.010
    1700|              50.890          5.797e-16              0.016
    1800|              37.397          7.104e-16              0.016
    1900|             273.382          2.040e-16              0.011
    2000|             154.981          2.931e-16              0.013
    2100|              22.996          1.553e-16              0.042
    2200|             181.529          3.146e-17              0.033
    2300|             118.927          2.984e-17              0.043
    2400|              48.252          4.272e-16              0.017
    2500|              45.057          4.037e-16              0.019
    2600|             568.469          5.596e-17              0.014
    2700|             382.073          5.784e-17              0.017
    2800|             253.548          3.792e-17              0.024
    2900|             413.232          5.469e-17              0.017
    3000|              26.045          1.623e-17              0.123
    3100|             307.761          4.378e-18              0.064
    3200|             373.652          2.038e-18              0.089
    3300|              82.179          5.201e-18              0.124
    3400|             536.651          6.022e-19              0.145
    3500|             621.408          8.152e-19              0.120
    3600|              79.815          1.699e-19              0.693
    3700|             234.882          1.014e-18              0.158
    3800|             432.615          5.357e-19              0.170
    3900|              76.877          1.520e-16              0.023
    4000|              56.287          1.673e-16              0.027
    4100|             402.595          1.854e-16              0.009
    4200|             619.672          1.685e-16              0.008
    4300|             368.797          1.969e-15              0.003
    4400|             457.351          2.002e-15              0.003
    4500|             223.331          5.046e-16              0.007
    4600|             156.670          4.505e-16              0.010
    4700|             103.943          1.929e-16              0.017
    4800|              78.915          1.858e-16              0.021
    4900|             289.440          1.591e-15              0.004
    5000|             345.222          2.065e-15              0.003
    5100|             188.047          1.050e-15              0.005
    5200|             291.584          1.179e-15              0.005
    5300|             110.320          2.481e-16              0.014
    5400|             192.224          2.622e-16              0.011
    5500|               9.991          1.717e-15              0.016
    5600|              61.420          1.725e-15              0.008
    5700|              56.331          3.015e-15              0.007
    5800|              82.063          1.645e-15              0.007
    6100|            1517.390          4.774e-17              0.010
    6200|               7.769          8.320e-16              0.033
    6300|               5.180          7.117e-16              0.044
    6400|               7.769          2.916e-15              0.018
    6500|               5.180          2.461e-15              0.024
    6600|               0.039          6.017e-17              0.731
    6601|               0.189          3.709e-17              0.698
    6700|               1.113          6.409e-17              0.246
    6701|               0.308          4.029e-17              0.628
    6702|               6.122          6.549e-17              0.128
    6800|               0.039          7.988e-17              0.711
    6801|               0.189          6.938e-17              0.570
    6900|               1.113          1.104e-16              0.182
    6901|               0.308          7.919e-17              0.561
    6902|               6.122          9.498e-17              0.109
    7000|              10.364          9.487e-15              0.008
    7100|              58.000          9.166e-15              0.004
    7200|               1.784          3.001e-15              0.016
    7201|               1.193          3.036e-15              0.017
    7202|               6.008          3.005e-15              0.012
    7203|             185.286          3.303e-15              0.004
    7300|             250.000          2.666e-15              0.004
    7400|              14.547          9.116e-16              0.012
    7401|               2.264          9.076e-16              0.018
    7402|               5.692          8.818e-16              0.015
    7403|             840.096          9.240e-16              0.003
    7500|              53.337          9.181e-16              0.009
    7501|             296.663          9.036e-16              0.005
    7600|               3.071          1.766e-15              0.024
    7601|               0.223          1.784e-15              0.041
    7602|             116.634          1.773e-15              0.006
    7700|              55.000          1.625e-15              0.009
    7800|               3.993          4.150e-15              0.014
    7801|               0.289          4.277e-15              0.023
    7802|              75.671          4.051e-15              0.005
    7900|              95.000          3.952e-15              0.005
    8000|               2.824          1.711e-15              0.025
    8001|               0.205          1.624e-15              0.042
    8002|              76.924          1.600e-15              0.008
    8100|              40.000          1.681e-15              0.010
    8200|               2.779          7.427e-16              0.036
    8201|               0.203          7.260e-16              0.066
    8202|             116.946          7.289e-16              0.009
    8300|              35.000          8.410e-16              0.015
    8400|               4.451          1.615e-16              0.058
    8401|               0.324          1.327e-16              0.105
    8402|              48.527          1.658e-16              0.026
    8500|              75.000          1.769e-16              0.022
    8600|              39.976          1.063e-16              0.038
    8700|             385.839          2.394e-15              0.003
    8800|             510.000          2.340e-15              0.003
    8900|             162.338          1.029e-15              0.007
    9000|              38.359          1.068e-15              0.013
    9100|               7.652          1.210e-15              0.027
    9200|             166.542          3.903e-15              0.004
    9300|              39.362          4.335e-15              0.007
    9400|               7.892          4.444e-15              0.015
    9500|            2360.000          1.129e-14              0.001
    9700|             545.877          8.129e-16              0.004
    9900|             652.861          2.772e-15              0.002
   10000|              15.949          1.015e-16              0.061
   10100|              15.949          2.483e-15              0.013
   10200|               5.510          2.311e-16              0.069
   10300|             130.204          4.762e-16              0.010
   10400|              11.019          7.282e-16              0.029
   10500|              11.019          2.313e-18              0.546
   10600|            1200.825          1.472e-16              0.007
   10700|           14841.881          5.660e-16              0.001
   10800|            2843.509          3.485e-16              0.003
   10900|           10890.496          6.694e-18              0.010
   11000|               1.919          2.085e-15              0.026
