
=====================================================================
 Run #0 / Number of event processed : 100000
=====================================================================
organ ID|      Organ Mass (g)   Dose (Gy/source)     Relative Error
     100|               8.683          1.406e-15              0.222
     200|               8.683          7.568e-15              0.110
     300|               0.022          1.807e-15              1.000
     301|               0.090          1.601e-15              1.000
     302|               0.028          4.320e-16              1.000
     303|              11.291          2.731e-16              0.433
     400|               0.141          0.000e+00               -nan
     401|               0.390          1.734e-16              1.000
     402|               0.098          0.000e+00               -nan
     403|               0.049          0.000e+00               -nan
     404|               0.098          0.000e+00               -nan
     405|              28.808          1.020e-16              0.415
     500|               0.086          0.000e+00               -nan
     501|               0.024          0.000e+00               -nan
     600|               0.023          0.000e+00               -nan
     700|              10.364          3.907e-16              0.350
     800|               0.025          1.661e-16              1.000
     801|               0.031          9.586e-17              1.000
     802|               0.052          1.436e-16              1.000
     803|               0.130          9.801e-17              1.000
     804|               0.026          9.262e-17              1.000
     805|               0.052          2.645e-16              1.000
     806|               0.052          9.271e-17              1.000
     807|               0.053          2.095e-16              1.000
     808|               2.777          5.320e-16              0.348
     900|               1.504          1.557e-16              1.000
     910|               6.944          4.512e-16              0.518
    1000|             193.197          1.381e-15              0.052
    1010|             444.035          9.720e-16              0.041
    1100|              32.463          8.155e-16              0.162
    1110|             167.269          4.501e-16              0.093
    1200|             108.832          9.852e-20              1.000
    1210|             389.741          2.177e-18              0.555
    1300|             159.196          3.840e-16              0.106
    1400|             145.689          3.512e-16              0.118
    1500|              34.244          5.058e-16              0.201
    1600|             106.720          6.183e-16              0.099
    1700|              50.890          6.918e-16              0.140
    1800|              37.397          5.892e-16              0.172
    1900|             273.409          1.822e-16              0.113
    2000|             154.981          2.943e-16              0.126
    2100|              22.996          7.337e-17              0.530
    2200|             181.529          4.605e-17              0.286
    2300|             118.927          2.847e-17              0.439
    2400|              48.252          3.350e-16              0.178
    2500|              45.057          3.419e-16              0.201
    2600|             568.469          7.098e-17              0.132
    2700|             382.073          6.745e-17              0.156
    2800|             253.548          3.803e-17              0.230
    2900|             413.232          5.386e-17              0.163
    3000|              26.045          1.302e-17              1.000
    3100|             307.761          4.538e-18              0.900
    3200|             373.652          2.072e-18              0.943
    3300|              82.179          0.000e+00               -nan
    3400|             536.651          0.000e+00               -nan
    3500|             621.408          1.262e-18              0.709
    3600|              79.815          1.215e-17              1.000
    3700|             234.882          6.145e-20              0.733
    3800|             432.615          4.054e-19              1.000
    3900|              76.877          1.916e-16              0.216
    4000|              56.287          2.008e-16              0.268
    4100|             402.595          1.800e-16              0.087
    4200|             619.672          1.674e-16              0.078
    4300|             368.797          1.995e-15              0.029
    4400|             457.351          2.102e-15              0.028
    4500|             223.333          5.245e-16              0.074
    4600|             156.670          3.906e-16              0.103
    4700|             103.943          2.033e-16              0.177
    4800|              78.915          1.082e-16              0.230
    4900|             289.440          1.605e-15              0.036
    5000|             345.222          2.283e-15              0.032
    5100|             188.047          1.024e-15              0.055
    5200|             291.584          1.233e-15              0.046
    5300|             110.320          2.202e-16              0.148
    5400|             192.224          2.463e-16              0.113
    5500|               9.991          1.549e-15              0.164
    5600|              61.420          1.758e-15              0.085
    5700|              56.331          3.131e-15              0.064
    5800|              82.063          1.768e-15              0.068
    6100|            1517.390          4.334e-17              0.111
    6200|               7.769          6.652e-16              0.294
    6300|               5.180          9.827e-16              0.404
    6400|               7.769          2.471e-15              0.204
    6500|               5.180          1.529e-15              0.257
    6600|               0.039          0.000e+00               -nan
    6601|               0.189          0.000e+00               -nan
    6700|               1.113          4.073e-19              1.000
    6701|               0.308          0.000e+00               -nan
    6702|               6.122          3.020e-17              1.000
    6800|               0.039          0.000e+00               -nan
    6801|               0.189          0.000e+00               -nan
    6900|               1.113          1.843e-16              1.000
    6901|               0.308          0.000e+00               -nan
    6902|               6.122          9.647e-17              0.829
    7000|              10.364          8.846e-15              0.080
    7100|              58.000          9.513e-15              0.040
    7200|               1.784          3.026e-15              0.152
    7201|               1.193          3.004e-15              0.163
    7202|               6.008          3.043e-15              0.125
