Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
Adult Male,9500,Liver,electron,10.0,10000,100,Adrenal_left,8.6827395219656,1.0717e-16,6.689025275100016e-05,1.0,100.0
Adult Male,9500,Liver,electron,10.0,10000,200,Adrenal_right,8.682743131804001,1.8905e-13,0.11799572905268808,0.1519,15.190000000000001
Adult Male,9500,Liver,electron,10.0,10000,300,ET1_0~8 um,0.022309011006,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,301,ET1_8~40 um,0.08953171142029999,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,302,ET1_40~50 um,0.0280764945985,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,303,ET1_50 um~surface,11.2912058306315,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,400,ET2_-15~0 um,0.1412003875,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,401,ET2_0~40 um,0.38983244306199993,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,402,ET2_40~50 um,0.09782525440189999,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,403,ET2_50~55 um,0.0489742500194,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,404,ET2_55~65 um,0.09805441229749999,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,405,ET2_65 um~surface,28.8084848041248,2.2498e-17,1.4042147115722698e-05,1.0,100.0
Adult Male,9500,Liver,electron,10.0,10000,500,Oral mucosa_tongue,0.08596550424,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,501,Oral mucosa_mouth floor,0.023515567425,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,600,Oral mucosa_lips_and cheeks,0.02307768477,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,700,Trachea,10.363608784414097,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,800,BB1_-11~-6 um,0.0251639823,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,801,BB1_-6~0 um,0.031163358601999997,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,802,BB1_0~10 um,0.052011207849299995,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,803,BB1_10~35 um,0.13041112597489998,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,804,BB1_35~40 um,0.026156756824199996,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,805,BB1_40~50 um,0.0523710067448,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,806,BB1_50~60 um,0.05246035062729999,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,807,BB1_60~70 um,0.0525500910324,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,808,BB1_70 um~surface,2.7766745083531,4.7792e-17,2.9829420168664735e-05,0.7551,75.51
Adult Male,9500,Liver,electron,10.0,10000,900,Blood in large arteries_head,1.50465238386,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,910,Blood in large veins_head,6.9444700345,7.9574e-16,0.0004966618430911717,1.0,100.0
Adult Male,9500,Liver,electron,10.0,10000,1000,Blood in large arteries_trunk,193.18284020919003,1.2129e-14,0.00757032635641393,0.1531,15.310000000000002
Adult Male,9500,Liver,electron,10.0,10000,1010,Blood in large veins_trunk,444.02205465595,1.0097e-14,0.006302051712483424,0.0927,9.27
Adult Male,9500,Liver,electron,10.0,10000,1100,Blood in large arteries_arms,32.465638925742,9.7285e-16,0.0006072052103089532,0.9023,90.23
Adult Male,9500,Liver,electron,10.0,10000,1110,Blood in large veins_arms,167.307070400928,5.67e-16,0.00035389356452194734,0.5642,56.42
Adult Male,9500,Liver,electron,10.0,10000,1200,Blood in large arteries_legs,108.84645360805001,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,1210,Blood in large veins_legs,389.724782683546,5.3917e-20,3.3652344476772194e-08,1.0,100.0
Adult Male,9500,Liver,electron,10.0,10000,1300,Humeri_upper_cortical,159.3350570061488,2.756e-16,0.00017201599009214932,0.3466,34.660000000000004
Adult Male,9500,Liver,electron,10.0,10000,1400,Humeri_upper_spongiosa,145.68865566282543,7.4959e-16,0.0004678572787125335,0.6988,69.88
Adult Male,9500,Liver,electron,10.0,10000,1500,Humeri_upper_medullary cavity,34.2439825379625,1.7736e-18,1.1069940494464298e-06,0.8031,80.31
Adult Male,9500,Liver,electron,10.0,10000,1600,Humeri_lower_cortical,106.581519229584,2.9363e-16,0.0001832694309534028,0.3896,38.96
Adult Male,9500,Liver,electron,10.0,10000,1700,Humeri_lower_spongiosa,50.889789317883505,1.722e-16,0.00010747878626222102,0.6726,67.25999999999999
Adult Male,9500,Liver,electron,10.0,10000,1800,Humeri_lower_medullary cavity,37.396955221245,3.5168e-17,2.195013911306498e-05,0.616,61.6
Adult Male,9500,Liver,electron,10.0,10000,1900,Ulnae and radii_cortical,273.4979437885408,1.5851e-16,9.893416033928372e-05,0.5497,54.97
Adult Male,9500,Liver,electron,10.0,10000,2000,Ulnae and radii_spongiosa,154.98098548207722,2.7501e-17,1.716477410567561e-05,0.4462,44.62
Adult Male,9500,Liver,electron,10.0,10000,2100,Ulnae and radii_medullary cavity,22.9963457601513,2.6089e-16,0.00016283473024361698,1.0,100.0
Adult Male,9500,Liver,electron,10.0,10000,2200,Wrists and hand bones_cortical,181.5289884774912,3.5105e-17,2.191081760589587e-05,0.8856,88.56
Adult Male,9500,Liver,electron,10.0,10000,2300,Wrists and hand bones_spongiosa,118.9268865564322,1.6725e-18,1.0438923927036275e-06,1.0,100.0
Adult Male,9500,Liver,electron,10.0,10000,2400,Clavicles_cortical,48.2518122680944,4.875e-16,0.00030427356737998114,0.6385,63.849999999999994
Adult Male,9500,Liver,electron,10.0,10000,2500,Clavicles_spongiosa,45.0570133567736,7.6189e-17,4.7553433487412067e-05,0.6032,60.31999999999999
Adult Male,9500,Liver,electron,10.0,10000,2600,Cranium_cortical,568.4694168021568,4.7973e-17,2.9942391482912482e-05,0.6746,67.46
Adult Male,9500,Liver,electron,10.0,10000,2700,Cranium_spongiosa,382.072926331038,1.2761e-17,7.964789729919875e-06,0.6515,65.14999999999999
Adult Male,9500,Liver,electron,10.0,10000,2800,Femora_upper_cortical,253.54758457984477,7.6053e-17,4.7468548963999394e-05,1.0,100.0
Adult Male,9500,Liver,electron,10.0,10000,2900,Femora_upper_spongiosa,413.23229223795,2.1414e-17,1.336556753205111e-05,1.0,100.0
Adult Male,9500,Liver,electron,10.0,10000,3000,Femora_upper_medullary cavity,26.0453504720556,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,3100,Femora_lower_cortical,307.76097346363036,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,3200,Femora_lower_spongiosa,373.65195452952497,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,3300,Femora_lower_medullary cavity,82.1788824563496,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,3400,Tibiae_fibulae_and patellae_cortical,536.6511904030032,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,3500,Tibiae_fibulae_and patellae_spongiosa,621.4076462600432,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,3600,Tibiae_fibulae_and patellae_medullary cavity,79.8149379747906,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,3700,Ankles and foot_cortical,234.88234278038877,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,3800,Ankles and foot_spongiosa,432.61504238399,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,3900,Mandible_cortical,76.87705057623359,2.3393e-16,0.0001460076217788697,0.6267,62.67
Adult Male,9500,Liver,electron,10.0,10000,4000,Mandible_spongiosa,56.287316552493095,1.7791e-17,1.1104268794373834e-05,0.6829,68.28999999999999
Adult Male,9500,Liver,electron,10.0,10000,4100,Pelvis_cortical,402.5946743318192,4.3166e-17,2.6942098070819007e-05,0.4065,40.65
Adult Male,9500,Liver,electron,10.0,10000,4200,Pelvis_spongiosa,619.671575527846,3.1996e-17,1.9970332434645902e-05,0.5226,52.26
Adult Male,9500,Liver,electron,10.0,10000,4300,Ribs_cortical,368.79699288447677,3.4291e-14,0.021402758767234735,0.0384,3.84
Adult Male,9500,Liver,electron,10.0,10000,4400,Ribs_spongiosa,457.351194317472,3.4051e-14,0.021252962549447668,0.042,4.2
Adult Male,9500,Liver,electron,10.0,10000,4500,Scapulae_cortical,223.3331223438448,2.7371e-16,0.0001708363448770762,0.27,27.0
Adult Male,9500,Liver,electron,10.0,10000,4600,Scapulae_spongiosa,156.67025675645783,3.4702e-16,0.0002165928479019509,0.5279,52.790000000000006
Adult Male,9500,Liver,electron,10.0,10000,4700,Cervical spine_cortical,103.94340658852639,6.4221e-17,4.0083595427096966e-05,0.6498,64.98
Adult Male,9500,Liver,electron,10.0,10000,4800,Cervical spine_spongiosa,78.91527127699649,2.8625e-17,1.786631972564505e-05,0.8746,87.46000000000001
Adult Male,9500,Liver,electron,10.0,10000,4900,Thoracic spine_cortical,289.44012909388636,1.0637e-14,0.006639093202504327,0.0931,9.31
Adult Male,9500,Liver,electron,10.0,10000,5000,Thoracic spine_spongiosa,345.22177328276103,1.9112e-14,0.011928772143110153,0.0976,9.76
Adult Male,9500,Liver,electron,10.0,10000,5100,Lumbar spine_cortical,188.0474514135168,3.0997e-16,0.0001934680567810723,0.2201,22.009999999999998
Adult Male,9500,Liver,electron,10.0,10000,5200,Lumbar spine_spongiosa,291.5843646006448,4.7581e-16,0.0002969772432719361,0.4319,43.19
Adult Male,9500,Liver,electron,10.0,10000,5300,Sacrum_cortical,110.3202882637184,2.0391e-16,0.00012727061153733734,0.7944,79.44
Adult Male,9500,Liver,electron,10.0,10000,5400,Sacrum_spongiosa,192.22399895868529,1.6063e-17,1.0025736026306949e-05,0.6692,66.92
Adult Male,9500,Liver,electron,10.0,10000,5500,Sternum_cortical,9.99052342484,1.4085e-14,0.008791165531378532,0.2523,25.230000000000004
Adult Male,9500,Liver,electron,10.0,10000,5600,Sternum_spongiosa,61.4200837170186,1.3342e-14,0.008327421407146068,0.2273,22.73
Adult Male,9500,Liver,electron,10.0,10000,5700,Cartilage_costal,56.3314637893434,6.2009e-14,0.03870297361982615,0.0831,8.309999999999999
Adult Male,9500,Liver,electron,10.0,10000,5800,Cartilage_discs,82.0629794582262,1.1182e-14,0.00697925544706246,0.2027,20.27
Adult Male,9500,Liver,electron,10.0,10000,6100,Brain,1517.389677890517,3.3971e-17,2.1203030476851976e-05,0.4757,47.57
Adult Male,9500,Liver,electron,10.0,10000,6200,Breast_left_adipose tissue,7.7690252574697,4.2265e-17,2.6379738103210058e-05,0.9244,92.44
Adult Male,9500,Liver,electron,10.0,10000,6300,Breast_left_glandular tissue,5.1801340681112995,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,6400,Breast_right_adipose tissue,7.769029192597299,2.1765e-14,0.013584644500564695,0.3856,38.56
Adult Male,9500,Liver,electron,10.0,10000,6500,Breast_right_glandular tissue,5.1801364431615,4.6422e-16,0.00028974333425463555,0.4875,48.75
Adult Male,9500,Liver,electron,10.0,10000,6600,Eye lens_sensitive_left,0.038889488078,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,6601,Eye lens_insensitive_left,0.189270568824,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,6700,Cornea_left,1.1132850686100002,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,6701,Aqueous_left,0.30757160465499994,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,6702,Vitreous_left,6.121993940095599,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,6800, Eye lens_sensitive_right,0.03888931392,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,6801,Eye lens_insensitive_right,0.18927065245799998,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,6900,Cornea_right,1.11328169546,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,6901,Aqueous_right,0.3075715920475,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,6902,Vitreous_right,6.1219952201852,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,7000,Gallbladder wall,10.363612759847,3.2924e-13,0.20549544476755896,0.0695,6.950000000000001
Adult Male,9500,Liver,electron,10.0,10000,7100,Gallbladder contents,57.999999325813,2.795e-13,0.1744501786311892,0.0684,6.84
Adult Male,9500,Liver,electron,10.0,10000,7200,Stomach wall_0~60 um,1.7837383883823,5.1797e-14,0.032329144552986425,0.1137,11.37
Adult Male,9500,Liver,electron,10.0,10000,7201,Stomach wall_60~100 um,1.1928211312201,5.5543e-14,0.034667213852279576,0.1242,12.42
Adult Male,9500,Liver,electron,10.0,10000,7202,Stomach wall_100~300 um,6.0080173574287,5.2675e-14,0.032877149049724115,0.1014,10.14
Adult Male,9500,Liver,electron,10.0,10000,7203,Stomach wall_300 um~surface,185.286098491145,7.1189e-14,0.04443267895018149,0.059,5.8999999999999995
Adult Male,9500,Liver,electron,10.0,10000,7300,Stomach contents,249.999986524184,4.0627e-14,0.02535737891681332,0.0863,8.63
Adult Male,9500,Liver,electron,10.0,10000,7400,Small intestine wall_0~130 um,14.547479039272899,1.512e-15,0.0009437161720585261,0.3494,34.94
Adult Male,9500,Liver,electron,10.0,10000,7401,Small intestine wall_130~150 um,2.2644420346114,9.1399e-16,0.0005704676878966748,0.313,31.3
Adult Male,9500,Liver,electron,10.0,10000,7402,Small intestine wall_150~200 um,5.691843593203999,1.0946e-15,0.0006831955832905177,0.2952,29.520000000000003
Adult Male,9500,Liver,electron,10.0,10000,7403,Small intestine wall_200 um~surface,840.0963485350355,1.6448e-15,0.0010266034125673703,0.1624,16.24
Adult Male,9500,Liver,electron,10.0,10000,7500,Small intestine contents_-500~0 um,53.33739729292,1.3115e-15,0.00081857391511558,0.2971,29.709999999999997
Adult Male,9500,Liver,electron,10.0,10000,7501,Small intestine contents_centre~500 um,296.66260810888,9.1086e-16,0.0005685140955563685,0.3206,32.06
Adult Male,9500,Liver,electron,10.0,10000,7600,Ascending colon wall_0~280 um,3.0714502217129,1.3363e-14,0.008340528576202436,0.2763,27.63
Adult Male,9500,Liver,electron,10.0,10000,7601,Ascending colon wall_280~300 um,0.2233495663671,1.0027e-14,0.006258361148962196,0.2485,24.85
Adult Male,9500,Liver,electron,10.0,10000,7602,Ascending colon wall_300 um~surface,116.6341777582855,2.2302e-14,0.01391981353786326,0.146,14.6
Adult Male,9500,Liver,electron,10.0,10000,7700,Ascending colon contents,55.000000637088,1.238e-14,0.0077269882341829054,0.2778,27.779999999999998
Adult Male,9500,Liver,electron,10.0,10000,7800,Transverse colon wall_right_0~280 um,3.9926975410255996,6.0313e-14,0.037644413680797545,0.1309,13.089999999999998
Adult Male,9500,Liver,electron,10.0,10000,7801,Transverse colon wall_right_280~300 um,0.28861134506159997,5.528e-14,0.03450306216362124,0.1227,12.27
Adult Male,9500,Liver,electron,10.0,10000,7802,Transverse colon wall_right_300 um~surface,75.6713489706476,7.4937e-14,0.04677199655128953,0.0868,8.68
Adult Male,9500,Liver,electron,10.0,10000,7900,Transverse colon contents_right,95.000002169592,5.8705e-14,0.036640779021624194,0.1112,11.12
Adult Male,9500,Liver,electron,10.0,10000,8000,Transverse colon wall_left_0~280 um,2.8236702141742,8.9208e-15,0.005567925415145304,0.4258,42.58
Adult Male,9500,Liver,electron,10.0,10000,8001,Transverse colon wall_left_280~300 um,0.20497231901709997,4.8322e-15,0.0030160220149611176,0.4065,40.65
Adult Male,9500,Liver,electron,10.0,10000,8002,Transverse colon wall_left_300 um~surface,76.92402449694919,5.2673e-15,0.0032875900747909225,0.259,25.900000000000002
Adult Male,9500,Liver,electron,10.0,10000,8100,Transverse colon contents_left,39.999992907160006,4.5671e-15,0.0028505596093971524,0.393,39.300000000000004
Adult Male,9500,Liver,electron,10.0,10000,8200,Descending colon wall_0~280 um,2.7794343898889,8.6207e-16,0.0005380617727820725,1.0,100.0
Adult Male,9500,Liver,electron,10.0,10000,8201,Descending colon wall_280~300 um,0.2033227535767,3.2111e-16,0.00020042109789002204,1.0,100.0
Adult Male,9500,Liver,electron,10.0,10000,8202,Descending colon wall_300 um~surface,116.94622050877759,1.6127e-16,0.000100656816843835,0.4489,44.89
Adult Male,9500,Liver,electron,10.0,10000,8300,Descending colon contents,35.000009177224,1.4163e-15,0.0008839849302159329,0.684,68.4
Adult Male,9500,Liver,electron,10.0,10000,8400,Sigmoid colon wall_0~280 um,4.45094235654,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,8401,Sigmoid colon wall_280~300 um,0.3235627550783,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,8402,Sigmoid colon wall_300 um~surface,48.514513234441196,1.3515e-19,8.435399514134247e-08,1.0,100.0
Adult Male,9500,Liver,electron,10.0,10000,8500,Sigmoid colon contents,74.999995449392,4.0517e-19,2.5288722316994247e-07,1.0,100.0
Adult Male,9500,Liver,electron,10.0,10000,8600,Rectum wall,39.9763266181388,2.5963e-17,1.6204830010023486e-05,0.8739,87.39
Adult Male,9500,Liver,electron,10.0,10000,8700,Heart wall,385.83881449935967,3.0629e-14,0.019117118144167063,0.0693,6.93
Adult Male,9500,Liver,electron,10.0,10000,8800,Blood in heart chamber,510.00000952219403,1.834e-14,0.011446927642561753,0.0869,8.690000000000001
Adult Male,9500,Liver,electron,10.0,10000,8900,Kidney_left_cortex,162.3384466140762,5.1825e-16,0.0003234662077839492,0.5817,58.17
Adult Male,9500,Liver,electron,10.0,10000,9000,Kidney_left_medulla,38.3592819188826,4.4636e-16,0.00027859599904764797,0.6919,69.19
Adult Male,9500,Liver,electron,10.0,10000,9100,Kidney_left_pelvis,7.651796291895599,5.6517e-18,3.527513683613209e-06,1.0,100.0
Adult Male,9500,Liver,electron,10.0,10000,9200,Kidney_right_cortex,166.54194565314927,5.7389e-14,0.0358193964274251,0.0842,8.42
Adult Male,9500,Liver,electron,10.0,10000,9300,Kidney_right_medulla,39.36213815849639,7.9505e-14,0.04962311789650339,0.147,14.7
Adult Male,9500,Liver,electron,10.0,10000,9400,Kidney_right_pelvis,7.892486789253299,4.3045e-14,0.026866575811018027,0.296,29.599999999999998
Adult Male,9500,Liver,electron,10.0,10000,9500,Liver,2360.0000048976,4.9127e-13,0.306626616301053,0.0045,0.44999999999999996
Adult Male,9500,Liver,electron,10.0,10000,9700,Lung (AI)_left,545.8768933536566,5.1725e-16,0.00032284205687650307,0.2554,25.540000000000003
Adult Male,9500,Liver,electron,10.0,10000,9900,Lung (AI)_right,652.861449557889,6.2439e-14,0.03897135851002798,0.0397,3.9699999999999998
Adult Male,9500,Liver,electron,10.0,10000,10000,Lymphatic nodes_ET,15.9491859978336,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,10100,Lymphatic nodes_thoracic,15.949205446699201,1.8694e-14,0.011667877063797676,0.2874,28.74
Adult Male,9500,Liver,electron,10.0,10000,10200,Lymphatic nodes_head,5.5097251938576,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,electron,10.0,10000,10300,Lymphatic nodes_trunk,130.20352238279762,3.733e-15,0.0023299553374963476,0.2025,20.25
Adult Male,9500,Liver,electron,10.0,10000,10400,Lymphatic nodes_arms,11.0194524245736,1.6322e-16,0.0001018739111133549,0.7242,72.42
Adult Male,9500,Liver,electron,10.0,10000,10500,Lymphatic nodes_legs,11.019453548111999,0.0,0.0,0.0,0.0
