Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,100,Adrenal_left,6.07144455,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,200,Adrenal_right,7.703215199999999,6.8617e-16,0.00042827362816230083,1.0,100.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,300,ET1_0~8 um,0.00792453406,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,301,ET1_8~40 um,0.031966979799999996,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,302,ET1_40~50 um,0.01007870546,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,303,ET1_50 um~surface,4.04565431,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,400,ET2_-15~0 um,0.0958725,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,401,ET2_0~40 um,0.264961845,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,402,ET2_40~50 um,0.0665561019,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,403,ET2_50~55 um,0.0333505818,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,404,ET2_55~65 um,0.06671302009999999,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,405,ET2_65 um~surface,13.046583299999998,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,500,Oral mucosa_tongue,0.06047538,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,501,Oral mucosa_mouth floor,0.014827365,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,600,Oral mucosa_lips_and cheeks,0.017277645,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,700,Trachea,7.310625109999999,3.8212e-15,0.002385005447533095,1.0,100.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,800,BB1_-11~-6 um,0.00911599,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,801,BB1_-6~0 um,0.0112521278,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,802,BB1_0~10 um,0.018796264099999998,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,803,BB1_10~35 um,0.04721598529999999,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,804,BB1_35~40 um,0.009485622709999999,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,805,BB1_40~50 um,0.019015763999999998,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,806,BB1_50~60 um,0.019069169799999997,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,807,BB1_60~70 um,0.019123297299999998,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,808,BB1_70 um~surface,1.0501353599999999,0.0,0.0,0.0,0.0
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,900,Blood in large arteries_head,217.55016,5.1397e-15,0.003207948419000798,0.4483,44.83
