Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
Adult Female,9500,Liver,electron,10.0,10000,100,Adrenal_left,6.816533157607499,1.0967e-13,0.06845063001961545,0.2523,25.230000000000004
Adult Female,9500,Liver,electron,10.0,10000,200,Adrenal_right,8.6485539778965,2.3751e-13,0.1482420820275268,0.1551,15.509999999999998
Adult Female,9500,Liver,electron,10.0,10000,300,ET1_0~8 um,0.008564642369599999,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,electron,10.0,10000,301,ET1_8~40 um,0.0345508806604,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,electron,10.0,10000,302,ET1_40~50 um,0.0108931829849,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,electron,10.0,10000,303,ET1_50 um~surface,4.3745788372289995,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,electron,10.0,10000,400,ET2_-15~0 um,0.1041581236,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,electron,10.0,10000,401,ET2_0~40 um,0.2878573922153,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,electron,10.0,10000,402,ET2_40~50 um,0.0723068189581,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,electron,10.0,10000,403,ET2_50~55 um,0.036231674080899993,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,electron,10.0,10000,404,ET2_55~65 um,0.0724804463689,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,electron,10.0,10000,405,ET2_65 um~surface,14.1803310228681,2.9773e-17,1.8582844967393186e-05,0.7854,78.53999999999999
Adult Female,9500,Liver,electron,10.0,10000,500,Oral mucosa_tongue,0.06614430711,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,electron,10.0,10000,501,Oral mucosa_mouth floor,0.016117579485000002,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,electron,10.0,10000,600,Oral mucosa_lips_and cheeks,0.01882475847,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,electron,10.0,10000,700,Trachea,8.2011228190332,4.3401e-18,2.708877353406884e-06,1.0,100.0
Adult Female,9500,Liver,electron,10.0,10000,800,BB1_-11~-6 um,0.0102339567,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,electron,10.0,10000,801,BB1_-6~0 um,0.0126340007099,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,electron,10.0,10000,802,BB1_0~10 um,0.021103041026999995,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,electron,10.0,10000,803,BB1_10~35 um,0.0530281593402,0.0,0.0,0.0,0.0
