Phantom,Source Organ,Source Type,Source Energy (MeV),Number of Particles,Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Uncertainty (kg^-1)
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,1400,0.0207,0.0071600000000000006,1.6016210000000002,0.0,0.0,4.3643586812721064e-16,0.7038542534567162,70.38542534567162,4.4320227531972036e-16,0.20733830976113085,20.733830976113087,0.02302302302302302,0.017592569842010863,0.8991,0.40698999999999996,6.703283278737614e-16,0.13971528113835202,13.971528113835202,0.0004183860341292452,5.845492238272764e-05,3.5169138903054097e-16,0.00021950849960439685,4.551252128617751e-05
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,1500,,0.00014000000000000001,1.4308100000000001,,0.0,,,,9.143105207864099e-16,,,,0.0003439887957935085,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,1700,,0.008320000000000001,0.6190789999999999,,0.0,,,,2.5961254188374026e-16,,,,0.02044276272144279,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,2000,,0.012029999999999999,0.0,,0.0,,,,0.0,,,,0.02955846580997076,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,2100,,7.000000000000001e-05,0.5592,,0.0,,,,9.345652285037769e-17,,,,0.00017199439789675425,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,2300,,0.0070999999999999995,0.733141,,0.0,,,,6.244819713877941e-16,,,,0.017445146072385072,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,2500,0.0072,0.0019,0.45605999999999997,0.0,0.0,5.432068553203734e-16,1.0,100.0,5.432068553203734e-16,,,0.008008008008008008,0.004668419371483329,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,2700,0.0684,0.06420000000000001,0.275991,0.0,0.0,3.870094493459551e-16,0.8814372461763862,88.14372461763863,3.870094493459551e-16,,,0.07607607607607608,0.1577434334995946,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,2900,0.0603,0.033530000000000004,0.265122,0.0,0.0,4.532311855583864e-16,0.9880648503172903,98.80648503172903,4.532311855583864e-16,,,0.06706706706706707,0.08238531659254529,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,3000,,0.00067,0.22547,,0.0,,,,4.6349612622709845e-18,,,,0.0016462320941546477,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,3200,,0.02367,0.035134,,0.0,,,,1.0380785056708409e-17,,,,0.058158677117373894,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,3500,,0.07991,0.10167999999999999,,0.0,,,,1.448336394727302e-17,,,,0.19634389051328044,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,3600,,0.0045899999999999995,0.0,,0.0,,,,0.0,,,,0.011277918376372884,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,3800,,0.024399999999999998,0.0,,0.0,,,,0.0,,,,0.05995233298115433,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,4000,0.0072,0.0016,0.0,0.0,0.0,0.0,,,0.0,,,0.008008008008008008,0.003931300523354383,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,4200,0.1575,0.039700000000000006,0.6905802999999999,0.0,0.0,2.438659929952713e-16,0.34193775131731563,34.19377513173156,2.458360666901588e-16,,,0.17517517517517517,0.09754539423573064,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,4400,0.1449,0.0229,2.4014577,0.0,0.0,1.1990066054356387e-15,0.19765265714522406,19.765265714522407,1.2113198557468185e-15,,,0.16116116116116116,0.0562667387405096,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,4600,0.0252,0.0076,0.6103925,0.0,0.0,4.720143414379257e-16,0.675712824128696,67.5712824128696,4.746417159001427e-16,,,0.028028028028028028,0.018673677485933318,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,4800,0.0351,0.0088,0.819213,0.0,0.0,3.4001257274279606e-16,0.6214868332571327,62.14868332571327,3.403587467508344e-16,,,0.03903903903903904,0.021622152878449104,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,5000,0.1449,0.0206,2.2768049999999995,0.0,0.0,7.786465666100422e-16,0.3200475828293394,32.00475828293394,7.865995042679878e-16,,,0.16116116116116116,0.050615494238187675,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,5200,0.1107,0.018,2.1159825,0.0,0.0,6.501919605440888e-16,0.30010416162628806,30.010416162628808,6.538864216379762e-16,,,0.12312312312312312,0.0442271308877368,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,5400,0.0891,0.0158,1.186354,0.0,0.0,4.2878720479056465e-16,0.6675386474083251,66.75386474083251,4.3057271309685765e-16,,,0.0990990990990991,0.03882159266812453,,,,,,,,,,
ICRP 145 Adult Female Resized to Filipino,Liver,photon,10.0,1000,5600,0.027899999999999998,0.0043,4.0007645,0.0,0.0,2.7585795600563732e-15,0.5617114539226407,56.171145392264066,2.761343258226587e-15,,,0.03103103103103103,0.010565370156514903,,,,,,,,,,
