Phantom,Source Organ,Source Type,Source Energy (MeV),Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Statistical Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Statistical Uncertainty (kg^-1)
Adult Female,Thyroid,photon,10.0,1400,0.0207,0.0071600000000000006,1.7406770600000003,0.0,0.0,6.689835268493815e-16,0.21166999884729626,21.166999884729627,6.745955740081534e-16,0.045935552224519234,4.593555222451924,0.02302302302302302,0.017570120978626293,0.8991,0.40751000000000004,7.264701829467767e-16,0.046355640085314447,4.6355640085314445,0.000453427023918776,2.101889992573404e-05,4.2266323999291495e-16,0.00026380564478569303,1.2118057973176173e-05
Adult Female,Thyroid,photon,10.0,1500,,0.00014000000000000001,1.233501,,0.0,,,,5.406269375870512e-16,,,,0.0003435498515373856,,,,,,,,,,
Adult Female,Thyroid,photon,10.0,1700,,0.008320000000000001,0.5536079,,0.0,,,,1.2277467823347808e-16,,,,0.02041667689136463,,,,,,,,,,
Adult Female,Thyroid,photon,10.0,1800,,0.00019,0.5705601,,0.0,,,,1.1707165819488082e-16,,,,0.0004662462270864518,,,,,,,,,,
Adult Female,Thyroid,photon,10.0,2000,,0.012029999999999999,0.265276,,0.0,,,,1.0063496026890396e-16,,,,0.029520747957105343,,,,,,,,,,
Adult Female,Thyroid,photon,10.0,2100,,7.000000000000001e-05,0.20072199999999998,,0.0,,,,1.2309550052128514e-16,,,,0.0001717749257686928,,,,,,,,,,
Adult Female,Thyroid,photon,10.0,2300,,0.0070999999999999995,0.1484425,,0.0,,,,1.1176197066136652e-16,,,,0.01742288532796741,,,,,,,,,,
Adult Female,Thyroid,photon,10.0,2500,0.0072,0.0019,4.368904187,0.0,0.0,1.9673940393131257e-15,0.15691801717125947,15.691801717125948,1.9846867508539606e-15,,,0.008008008008008008,0.004662462270864518,,,,,,,,,,
Adult Female,Thyroid,photon,10.0,2700,0.0684,0.06420000000000001,1.49684277,0.0,0.0,8.149560453954188e-16,0.1035878288906825,10.35878288906825,8.173078961668433e-16,,,0.07607607607607608,0.1575421462050011,,,,,,,,,,
Adult Female,Thyroid,photon,10.0,2900,0.0603,0.033530000000000004,0.1121462,0.0,0.0,4.451805523250909e-17,0.4305734880490759,43.05734880490759,4.4672031306416803e-17,,,0.06706706706706707,0.08228018944320385,,,,,,,,,,
Adult Female,Thyroid,photon,10.0,3000,,0.00067,0.034917,,0.0,,,,7.340569563264219e-17,,,,0.001644131432357488,,,,,,,,,,
Adult Female,Thyroid,photon,10.0,3200,,0.02367,0.0095382,,0.0,,,,7.384681225246595e-19,,,,0.05808446418492797,,,,,,,,,,
Adult Female,Thyroid,photon,10.0,3300,,0.00033,0.021682,,0.0,,,,4.558187394985103e-17,,,,0.0008097960786238374,,,,,,,,,,
