Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ IDs,Target Region Name,Target Region Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%),Calculation Method
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,899.1,7.875890853853854e-15,0.004915744423379399,0.19964417599355383,19.964417599355382,Direct dose calculation
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,899.1,6.703283278737614e-16,0.0004183860341292,0.139715281138352,13.971528113835202,Fluence-to-dose response functions
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,Colon wall,401.010386868,8.03028209208131e-15,0.005012107854820805,0.3821377005255891,38.21377005255891,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,7601_7801_8001_8201_8401,Stem cells of colon,1.1344541879999999,6.607449850735092e-15,0.004124045820240968,0.503801615012473,50.3801615012473,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,9700_9900,RLung + LLung,845.959877,1.2172561795492814e-14,0.007597515490600698,0.2699902218662827,26.99902218662827,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,7200_7201_7202_7203,Stomach wall,153.976890312,1.525650844309416e-14,0.009522363589216494,0.42463647930986753,42.46364793098675,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,7201,Stem cells of stomach,0.929635952,9.9381e-15,0.0062028741332902,0.5263,52.629999999999995,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,6200_6300_6400_6500,Breast-a + Breast-g,476.8716738,7.158963661181587e-15,0.004468273665500216,0.3843093080941971,38.43093080941971,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,11100_11200,ROvary + LOvary,11.255306139999998,6.608e-15,0.0041243891964039,1.0,100.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,13700_13701,Urinary bladder wall,36.3443808,8.52129322919707e-17,5.318572901617788e-05,1.0,100.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,13701,Urinary bladder basal cells,2.0121088,0.0,0.0,0.0,0.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,11000_11001_11002,Oesophagus wall,38.5192867332,6.118383555966514e-15,0.0038187946485597995,0.9486623966091619,94.86623966091618,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,11001,Oesophagus basal cells,0.0896955332,6.9753e-15,0.0043536398247088,1.0,100.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,9500,Liver,1612.1540000000002,5.392e-14,0.0336542169294945,0.1107,11.07,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,13200,Thyroid,17.3287829,0.0,0.0,0.0,0.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,1400_1500_1700_2000_2100_2300_2500_2700_2900_3000_3200_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,406.99000000000007,2.9488024650728514e-15,0.0018404977344545295,0.18276225962510448,18.27622596251045,Direct dose calculation
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,1400_1500_1700_2000_2100_2300_2500_2700_2900_3000_3200_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,406.9899999999999,3.5169138903054093e-16,0.0002195084996043,0.2073383097611308,20.733830976113087,Fluence-to-dose response functions
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,6100,Brain,1276.25559,0.0,0.0,0.0,0.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,12000_12100,Salivary glands,66.0251369,0.0,0.0,0.0,0.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,12200_12201,Skin,2241.7161792,2.6448303502633876e-15,0.0016507732631578338,0.17360080972369252,17.360080972369254,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,12201,Basal cells of skin,82.17761920000001,2.2567e-15,0.0014085213528336,0.19099999999999998,19.099999999999998,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,100_200,RAdrenal + LAdrenal,13.774659749999998,3.8372745822516595e-16,0.00023950384126322812,1.0,100.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,300_301_302_303_401_402_403_404_405,ET region,17.573789378119997,0.0,0.0,0.0,0.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,7000,Gallbladder wall,7.30468655,6.8918e-14,0.0430152322393713,0.5999,59.99,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,8700,Heart wall,259.084112,9.6001e-15,0.0059919111265734,0.5429,54.290000000000006,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,8900_9000_9100_9200_9300_9400,RKidney + LKidney,317.8939280800001,2.6689580409049494e-14,0.01665832583166425,0.2680308737565632,26.80308737565632,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,10200_10300_10400_10500,Systemic lymph nodes,111.51266711999999,4.699992993099527e-15,0.0029335048916334324,0.607041917790123,60.7041917790123,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,10600,Muscle,15824.55,3.0415e-15,0.0018983549849973,0.124,12.4,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,500_501_600,Oral mucosa,0.09258039000000001,0.0,0.0,0.0,0.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,11300,Pancreas,128.751049,2.2042e-14,0.0137575343019272,0.3869,38.690000000000005,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,7400_7401_7402_7403,Small intestine wall,673.15846696,6.861424270277496e-15,0.004282564184666493,0.3339349752970833,33.393497529708334,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,7401,Stem cells of small intestine,1.7115963200000002,3.1316e-15,0.0019545909817582,0.46019999999999994,46.019999999999996,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,12700,Spleen,166.91608,5.2812e-15,0.0032962657724044,0.8659999999999999,86.6,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,13100,Thymus,18.2616906,0.0,0.0,0.0,0.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,13900,Uterus/cervix,73.0309048,9.8992e-16,0.000617859466299,1.0,100.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,500_13300_13301,Tongue,56.356960380000004,0.0,0.0,0.0,0.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,13400,Tonsils,2.83212607,0.0,0.0,0.0,0.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,7600_7601_7602_7800_7801_7802,Right colon wall (ascending + right transverse),161.528040492,1.0069854529387876e-14,0.006285108842367797,0.5779519378608036,57.795193786080354,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,8000_8001_8002_8200_8201_8202,Left colon wall (left transverse + descending),161.522626356,8.313371393296836e-15,0.005188798299062758,0.5709095091722772,57.09095091722772,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,8400_8401_8402_8600,Rectosigmoid colon wall (sigmoid + rectum),77.95972001999999,3.217880680570459e-15,0.002008443146831322,0.8252514155155386,82.52514155155386,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,7601_7801,Stem cells of right colon (ascending + right transverse),0.523912452,3.1849154656747878e-15,0.0019878678780400603,1.0,100.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,8001_8201,Stem cells of left colon (left transverse + descending),0.33805819599999987,1.178153863951874e-14,0.007353458032967054,0.7134871245968841,71.34871245968841,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,8401,Stem cells of rectosigmoid colon (sigmoid + rectum),0.27248354,6.7688e-15,0.0042247526623212,1.0,100.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,302,Basal cells of anterior nasal passages,0.01007870546,0.0,0.0,0.0,0.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,402,Basal cells of posterior nasal passages + pharynx,0.0665561019,0.0,0.0,0.0,0.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,10000,Extrathoracic lymph nodes,11.7300216,0.0,0.0,0.0,0.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,804_805,Bronchi basal cells,0.0285013867099998,0.0,0.0,0.0,0.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,803_804,Bronchi secretory cells,0.0567016080099998,0.0,0.0,0.0,0.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,9700_9900,Alveolar-interstitium,845.959877,1.2172561795492814e-14,0.007597515490600698,0.2699902218662827,26.99902218662827,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,10100,Thoracic lymph nodes,11.3077272,7.9379e-15,0.0049544474882165,0.9971,99.71,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,9900,Right lung lobe,465.40557,1.8618e-14,0.011620441594831702,0.3072,30.72,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,9700,Left lung lobe,380.554307,4.29e-15,0.0026776073929438,0.4916,49.16,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,200,Right adrenal gland,7.703215199999999,6.8617e-16,0.0004282736281623,1.0,100.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,100,Left adrenal gland,6.07144455,0.0,0.0,0.0,0.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,6400,Right breast adipose,147.173488,1.4584e-14,0.0091026168341941,0.49979999999999997,49.98,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,6500,Right breast glandular,91.2885289,6.727600000000001e-15,0.0041990376449344,0.9871999999999999,98.71999999999998,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,6200,Left breast adipose,147.12112799999997,2.4319e-15,0.0015178725918182,1.0,100.0,
ICRP 145 Adult Female Resized to Filipino,9500,Liver,photon,10.0,1000,6300,Left breast glandular,91.2885289,3.238e-15,0.0020210006383105,0.926,92.60000000000001,
