Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ IDs,Target Region Name,Target Region Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%),Calculation Method
Adult Female,6100,Brain,photon,10.0,10000,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,899.1,4.552068708708709e-15,0.0028411778152975724,0.053812039208578376,5.381203920857837,Direct dose calculation
Adult Female,6100,Brain,photon,10.0,10000,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,899.1,4.319520724199883e-16,0.0002696032779741,0.0772548243961353,7.725482439613536,Fluence-to-dose response functions
Adult Female,6100,Brain,photon,10.0,10000,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,Colon wall,450.2518559416332,2.837261972703015e-16,0.00017708796349245686,0.5119381156080158,51.193811560801585,
Adult Female,6100,Brain,photon,10.0,10000,9700_9900,RLung + LLung,949.7733446006616,1.5356980798693298e-15,0.0009585073501136391,0.2562402702572157,25.624027025721567,
Adult Female,6100,Brain,photon,10.0,10000,7200_7201_7202_7203,Stomach wall,172.87288770036602,8.759041638242062e-16,0.0005466963786866701,0.6582680215496457,65.82680215496457,
Adult Female,6100,Brain,photon,10.0,10000,6200_6300_6400_6500,Breast-a + Breast-g,512.3095308708365,2.173065157409873e-15,0.0013563205899368672,0.2882217937455636,28.822179374556363,
Adult Female,6100,Brain,photon,10.0,10000,11100_11200,ROvary + LOvary,12.6365476832867,0.0,0.0,0.0,0.0,
Adult Female,6100,Brain,photon,10.0,10000,13700_13701,Urinary bladder wall,40.80452677620801,2.1196236089145667e-16,0.00013229649989477567,0.9761202548973411,97.61202548973411,
Adult Female,6100,Brain,photon,10.0,10000,11000_11001_11002,Oesophagus wall,43.218221843014405,5.203552553488635e-15,0.003247802048203433,0.42091680766028544,42.091680766028546,
Adult Female,6100,Brain,photon,10.0,10000,9500,Liver,1810.000002004968,8.4981e-16,0.0005304096826567,0.2776,27.76,
Adult Female,6100,Brain,photon,10.0,10000,13200,Thyroid,19.4553068342601,4.905e-15,0.0030614602010231,0.5764,57.64,
Adult Female,6100,Brain,photon,10.0,10000,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,407.50999999999993,7.0024804164315e-15,0.004370604506289351,0.047179960329059974,4.717996032905997,Direct dose calculation
Adult Female,6100,Brain,photon,10.0,10000,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,407.51,4.942062056630484e-16,0.00030845925173,0.0411073616277341,4.11073616277341,Fluence-to-dose response functions
Adult Female,6100,Brain,photon,10.0,10000,6100,Brain,1349.568113424676,6.6309e-14,0.0413868225218444,0.0345,3.45,
Adult Female,6100,Brain,photon,10.0,10000,12000_12100,Salivary glands,71.7597616442942,1.6695000021015657e-14,0.010420199412929793,0.2285413249974133,22.854132499741333,
Adult Female,6100,Brain,photon,10.0,10000,12200_12201_12300_12301_12400_12401_12500_12501,Skin,2422.0288890218944,2.0027890220785646e-15,0.0012500425855534057,0.04938219399668454,4.938219399668454,
Adult Female,6100,Brain,photon,10.0,10000,100_200,RAdrenal + LAdrenal,15.465087135504,0.0,0.0,0.0,0.0,
Adult Female,6100,Brain,photon,10.0,10000,300_301_302_303_401_402_403_404_405,ET region,19.0777948977352,2.1597416511698816e-14,0.013480047114268489,0.2755278076729421,27.55278076729421,
Adult Female,6100,Brain,photon,10.0,10000,7000,Gallbladder wall,8.2011184280042,9.0316e-18,5.637081335690334e-06,1.0,100.0,
