Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,100,Adrenal_left,7.6828724,7.4503e-16,0.00046501115057457916,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,200,Adrenal_right,7.68288276,1.4604e-14,0.009115099852343067,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,300,ET1_0~8 um,0.020909401699999997,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,301,ET1_8~40 um,0.08390793499999999,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,302,ET1_40~50 um,0.026311429299999998,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,303,ET1_50 um~surface,10.590122699999998,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,400,ET2_-15~0 um,0.130263,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,401,ET2_0~40 um,0.35961692399999995,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,402,ET2_40~50 um,0.09023796569999999,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,403,ET2_50~55 um,0.04517769829999999,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,404,ET2_55~65 um,0.0904594245,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,405,ET2_65 um~surface,26.657226699999995,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,500,Oral mucosa_tongue,0.079282665,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,501,Oral mucosa_mouth floor,0.021848295,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,600,Oral mucosa_lips_and cheeks,0.021373275,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,700,Trachea,9.17017795,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,800,BB1_-11~-6 um,0.0222672,1.2654e-14,0.00789800558282314,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,801,BB1_-6~0 um,0.0275724454,1.2775e-14,0.007973527842624121,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,802,BB1_0~10 um,0.0460257989,1.2715e-14,0.007936078788177354,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,803,BB1_10~35 um,0.11539158199999998,1.2698e-14,0.007925468222750769,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,804,BB1_35~40 um,0.0231440942,1.2675e-14,0.00791111275187951,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,805,BB1_40~50 um,0.0463411818,1.2638e-14,0.007888019168304004,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,806,BB1_50~60 um,0.04641840369999999,1.2611e-14,0.007871167093802959,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,807,BB1_60~70 um,0.04650026509999999,1.2632e-14,0.007884274262859326,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,808,BB1_70 um~surface,2.4569245499999997,1.1587e-14,0.007232036564578136,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,900,Blood in large arteries_head,296.00288,5.76e-15,0.003595109226889623,0.7063,70.63000000000001
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,910,Blood in large veins_head,888.51532,3.3531e-15,0.002092840407757569,0.4305,43.05
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,1300,Humeri_upper_cortical,235.29441599999998,3.7893e-17,2.3650950335855642e-05,0.711,71.1
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,1400,Humeri_upper_spongiosa,128.911383,1.1843e-16,7.391819196884343e-05,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,1500,Humeri_upper_medullary cavity,63.391042799999994,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,1700,Humeri_lower_spongiosa,45.0295033,1.1284e-16,7.042918839621963e-05,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,1900,Ulnae and radii_cortical,241.84227199999998,8.7299e-16,0.0005448775006913841,0.5741,57.410000000000004
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,2000,Ulnae and radii_spongiosa,137.134504,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,2100,Ulnae and radii_medullary cavity,20.3481963,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,2200,Wrists and hand bones_cortical,160.6248672,6.7696e-16,0.0004225251983047221,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,2300,Wrists and hand bones_spongiosa,105.23179010000001,7.4479e-16,0.0004648613543567921,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,2400,Clavicles_cortical,42.695296,1.6292e-16,0.00010168666584112108,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,2500,Clavicles_spongiosa,39.8684845,3.0617e-16,0.00019109628333277708,0.9219,92.19000000000001
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,2600,Cranium_cortical,541.370032,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,2700,Cranium_spongiosa,363.80387,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,2800,Femora_upper_cortical,487.39544,1.9583e-17,1.2222747220517273e-05,0.8766,87.66000000000001
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,2900,Femora_upper_spongiosa,360.851625,6.6037e-18,4.12170534750191e-06,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3000,Femora_upper_medullary cavity,93.4933221,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3200,Femora_lower_spongiosa,327.35683800000004,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3400,Tibiae_fibulae_and patellae_cortical,480.06313599999993,8.1841e-16,0.0005108113441629751,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3500,Tibiae_fibulae_and patellae_spongiosa,554.272655,5.2883e-17,3.300697243847291e-05,1.0,100.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3600,Tibiae_fibulae_and patellae_medullary cavity,71.680689,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3700,Ankles and foot_cortical,215.77270399999998,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3800,Ankles and foot_spongiosa,397.29814100000004,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,3900,Mandible_cortical,70.80024,3.0218e-16,0.00018860592121206708,0.774,77.4
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4000,Mandible_spongiosa,51.724107599999996,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4100,Pelvis_cortical,356.232688,1.9247e-15,0.0012013032515615378,0.5005,50.05
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4200,Pelvis_spongiosa,548.312488,1.46e-15,0.0009112603248713282,0.5084,50.839999999999996
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4300,Ribs_cortical,326.328464,1.3562e-14,0.008464734606784215,0.2148,21.48
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4400,Ribs_spongiosa,404.68428,1.298e-14,0.008101478778650575,0.2421,24.21
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4500,Scapulae_cortical,197.61425599999998,2.8695e-15,0.0017910010289166275,0.8059,80.58999999999999
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4600,Scapulae_spongiosa,138.629028,3.1239e-15,0.0019497850197709192,0.9851,98.50999999999999
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4700,Cervical spine_cortical,94.2599952,0.0,0.0,0.0,0.0
Adult ICRP 145 Male Resized to Filipino,9500,Liver,photon,10.0,1000,4800,Cervical spine_spongiosa,71.6494274,0.0,0.0,0.0,0.0
