OrganID,NumTet,Volume_cm3,Density_gcm3,Mass_g,Organ
100,2177,6.586,1.035,6.817,Adrenal_left
200,2219,8.356,1.035,8.649,Adrenal_right
300,8296,0.008,1.031,0.009,ET1(0-8)
301,8271,0.034,1.031,0.035,ET1(8-40)
302,8260,0.011,1.031,0.011,ET1(40-50)
303,8085,4.243,1.031,4.375,ET1(50-surface)
400,24842,0.104,1.000,0.104,ET2(-15-0)
401,24820,0.279,1.031,0.288,ET2(0-40)
402,24857,0.070,1.031,0.072,ET2(40-50)
403,24847,0.035,1.031,0.036,ET2(50-55)
404,24785,0.070,1.031,0.072,ET2(55-65)
405,24601,13.754,1.031,14.180,ET2(65-surface)
500,8696,0.063,1.050,0.066,Oral_mucosa_tongue
501,870,0.015,1.050,0.016,Oral_mucosa_mouth_floor
600,1938,0.018,1.050,0.019,Oral_mucosa_lips_and_cheeks
700,3113,7.955,1.031,8.201,Trachea
800,5510,0.010,1.000,0.010,BB(-11--6)
801,5506,0.012,1.031,0.013,BB(-6-0)
802,5504,0.020,1.031,0.021,BB(0-10)
803,5508,0.051,1.031,0.053,BB(10-35)
804,5507,0.010,1.031,0.011,BB(35-40)
805,5511,0.021,1.031,0.021,BB(40-50)
806,5504,0.021,1.031,0.021,BB(50-60)
807,5508,0.021,1.031,0.021,BB(60-70)
808,5498,1.144,1.031,1.179,BB(70-surface)
900,7723,1.798,1.060,1.906,Blood_in_large_arteries_head
910,7803,2.837,1.060,3.007,Blood_in_large_veins_head
1000,86300,111.200,1.060,117.872,Blood_in_large_arteries_trunk
1010,148107,226.275,1.060,239.851,Blood_in_large_veins_trunk
1100,84004,43.691,1.060,46.312,Blood_in_large_arteries_arms
1110,80854,131.630,1.060,139.528,Blood_in_large_veins_arms
1200,100072,75.383,1.060,79.906,Blood_in_large_arteries_legs
1210,86111,335.483,1.060,355.612,Blood_in_large_veins_legs
1300,9040,59.707,1.904,113.681,Humeri_upper_cortical
1400,3940,90.901,1.185,107.717,Humeri_upper_spongiosa
1500,1748,20.914,0.981,20.516,Humeri_upper_medullary_cavity
1600,9992,54.252,1.904,103.296,Humeri_lower_cortical
1700,3195,44.999,1.117,50.264,Humeri_lower_spongiosa
1800,2217,20.890,0.981,20.493,Humeri_lower_medullary_cavity
1900,27729,82.305,1.904,156.708,Ulnae_and_radii_cortical
2000,11023,77.782,1.117,86.883,Ulnae_and_radii_spongiosa
2100,6769,34.728,0.981,34.068,Ulnae_and_radii_medullary_cavity
2200,55503,55.216,1.904,105.132,Wrists_and_hand_bones_cortical
2300,26626,62.095,1.117,69.360,Wrists_and_hand_bones_spongiosa
2400,7196,17.240,1.904,32.825,Clavicles_cortical
2500,3878,32.549,1.192,38.798,Clavicles_spongiosa
2600,278404,214.112,1.904,407.670,Cranium_cortical
2700,141419,312.549,1.252,391.311,Cranium_spongiosa
2800,14889,128.218,1.904,244.126,Femora_upper_cortical
2900,6615,222.566,1.046,232.804,Femora_upper_spongiosa
3000,1800,40.282,0.981,39.516,Femora_upper_medullary_cavity
3100,11330,126.539,1.904,240.929,Femora_lower_cortical
3200,4948,148.911,1.117,166.334,Femora_lower_spongiosa
3300,2212,57.861,0.981,56.762,Femora_lower_medullary_cavity
3400,34074,286.158,1.904,544.845,Tibiae_fibulae_and_patellae_cortical
3500,10297,500.026,1.117,558.529,Tibiae_fibulae_and_patellae_spongiosa
3600,6137,90.605,0.981,88.883,Tibiae_fibulae_and_patellae_medullary_cavity
3700,34445,91.111,1.904,173.476,Ankles_and_foot_cortical
3800,15097,230.484,1.117,257.451,Ankles_and_foot_spongiosa
3900,20581,23.841,1.904,45.394,Mandible_cortical
4000,9679,28.157,1.189,33.479,Mandible_spongiosa
4100,27867,137.845,1.904,262.458,Pelvis_cortical
4200,11237,412.306,1.105,455.599,Pelvis_spongiosa
4300,195687,86.399,1.904,164.504,Ribs_cortical
4400,99346,255.129,1.087,277.325,Ribs_spongiosa
4500,27333,63.899,1.904,121.664,Scapulae_cortical
4600,16111,85.982,1.125,96.730,Scapulae_spongiosa
4700,161113,37.603,1.904,71.596,Cervical_spine_cortical
4800,60904,66.963,1.129,75.601,Cervical_spine_spongiosa
4900,242233,108.103,1.904,205.828,Thoracic_spine_cortical
5000,91832,251.774,1.080,271.915,Thoracic_spine_spongiosa
5100,98716,82.025,1.904,156.175,Lumbar_spine_cortical
5200,41517,227.447,1.165,264.976,Lumbar_spine_spongiosa
5300,106189,42.143,1.904,80.240,Sacrum_cortical
5400,55072,147.186,1.052,154.840,Sacrum_spongiosa
5500,7975,0.885,1.904,1.685,Sternum_cortical
5600,4099,47.854,1.073,51.347,Sternum_spongiosa
5700,22615,38.179,1.099,41.959,Cartilage_costal
5800,43489,63.103,1.099,69.351,Cartilage_discs
6100,19398,1296.415,1.041,1349.568,Brain
6200,5105,161.411,0.952,153.663,Breast_left_adipose_tissue
6300,2686,100.383,1.021,102.491,Breast_left_glandular_tissue
6400,5345,161.411,0.952,153.663,Breast_right_adipose_tissue
6500,1961,100.383,1.021,102.491,Breast_right_glandular_tissue
6600,2169,0.037,1.060,0.039,Eye_lens_sensitive_left
6601,3212,0.179,1.060,0.189,Eye_lens_insensitive_left
6700,24531,1.012,1.087,1.100,Cornea_left
6701,3227,0.300,1.014,0.304,Aqueous_left
6702,6392,5.938,1.019,6.051,Vitreous_left
6800,2162,0.037,1.060,0.039,Eye_lens_sensitive_right
6801,3208,0.179,1.060,0.189,Eye_lens_insensitive_right
6900,24532,1.012,1.087,1.100,Cornea_right
6901,3233,0.300,1.014,0.304,Aqueous_right
6902,6391,5.938,1.019,6.051,Vitreous_right
7000,8656,7.955,1.031,8.201,Gall_bladder_wall
7100,4299,46.602,1.030,48.000,Gall_bladder_contents
7200,8482,1.507,1.036,1.561,Stomach_wall(0-60)
7201,8470,1.007,1.036,1.044,Stomach_wall(60-100)
7202,8488,5.074,1.036,5.256,Stomach_wall(100-300)
7203,9122,159.278,1.036,165.012,Stomach_wall(300-surface)
7300,4287,221.154,1.040,230.000,Stomach_contents
7400,137153,11.912,1.036,12.341,Small_intestine_wall(0-130)
7401,137309,1.855,1.036,1.922,Small_intestine_wall(130-150)
7402,137205,4.663,1.036,4.831,Small_intestine_wall(150-200)
7403,125177,711.063,1.036,736.662,Small_intestine_wall(200-surface)
7500,136428,43.487,1.040,45.227,Small_intestine_contents(-500-0)
7501,70978,225.744,1.040,234.773,Small_intestine_contents(centre--500)
7600,6430,4.296,1.036,4.451,Ascending_colon_wall(0-280)
7601,6422,0.311,1.036,0.322,Ascending_colon_wall(280-300)
7602,6480,104.039,1.036,107.784,Ascending_colon_wall(300-surface)
7700,3104,96.161,1.040,100.007,Ascending_colon_content
7800,6687,3.552,1.036,3.680,Transverse_colon_wall_right(0-280)
7801,6621,0.257,1.036,0.266,Transverse_colon_wall_right(280-300)
7802,6914,62.594,1.036,64.847,Transverse_colon_wall_right(300-surface)
7900,2967,57.687,1.040,59.995,Transverse_colon_contents_right
8000,6608,2.120,1.036,2.196,Transverse_colon_wall_left(0-280)
8001,6590,0.154,1.036,0.160,Transverse_colon_wall_left(280-300)
8002,6981,64.120,1.036,66.428,Transverse_colon_wall_left(300-surface)
8100,3209,28.851,1.040,30.005,Transverse_colon_content_left
8200,3222,2.916,1.036,3.021,Descending_colon_wall(0-280)
8201,3208,0.212,1.036,0.220,Descending_colon_wall(280-300)
8202,4826,105.522,1.036,109.320,Descending_colon_wall(300-surface)
8300,1640,48.080,1.040,50.003,Descending_colon_content
8400,5950,4.075,1.036,4.222,Sigmoid_colon_wall(0-280)
8401,5909,0.295,1.036,0.306,Sigmoid_colon_wall(280-300)
8402,6558,49.962,1.036,51.761,Sigmoid_colon_wall(300-surface)
8500,3013,76.916,1.040,79.993,Sigmoid_colon_contents
8600,1151,30.181,1.036,31.268,Rectum_wall
8700,19262,276.774,1.051,290.890,Heart_wall
8800,9200,349.057,1.060,370.000,Blood_in_heart_chamber
8900,8230,141.722,1.052,149.091,Kidney_left_cortex
9000,6427,35.590,1.052,37.441,Kidney_left_medulla
9100,1186,7.124,1.052,7.494,Kidney_left_pelvis
9200,8189,118.961,1.052,125.147,Kidney_right_cortex
9300,6248,29.886,1.052,31.440,Kidney_right_medulla
9400,1166,5.981,1.052,6.292,Kidney_right_pelvis
9500,11995,1707.547,1.060,1810.000,Liver
9700,10663,1034.517,0.413,427.256,Lung(AI)_left
9900,8887,1265.176,0.413,522.518,Lung(AI)_right
10000,6882,12.302,1.032,12.695,Lymphatic_nodes_ET
10100,6875,12.302,1.032,12.695,Lymphatic_nodes_thoracic
10200,2375,4.250,1.032,4.386,Lymphatic_nodes_head
10300,56139,100.427,1.032,103.641,Lymphatic_nodes_trunk
10400,4743,8.499,1.032,8.771,Lymphatic_nodes_arms
10500,4750,8.499,1.032,8.771,Lymphatic_nodes_legs
10600,138560,423.830,1.050,445.022,Muscle_head
10700,441940,7928.546,1.050,8324.973,Muscle_trunk
10800,148578,1409.261,1.050,1479.724,Muscle_arms
10900,169264,7311.162,1.050,7676.720,Muscle_legs
11000,7791,1.806,1.036,1.871,Oesophagus_wall(0-190)
11001,7871,0.097,1.036,0.101,Oesophagus_wall(190-200)
11002,7566,39.813,1.036,41.247,Oesophagus_wall(200-surface)
11003,4002,20.423,1.040,21.240,Oesophagus_contents
11100,1559,6.012,1.051,6.318,Ovary_left
11200,1492,6.012,1.051,6.318,Ovary_right
11300,3529,138.592,1.043,144.552,Pancreas
11400,3015,0.597,1.031,0.615,Pituitary_gland
11600,476618,892.752,0.946,844.543,RST_head
11700,1432427,12170.574,0.946,11513.363,RST_trunk
11800,327227,2295.547,0.946,2171.588,RST_arms
11900,384403,8240.959,0.946,7795.948,RST_legs
12000,7112,34.801,1.031,35.880,Salivary_gland_left
12100,6678,34.801,1.031,35.880,Salivary_gland_right
12200,74832,142.998,1.088,155.582,Skin_head_insensitive
12201,37392,5.813,1.088,6.324,Skin_head_sensitive(50-100)
12300,111905,801.106,1.088,871.603,Skin_trunk_insensitive
12301,55997,29.750,1.088,32.368,Skin_trunk_sensitive(50-100)
12400,144444,350.097,1.088,380.905,Skin_arms_insensitive
12401,72827,14.337,1.088,15.598,Skin_arms_sensitive(50-100)
12500,192618,849.802,1.088,924.584,Skin_legs_insensitive
12501,96878,32.192,1.088,35.025,Skin_legs_sensitive(50-100)
12600,2627,18.524,1.031,19.098,Spinal_cord
12700,2528,176.792,1.060,187.400,Spleen
12800,2853,15.079,2.690,40.562,Teeth
12801,4942,0.035,1.040,0.036,Teeth_retention_region
13100,9064,19.886,1.031,20.503,Thymus
13200,8687,18.511,1.051,19.455,Thyroid
13300,3126,19.995,1.050,20.995,Tongue_upper(food)
13301,13073,38.491,1.050,40.415,Tongue_lower
13400,2786,2.983,1.031,3.075,Tonsils
13500,4444,7.457,1.031,7.689,Ureter_left
13600,4260,7.457,1.031,7.689,Ureter_right
13700,16461,37.941,1.040,39.459,Urinary_bladder_wall_insensitive
13701,8209,1.294,1.040,1.345,Urinary_bladder_wall_sensitive(69-116)
