Starting Datetime,Termination Datetime,Phantom,Source Organ,Source Type,Source Energy (MeV),Parallel Mode,maxcas (nps if Geant4),maxbch (1 if Geant4),Setup Time (s),Execution Time (s),Individual Wall Time (s)
2026-08-22T12:06:48,2026-08-22T12:07:50,ICRP 145 Adult Female,Brain,e-,0.01,MT-32,1000,1,8.77029,53.0703,61.8406
2026-08-22T12:07:53,2026-08-22T12:08:55,ICRP 145 Adult Female,Brain,e-,1.0,MT-32,1000,1,7.84448,53.6213,61.4658
2026-08-22T12:27:48,2026-08-22T12:28:51,ICRP 145 Adult Female,Brain,e-,10.0,MT-32,1000,1,8.90333,53.9385,62.8419
2026-08-22T12:09:59,2026-08-22T12:10:59,ICRP 145 Adult Female,Liver,e-,0.01,MT-32,1000,1,7.69256,52.2956,59.9882
,,ICRP 145 Adult Female,Liver,e-,1.0,MT-32,1000,1,,,
2026-08-22T12:12:04,2026-08-22T12:13:04,ICRP 145 Adult Female,Liver,e-,10.0,MT-32,1000,1,7.68073,52.9842,60.6649
2026-08-22T12:13:08,2026-08-22T12:14:10,ICRP 145 Adult Male,Brain,e-,0.01,MT-32,1000,1,7.22457,54.9086,62.1332
2026-08-22T12:14:13,2026-08-22T12:15:17,ICRP 145 Adult Male,Brain,e-,1.0,MT-32,1000,1,7.3224,55.9088,63.2312
2026-08-22T12:15:20,2026-08-22T12:16:23,ICRP 145 Adult Male,Brain,e-,10.0,MT-32,1000,1,7.29037,55.3728,62.6632
2026-08-22T12:16:26,2026-08-22T12:17:28,ICRP 145 Adult Male,Liver,e-,0.01,MT-32,1000,1,7.22034,54.4479,61.6683
2026-08-22T12:17:32,2026-08-22T12:18:34,ICRP 145 Adult Male,Liver,e-,1.0,MT-32,1000,1,7.2896,55.2346,62.5242
2026-08-22T12:29:54,2026-08-22T12:30:57,ICRP 145 Adult Male,Liver,e-,10.0,MT-32,1000,1,7.73914,55.0451,62.7843
