Category,Source Type,Source Energy (MeV),Phantom,Source Organ,Count,Average (s),Average (dhms),StdDev (s),Minimum (s),Maximum (s),Overall Wall Time (s),Overall Wall Time (dhms)
Type + Energy,gamma,0.01,,,3,63.58,0d 00h 01m 04s,2.23,61.58,65.99,,
Type + Energy,gamma,1.0,,,2,62.63,0d 00h 01m 03s,2.85,60.62,64.64,,
Type + Energy,gamma,10.0,,,4,62.38,0d 00h 01m 02s,2.47,60.1,65.3,,
Phantom + Type + Energy,gamma,0.01,ICRP 145 Adult Female,,2,62.37,0d 00h 01m 02s,1.12,61.58,63.16,,
Phantom + Type + Energy,gamma,1.0,ICRP 145 Adult Female,,1,60.62,0d 00h 01m 01s,,60.62,60.62,,
Phantom + Type + Energy,gamma,10.0,ICRP 145 Adult Female,,2,60.35,0d 00h 01m 00s,0.34,60.1,60.59,,
Phantom + Type + Energy,gamma,0.01,ICRP 145 Adult Male,,1,65.99,0d 00h 01m 06s,,65.99,65.99,,
Phantom + Type + Energy,gamma,1.0,ICRP 145 Adult Male,,1,64.64,0d 00h 01m 05s,,64.64,64.64,,
Phantom + Type + Energy,gamma,10.0,ICRP 145 Adult Male,,2,64.42,0d 00h 01m 04s,1.25,63.54,65.3,,
Source Organ + Type + Energy,gamma,0.01,,Brain,1,61.58,0d 00h 01m 02s,,61.58,61.58,,
Source Organ + Type + Energy,gamma,1.0,,Brain,1,60.62,0d 00h 01m 01s,,60.62,60.62,,
Source Organ + Type + Energy,gamma,10.0,,Brain,2,62.7,0d 00h 01m 03s,3.68,60.1,65.3,,
Source Organ + Type + Energy,gamma,0.01,,Liver,2,64.58,0d 00h 01m 05s,2.0,63.16,65.99,,
Source Organ + Type + Energy,gamma,1.0,,Liver,1,64.64,0d 00h 01m 05s,,64.64,64.64,,
Source Organ + Type + Energy,gamma,10.0,,Liver,2,62.06,0d 00h 01m 02s,2.09,60.59,63.54,,
All simulations,,,,,9,62.84,0d 00h 01m 03s,2.21,60.1,65.99,780.0,0d 00h 13m 00s
