Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
Adult Male,6100,Brain,electron,10.0,1000,100,Adrenal_left,8.6827395219656,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,200,Adrenal_right,8.682743131804001,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,300,ET1_0~8 um,0.022309011006,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,301,ET1_8~40 um,0.08953171142029999,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,302,ET1_40~50 um,0.0280764945985,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,303,ET1_50 um~surface,11.2912058306315,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,400,ET2_-15~0 um,0.1412003875,6.073533247e-14,0.03790801287519201,0.5974876406,59.748764060000006
Adult Male,6100,Brain,electron,10.0,1000,401,ET2_0~40 um,0.38983244306199993,5.261200791e-14,0.03283783247958869,0.5850630134,58.50630134
Adult Male,6100,Brain,electron,10.0,1000,402,ET2_40~50 um,0.09782525440189999,4.137687876e-14,0.02582541642534189,0.5805927794,58.05927794
Adult Male,6100,Brain,electron,10.0,1000,403,ET2_50~55 um,0.0489742500194,5.828454771000001e-14,0.0363783533432829,0.6247249032,62.47249032
Adult Male,6100,Brain,electron,10.0,1000,404,ET2_55~65 um,0.09805441229749999,4.1516474210000005e-14,0.02591254505213474,0.5915338723,59.15338723
Adult Male,6100,Brain,electron,10.0,1000,405,ET2_65 um~surface,28.8084848041248,5.626049469e-14,0.03511503881413085,0.4114572132,41.14572132
Adult Male,6100,Brain,electron,10.0,1000,500,Oral mucosa_tongue,0.08596550424,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,501,Oral mucosa_mouth floor,0.023515567425,1.1933268090000001e-14,0.00744816010717127,0.9994998749,99.94998749
Adult Male,6100,Brain,electron,10.0,1000,600,Oral mucosa_lips_and cheeks,0.02307768477,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,700,Trachea,10.363608784414097,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,800,BB1_-11~-6 um,0.0251639823,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,801,BB1_-6~0 um,0.031163358601999997,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,802,BB1_0~10 um,0.052011207849299995,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,803,BB1_10~35 um,0.13041112597489998,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,804,BB1_35~40 um,0.026156756824199996,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,805,BB1_40~50 um,0.0523710067448,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,806,BB1_50~60 um,0.05246035062729999,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,807,BB1_60~70 um,0.0525500910324,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,808,BB1_70 um~surface,2.7766745083531,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,900,Blood in large arteries_head,1.50465238386,1.9340651e-15,0.0012071484872248615,0.9994998749,99.94998749
Adult Male,6100,Brain,electron,10.0,1000,910,Blood in large veins_head,6.9444700345,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,1000,Blood in large arteries_trunk,193.18284020919003,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,1010,Blood in large veins_trunk,444.02205465595,1.9232786789999998e-17,1.2004161327696155e-05,0.9994998749,99.94998749
Adult Male,6100,Brain,electron,10.0,1000,1100,Blood in large arteries_arms,32.465638925742,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,1110,Blood in large veins_arms,167.307070400928,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,1200,Blood in large arteries_legs,108.84645360805001,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,1210,Blood in large veins_legs,389.724782683546,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,1300,Humeri_upper_cortical,159.3350570061488,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,1400,Humeri_upper_spongiosa,145.68865566282543,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,1500,Humeri_upper_medullary cavity,34.2439825379625,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,1600,Humeri_lower_cortical,106.581519229584,4.720250456e-17,2.9461486054853387e-05,0.9994998749,99.94998749
Adult Male,6100,Brain,electron,10.0,1000,1700,Humeri_lower_spongiosa,50.889789317883505,7.270292658e-18,4.537759759889529e-06,0.9994998749,99.94998749
Adult Male,6100,Brain,electron,10.0,1000,1800,Humeri_lower_medullary cavity,37.396955221245,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,1900,Ulnae and radii_cortical,273.4979437885408,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,2000,Ulnae and radii_spongiosa,154.98098548207722,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,2100,Ulnae and radii_medullary cavity,22.9963457601513,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,2200,Wrists and hand bones_cortical,181.5289884774912,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,2300,Wrists and hand bones_spongiosa,118.9268865564322,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,2400,Clavicles_cortical,48.2518122680944,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,2500,Clavicles_spongiosa,45.0570133567736,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,2600,Cranium_cortical,568.4694168021568,2.168177413e-13,0.13532698998281203,0.04639025948,4.6390259480000005
Adult Male,6100,Brain,electron,10.0,1000,2700,Cranium_spongiosa,382.072926331038,2.412483858e-13,0.15057539891698046,0.0543344741,5.43344741
Adult Male,6100,Brain,electron,10.0,1000,2800,Femora_upper_cortical,253.54758457984477,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,2900,Femora_upper_spongiosa,413.23229223795,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,3000,Femora_upper_medullary cavity,26.0453504720556,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,3100,Femora_lower_cortical,307.76097346363036,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,3200,Femora_lower_spongiosa,373.65195452952497,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,3300,Femora_lower_medullary cavity,82.1788824563496,0.0,0.0,0.0,0.0
Adult Male,6100,Brain,electron,10.0,1000,3400,Tibiae_fibulae_and patellae_cortical,536.6511904030032,0.0,0.0,0.0,0.0
