Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,100,Adrenal_left,7.6828724,1.464468127e-15,0.0009140491103929627,0.7255415065,72.55415065000001
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,200,Adrenal_right,7.68288276,2.516002107e-13,0.15703649982203877,0.1422368998,14.223689980000001
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,300,ET1_0~8 um,0.020909401699999997,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,301,ET1_8~40 um,0.08390793499999999,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,302,ET1_40~50 um,0.026311429299999998,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,303,ET1_50 um~surface,10.590122699999998,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,400,ET2_-15~0 um,0.130263,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,401,ET2_0~40 um,0.35961692399999995,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,402,ET2_40~50 um,0.09023796569999999,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,403,ET2_50~55 um,0.04517769829999999,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,404,ET2_55~65 um,0.0904594245,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,405,ET2_65 um~surface,26.657226699999995,1.020970767e-17,6.372398306990062e-06,0.9999499987,99.99499987
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,500,Oral mucosa_tongue,0.079282665,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,501,Oral mucosa_mouth floor,0.021848295,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,600,Oral mucosa_lips_and cheeks,0.021373275,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,700,Trachea,9.17017795,3.814287148e-18,2.3806907846842548e-06,0.9999499987,99.99499987
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,800,BB1_-11~-6 um,0.0222672,2.058497782e-15,0.0012848132586111153,0.9999499987,99.99499987
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,801,BB1_-6~0 um,0.0275724454,2.051582324e-15,0.0012804969692250098,0.9999499987,99.99499987
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,802,BB1_0~10 um,0.0460257989,1.6649654430000001e-15,0.0010391896921148733,0.9999499987,99.99499987
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,803,BB1_10~35 um,0.11539158199999998,1.680074609e-15,0.0010486200917845271,0.9999499987,99.99499987
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,804,BB1_35~40 um,0.0231440942,1.169396604e-15,0.0007298799515510053,0.9999499987,99.99499987
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,805,BB1_40~50 um,0.0463411818,3.068444958e-15,0.0019151727049841567,0.9999499987,99.99499987
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,806,BB1_50~60 um,0.04641840369999999,9.020811761e-15,0.0056303478465287386,0.9999499987,99.99499987
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,807,BB1_60~70 um,0.04650026509999999,1.6749812090000001e-15,0.0010454410415525412,0.9999499987,99.99499987
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,808,BB1_70 um~surface,2.4569245499999997,1.832584548e-15,0.0011438093086059288,0.8936422083,89.36422083
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,900,Blood in large arteries_head,296.00288,7.609291838000001e-15,0.004749346405710018,0.1386374777,13.863747770000002
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,910,Blood in large veins_head,888.51532,5.123407968e-15,0.003197779732443857,0.09270744199,9.270744199
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,1300,Humeri_upper_cortical,235.29441599999998,3.017002263e-16,0.0001883064700218433,0.329729354,32.9729354
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,1400,Humeri_upper_spongiosa,128.911383,6.808260113e-17,4.24938172765814e-05,0.4614343167,46.14343167
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,1500,Humeri_upper_medullary cavity,63.391042799999994,1.240556078e-16,7.742942018214936e-05,0.7331048909,73.31048909
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,1700,Humeri_lower_spongiosa,45.0295033,1.9649730579999997e-16,0.00012264397172578677,0.6267362015,62.67362015
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,1900,Ulnae and radii_cortical,241.84227199999998,6.241731052e-17,3.895782100140395e-05,0.3126603826,31.266038260000002
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,2000,Ulnae and radii_spongiosa,137.134504,2.01705958e-16,0.00012589495672298798,0.6778272093,67.78272093
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,2100,Ulnae and radii_medullary cavity,20.3481963,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,2200,Wrists and hand bones_cortical,160.6248672,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,2300,Wrists and hand bones_spongiosa,105.23179010000001,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,2400,Clavicles_cortical,42.695296,1.2275248549999998e-16,7.661607521609107e-05,0.5192738667,51.92738667
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,2500,Clavicles_spongiosa,39.8684845,1.688129705e-16,0.00010536476872624926,0.768231862,76.82318620000001
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,2600,Cranium_cortical,541.370032,7.712255265e-18,4.8136111221058294e-06,0.5528759129,55.28759129
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,2700,Cranium_spongiosa,363.80387,1.511979456e-18,9.437033495022836e-07,0.9999499987,99.99499987
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,2800,Femora_upper_cortical,487.39544,1.008060045e-17,6.2918159184692164e-06,0.6077526727,60.77526727
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,2900,Femora_upper_spongiosa,360.851625,6.539459486e-19,4.081609572394006e-07,0.9999499987,99.99499987
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,3000,Femora_upper_medullary cavity,93.4933221,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,3200,Femora_lower_spongiosa,327.35683800000004,2.431228338e-18,1.5174533733714104e-06,0.9999499987,99.99499987
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,3400,Tibiae_fibulae_and patellae_cortical,480.06313599999993,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,3500,Tibiae_fibulae_and patellae_spongiosa,554.272655,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,3600,Tibiae_fibulae_and patellae_medullary cavity,71.680689,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,3700,Ankles and foot_cortical,215.77270399999998,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,3800,Ankles and foot_spongiosa,397.29814100000004,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,3900,Mandible_cortical,70.80024,0.0,0.0,0.0,0.0
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,4000,Mandible_spongiosa,51.724107599999996,5.965340539e-17,3.723272710641947e-05,0.8303680742,83.03680742
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,4100,Pelvis_cortical,356.232688,3.108228326e-17,1.9400035302226193e-05,0.2564638099,25.64638099
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,4200,Pelvis_spongiosa,548.312488,5.76448228e-17,3.597906846019051e-05,0.5788836901,57.88836901
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,4300,Ribs_cortical,326.328464,4.0203788340000004e-14,0.025093230975182547,0.03612909986,3.612909986
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,4400,Ribs_spongiosa,404.68428,4.30870989e-14,0.02689285187765551,0.04141110323,4.141110323
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,4500,Scapulae_cortical,197.61425599999998,1.457791657e-16,9.098819855839258e-05,0.3328819966,33.288199660000004
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,4600,Scapulae_spongiosa,138.629028,2.724825046e-16,0.00017007020250928024,0.4573312742,45.73312742
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,4700,Cervical spine_cortical,94.2599952,6.388609212e-17,3.9874562369884105e-05,0.6891014304,68.91014304000001
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,4800,Cervical spine_spongiosa,71.6494274,1.6169342579999999e-16,0.00010092109844114108,0.9216521041,92.16521041
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,4900,Thoracic spine_cortical,256.108944,1.40934857e-14,0.008796461888733847,0.08296561605,8.296561604999999
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,5000,Thoracic spine_spongiosa,305.46788,2.502996634e-14,0.015622476204456719,0.08988074838,8.988074838
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,5100,Lumbar spine_cortical,166.39265439999997,4.7760556e-16,0.00029809794367531,0.3072623493,30.72623493
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,5200,Lumbar spine_spongiosa,258.006664,4.3311856679999997e-16,0.00027033134649998085,0.2956935503,29.56935503
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,5300,Sacrum_cortical,97.6163664,8.108619145e-17,5.0610019974866926e-05,0.3340897283,33.40897283
