Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
Adult Female,9500,Liver,photon,10.0,100,Adrenal_left,6.816533157607499,5.440627951e-15,0.003395772872693348,0.9738026339,97.38026339
Adult Female,9500,Liver,photon,10.0,200,Adrenal_right,8.6485539778965,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,300,ET1_0~8 um,0.008564642369599999,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,301,ET1_8~40 um,0.0345508806604,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,302,ET1_40~50 um,0.0108931829849,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,303,ET1_50 um~surface,4.3745788372289995,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,400,ET2_-15~0 um,0.1041581236,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,401,ET2_0~40 um,0.2878573922153,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,402,ET2_40~50 um,0.0723068189581,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,403,ET2_50~55 um,0.036231674080899993,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,404,ET2_55~65 um,0.0724804463689,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,405,ET2_65 um~surface,14.1803310228681,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,500,Oral mucosa_tongue,0.06614430711,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,501,Oral mucosa_mouth floor,0.016117579485000002,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,600,Oral mucosa_lips_and cheeks,0.01882475847,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,700,Trachea,8.2011228190332,2.505434545e-16,0.00015637692448085944,0.9994998749,99.94998749
Adult Female,9500,Liver,photon,10.0,800,BB1_-11~-6 um,0.0102339567,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,801,BB1_-6~0 um,0.0126340007099,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,802,BB1_0~10 um,0.021103041026999995,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,803,BB1_10~35 um,0.0530281593402,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,804,BB1_35~40 um,0.0106508082879,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,805,BB1_40~50 um,0.0213479049704,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,806,BB1_50~60 um,0.021410071177399997,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,807,BB1_60~70 um,0.021469763396799995,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,808,BB1_70 um~surface,1.1790086138983997,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,900,Blood in large arteries_head,1.9091482903680002,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,910,Blood in large veins_head,3.007187520752,0.0,0.0,0.0,0.0
Adult Female,9500,Liver,photon,10.0,1000,Blood in large arteries_trunk,117.869628099162,3.955953203e-15,0.002469111781466816,0.5484224246,54.84224246
Adult Female,9500,Liver,photon,10.0,1010,Blood in large veins_trunk,239.82989774452201,6.8883995400000005e-15,0.0042994008237424025,0.4863915557,48.63915557
Adult Female,9500,Liver,photon,10.0,1100,Blood in large arteries_arms,46.31410216207,1.1349742250000001e-14,0.007083951924617013,0.7603398708,76.03398708
Adult Female,9500,Liver,photon,10.0,1110,Blood in large veins_arms,139.490855302932,1.420887177e-15,0.0008868480209030989,0.8927348722,89.27348722
Adult Female,9500,Liver,photon,10.0,1200,Blood in large arteries_legs,79.907024651942,2.8499867629999996e-16,0.0001778821824335866,0.9994998749,99.94998749
Adult Female,9500,Liver,photon,10.0,1210,Blood in large veins_legs,355.63285595694,8.692692984999999e-16,0.0005425552214738229,0.9994998749,99.94998749
Adult Female,9500,Liver,photon,10.0,1300,Humeri_upper_cortical,113.67742485534399,1.3572241320000001e-14,0.00847112673595566,0.7149244535,71.49244535
