Phantom,Source Organ,Source Type,Source Energy (MeV),Number of Particles,Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Uncertainty (kg^-1)
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,1400,0.0269,0.00941,9.616410002899061e-05,0.0,0.0,1.8240384006428643e-15,0.22604267105444475,22.604267105444475,1.824941094847825e-15,0.009537143835063672,0.9537143835063673,0.022987523500256363,0.017314344594097305,1.1702000000000001,0.5434799999999999,4.7310289442901325e-15,0.01594813325877019,1.594813325877019,0.002952876008732522,4.709286008389171e-05,7.65407366768867e-15,0.004777297025347299,4.556176887355901e-05
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,1500,,0.00019,4.7756057316932e-05,,0.0,,,,8.294285678317201e-16,,,,0.00034959888128358003,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,1700,,0.01125,1.780089182345e-05,,0.0,,,,2.42653091869658e-16,,,,0.020699933760211973,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,2000,,0.016309999999999998,2.082098835466266e-05,,0.0,,,,2.7394555128163486e-16,,,,0.03001030396702731,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,2100,,8.999999999999999e-05,9.04169052857e-06,,0.0,,,,2.0004986621322e-16,,,,0.00016559947008169576,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,2300,,0.0125,4.221037384658e-06,,0.0,,,,9.746098780122682e-17,,,,0.022999926400235526,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,2500,0.009300000000000001,0.0025,0.00018705405824907438,0.0,0.0,3.1057755827043727e-15,0.15876208012617124,15.876208012617123,3.1086544351933235e-15,,,0.00794735942573919,0.004599985280047105,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,2700,0.0889,0.0834,0.002224649575464759,0.0,0.0,4.5910317351987896e-14,0.009412609784113991,0.9412609784113991,4.5921886889346105e-14,,,0.07596991967185096,0.15345550894237142,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,2900,0.07840000000000001,0.043340000000000004,5.75396413457e-06,0.0,0.0,1.1260384696444107e-16,0.5115078323566937,51.15078323566937,1.1260384696444107e-16,,,0.06699709451375833,0.07974534481489662,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,3000,,0.00086,1.2787914922580002e-05,,0.0,,,,1.8330709290083723e-16,,,,0.001582394936336204,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,3200,,0.04783,2.8594347063799997e-06,,0.0,,,,6.119144535800982e-17,,,,0.0880069183778612,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,3500,,0.08738,1.0554709332099999e-07,,0.0,,,,2.2489547276408045e-18,,,,0.16077868550820643,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,3600,,0.005019999999999999,0.0,,0.0,,,,0.0,,,,0.009236770442334586,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,3800,,0.0422,8.699879971659999e-07,,0.0,,,,1.4641087749439122e-17,,,,0.07764775152719514,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,4000,0.0094,0.002,0.0005848210041122631,0.0,0.0,9.660033439850647e-15,0.09441018470804553,9.441018470804554,9.668424639991011e-15,,,0.00803281490343531,0.003679988224037684,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,4200,0.2052,0.0517,9.499011064653502e-06,0.0,0.0,1.0060800309594167e-16,0.4045640500443723,40.45640500443723,1.0094526721419739e-16,,,0.17535464023243888,0.09512769559137414,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,4400,0.18880000000000002,0.0298,7.63909186723694e-05,0.0,0.0,1.0401858102982616e-15,0.1098914265157318,10.98914265157318,1.0416503344131605e-15,,,0.16133994189027517,0.054831824538161496,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,4600,0.032799999999999996,0.009800000000000001,0.0001467589005112339,0.0,0.0,2.5301833638594773e-15,0.12062586399828186,12.062586399828186,2.5328136630497047e-15,,,0.028029396684327457,0.018031942297784653,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,4800,0.0456,0.0115,0.0007800193297729699,0.0,0.0,1.3265091979322616e-14,0.07695323536183682,7.695323536183682,1.3276808046390747e-14,,,0.03896769782943087,0.021159932288216683,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,5000,0.18880000000000002,0.0269,0.0001058097429490531,0.0,0.0,1.5411137735537614e-15,0.17915953894913605,17.915953894913606,1.5437147054114057e-15,,,0.16133994189027517,0.04949584161330685,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,5200,0.1439,0.023399999999999997,2.4152960190189998e-05,0.0,0.0,1.7543932166202883e-16,0.5823505182446721,58.23505182446721,1.757665260075068e-16,,,0.12297043240471713,0.0430558622212409,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,5400,0.1159,0.0206,1.3795352318520401e-05,0.0,0.0,1.2580464840269824e-16,0.5438526232785947,54.38526232785947,1.2581371362459955e-16,,,0.09904289864980344,0.03790387870758815,,,,,,,,,,
ICRP 145 Adult Male Resized to Filipino,Brain,photon,10.0,10000,5600,0.0363,0.0055,9.4707672005945e-05,0.0,0.0,1.1443869638635841e-15,0.40494055768108533,40.49405576810853,1.1460111022869354e-15,,,0.031020338403691672,0.01011996761610363,,,,,,,,,,
