Phantom,Source Organ,Source Type,Source Energy (MeV),Number of Particles,Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Uncertainty (kg^-1)
ICRP 145 Adult Female,Brain,photon,0.01,1000,1400,0.0207,0.0071600000000000006,0.0,0.0,0.0,0.0,,,0.0,,,0.02302302302302302,0.017570120978626293,0.8991,0.40751000000000004,0.0,,,0.0,,0.0,0.0,
ICRP 145 Adult Female,Brain,photon,0.01,1000,1500,,0.00014000000000000001,0.0,,0.0,,,,0.0,,,,0.0003435498515373856,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,1700,,0.008320000000000001,0.0,,0.0,,,,0.0,,,,0.02041667689136463,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,1800,,0.00019,0.0,,0.0,,,,0.0,,,,0.0004662462270864518,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,2000,,0.012029999999999999,0.0,,0.0,,,,0.0,,,,0.029520747957105343,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,2100,,7.000000000000001e-05,0.0,,0.0,,,,0.0,,,,0.0001717749257686928,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,2300,,0.0070999999999999995,0.0,,0.0,,,,0.0,,,,0.01742288532796741,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,2500,0.0072,0.0019,0.0,0.0,0.0,0.0,,,0.0,,,0.008008008008008008,0.004662462270864518,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,2700,0.0684,0.06420000000000001,0.0,0.0,0.0,0.0,,,0.0,,,0.07607607607607608,0.1575421462050011,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,2900,0.0603,0.033530000000000004,0.0,0.0,0.0,0.0,,,0.0,,,0.06706706706706707,0.08228018944320385,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,3000,,0.00067,0.0,,0.0,,,,0.0,,,,0.001644131432357488,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,3200,,0.02367,0.0,,0.0,,,,0.0,,,,0.05808446418492797,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,3300,,0.00033,0.0,,0.0,,,,0.0,,,,0.0008097960786238374,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,3500,,0.07991,0.0,,0.0,,,,0.0,,,,0.1960933474025177,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,3600,,0.0045899999999999995,0.0,,0.0,,,,0.0,,,,0.011263527275404282,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,3800,,0.024399999999999998,0.0,,0.0,,,,0.0,,,,0.05987583126794434,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,4000,0.0072,0.0016,0.0,0.0,0.0,0.0,,,0.0,,,0.008008008008008008,0.003926284017570121,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,4200,0.1575,0.039700000000000006,0.0,0.0,0.0,0.0,,,0.0,,,0.17517517517517517,0.09742092218595863,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,4400,0.1449,0.0229,0.0,0.0,0.0,0.0,,,0.0,,,0.16116116116116116,0.05619494000147235,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,4600,0.0252,0.0076,0.0,0.0,0.0,0.0,,,0.0,,,0.028028028028028028,0.018649849083458073,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,4800,0.0351,0.0088,0.0,0.0,0.0,0.0,,,0.0,,,0.03903903903903904,0.021594562096635666,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,5000,0.1449,0.0206,0.0,0.0,0.0,0.0,,,0.0,,,0.16116116116116116,0.0505509067262153,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,5200,0.1107,0.018,0.0,0.0,0.0,0.0,,,0.0,,,0.12312312312312312,0.04417069519766385,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,5400,0.0891,0.0158,0.0,0.0,0.0,0.0,,,0.0,,,0.0990990990990991,0.038772054673504946,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,0.01,1000,5600,0.027899999999999998,0.0043,0.0,0.0,0.0,0.0,,,0.0,,,0.03103103103103103,0.010551888297219699,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,1400,0.0207,0.0071600000000000006,8.19922263314e-05,0.0,0.0,7.563145880257114e-17,0.6494929815795677,64.94929815795678,7.959028805693497e-17,0.03440483869553391,3.440483869553391,0.02302302302302302,0.017570120978626293,0.8991,0.40751000000000004,8.997490105654615e-16,0.052176981192019495,5.217698119201949,0.005615791614181771,0.00029301505343146307,1.4949231198829678e-15,0.00933057621837132,0.00032101696972945004
ICRP 145 Adult Female,Brain,photon,1.0,1000,1500,,0.00014000000000000001,0.0,,0.0,,,,0.0,,,,0.0003435498515373856,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,1700,,0.008320000000000001,0.0,,0.0,,,,0.0,,,,0.02041667689136463,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,1800,,0.00019,0.0,,0.0,,,,0.0,,,,0.0004662462270864518,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,2000,,0.012029999999999999,0.0,,0.0,,,,0.0,,,,0.029520747957105343,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,2100,,7.000000000000001e-05,0.0,,0.0,,,,0.0,,,,0.0001717749257686928,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,2300,,0.0070999999999999995,0.0,,0.0,,,,0.0,,,,0.01742288532796741,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,2500,0.0072,0.0019,0.00020489179999328,0.0,0.0,4.747679968921517e-16,0.5083419499796218,50.83419499796218,4.865519552316997e-16,,,0.008008008008008008,0.004662462270864518,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,2700,0.0684,0.06420000000000001,0.0024746651440662446,0.0,0.0,8.774141126335324e-15,0.03521180274665172,3.521180274665172,8.794041253265925e-15,,,0.07607607607607608,0.1575421462050011,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,2900,0.0603,0.033530000000000004,0.0,0.0,0.0,0.0,,,0.0,,,0.06706706706706707,0.08228018944320385,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,3000,,0.00067,0.0,,0.0,,,,0.0,,,,0.001644131432357488,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,3200,,0.02367,0.0,,0.0,,,,0.0,,,,0.05808446418492797,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,3300,,0.00033,0.0,,0.0,,,,0.0,,,,0.0008097960786238374,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,3500,,0.07991,0.0,,0.0,,,,0.0,,,,0.1960933474025177,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,3600,,0.0045899999999999995,0.0,,0.0,,,,0.0,,,,0.011263527275404282,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,3800,,0.024399999999999998,0.0,,0.0,,,,0.0,,,,0.05987583126794434,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,4000,0.0072,0.0016,0.00082808440456587,0.0,0.0,1.9899033614089084e-15,0.29146803152601297,29.146803152601297,2.0000677611058455e-15,,,0.008008008008008008,0.003926284017570121,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,4200,0.1575,0.039700000000000006,3.479315807669e-06,0.0,0.0,1.1641530589415153e-18,0.6393737326673703,63.937373266737026,1.5242934062190706e-18,,,0.17517517517517517,0.09742092218595863,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,4400,0.1449,0.0229,8.121008307805999e-05,0.0,0.0,1.8636632711301006e-16,0.3796645963832019,37.96645963832019,1.903210468813577e-16,,,0.16116116116116116,0.05619494000147235,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,4600,0.0252,0.0076,0.000172400470443311,0.0,0.0,3.533030331339521e-16,0.40303847962081757,40.303847962081754,3.6031103828271533e-16,,,0.028028028028028028,0.018649849083458073,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,4800,0.0351,0.0088,0.00092605679804693,0.0,0.0,2.8118062859643877e-15,0.19749336176356913,19.749336176356913,2.8297066757395218e-15,,,0.03903903903903904,0.021594562096635666,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,5000,0.1449,0.0206,0.00013197380058853502,0.0,0.0,3.681930728141022e-16,0.5351143474131329,53.51143474131329,3.6895951287422425e-16,,,0.16116116116116116,0.0505509067262153,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,5200,0.1107,0.018,0.0,0.0,0.0,0.0,,,0.0,,,0.12312312312312312,0.04417069519766385,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,5400,0.0891,0.0158,0.0,0.0,0.0,0.0,,,0.0,,,0.0990990990990991,0.038772054673504946,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,1.0,1000,5600,0.027899999999999998,0.0043,0.00012352456235547,0.0,0.0,4.893294453555164e-17,0.5610229576326267,56.10229576326267,6.163569864260756e-17,,,0.03103103103103103,0.010551888297219699,,,,,,,,,,
ICRP 145 Adult Female,Brain,photon,10.0,1000,1400,0.0207,0.0071600000000000006,0.0001346683954431,0.0,0.0,2.7307041689714824e-15,0.5865875892498779,58.65875892498779,2.7307041689714824e-15,0.03229569492297256,3.229569492297256,0.02302302302302302,0.017570120978626293,0.8991,0.40751000000000004,5.346365817895232e-15,0.05730537402290746,5.730537402290746,0.0033369390767782003,0.00019122454188643027,8.741355833789099e-15,0.005455925175968859,0.00017620289500565564
