Phantom,Source Organ,Source Type,Source Energy (MeV),Number of Particles,Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Uncertainty (kg^-1)
Adult Female,Brain,photon,10.0,1000,1400,0.0207,0.0071600000000000006,8.885116161010001e-05,0.0,0.0,2.2301745522726626e-15,0.603682766473,60.3682766473,2.2301745522726626e-15,0.027297120900226443,2.729712090022644,0.02302302302302302,0.017570120978626293,0.8991,0.40751000000000004,4.7493665578364e-15,0.03931937046809362,3.9319370468093617,0.002964321446867821,0.00011655525315591115,8.110320909134768e-15,0.0050620641551156675,0.000138179777246895
Adult Female,Brain,photon,10.0,1000,1500,,0.00014000000000000001,0.0,,0.0,,,,0.0,,,,0.0003435498515373856,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,1700,,0.008320000000000001,0.0,,0.0,,,,0.0,,,,0.02041667689136463,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,1800,,0.00019,0.0,,0.0,,,,0.0,,,,0.0004662462270864518,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,2000,,0.012029999999999999,0.0,,0.0,,,,0.0,,,,0.029520747957105343,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,2100,,7.000000000000001e-05,0.0,,0.0,,,,0.0,,,,0.0001717749257686928,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,2300,,0.0070999999999999995,0.0,,0.0,,,,0.0,,,,0.01742288532796741,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,2500,0.0072,0.0019,0.00026625446118970004,0.0,0.0,5.325439008637243e-15,0.4213218060715707,42.132180607157075,5.325439008637243e-15,,,0.008008008008008008,0.004662462270864518,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,2700,0.0684,0.06420000000000001,0.002188353895587479,0.0,0.0,4.788822882605385e-14,0.027189958217069144,2.7189958217069146,4.789789094869143e-14,,,0.07607607607607608,0.1575421462050011,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,2900,0.0603,0.033530000000000004,1.579546139654e-05,0.0,0.0,3.2218906231950304e-17,0.8139182214802111,81.3918221480211,3.2218906231950304e-17,,,0.06706706706706707,0.08228018944320385,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,3000,,0.00067,0.0,,0.0,,,,0.0,,,,0.001644131432357488,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,3200,,0.02367,0.0,,0.0,,,,0.0,,,,0.05808446418492797,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,3300,,0.00033,0.0,,0.0,,,,0.0,,,,0.0008097960786238374,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,3500,,0.07991,0.0,,0.0,,,,0.0,,,,0.1960933474025177,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,3600,,0.0045899999999999995,0.0,,0.0,,,,0.0,,,,0.011263527275404282,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,3800,,0.024399999999999998,0.0,,0.0,,,,0.0,,,,0.05987583126794434,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,4000,0.0072,0.0016,0.000696847319126377,0.0,0.0,1.0668242504637484e-14,0.25473620555924376,25.473620555924377,1.0680300602709027e-14,,,0.008008008008008008,0.003926284017570121,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,4200,0.1575,0.039700000000000006,0.0,0.0,0.0,0.0,,,0.0,,,0.17517517517517517,0.09742092218595863,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,4400,0.1449,0.0229,8.7918483164835e-05,0.0,0.0,1.3539885663732767e-15,0.31045092931980883,31.045092931980882,1.3539885663732767e-15,,,0.16116116116116116,0.05619494000147235,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,4600,0.0252,0.0076,0.000189042063475851,0.0,0.0,2.9537288389043426e-15,0.34186399738761425,34.18639973876142,2.9544596084738937e-15,,,0.028028028028028028,0.018649849083458073,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,4800,0.0351,0.0088,0.0008636714758212701,0.0,0.0,1.3657189408253916e-14,0.241999440302069,24.1999440302069,1.366603847845144e-14,,,0.03903903903903904,0.021594562096635666,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,5000,0.1449,0.0206,5.976801484319101e-05,0.0,0.0,4.176679418795267e-16,0.41952040039558236,41.952040039558234,4.1780047447349828e-16,,,0.16116116116116116,0.0505509067262153,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,5200,0.1107,0.018,9.54252048546e-06,0.0,0.0,1.7489485447759307e-16,0.999499874937,99.9499874937,1.7489485447759307e-16,,,0.12312312312312312,0.04417069519766385,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,5400,0.0891,0.0158,1.683729914875e-05,0.0,0.0,1.642532961405197e-17,0.7833957145778999,78.33957145778999,1.6515380700713577e-17,,,0.0990990990990991,0.038772054673504946,,,,,,,,,,
Adult Female,Brain,photon,10.0,1000,5600,0.027899999999999998,0.0043,0.0,0.0,0.0,0.0,,,0.0,,,0.03103103103103103,0.010551888297219699,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,1400,0.0207,0.0071600000000000006,0.00031697314200850003,0.0,0.0,5.3239045895757076e-15,0.4165123625957768,41.65123625957768,5.32831946288629e-15,0.05916249719402274,5.916249719402273,0.02302302302302302,0.017570120978626293,0.8991,0.40751000000000004,7.431077623947597e-15,0.061146427775776814,6.114642777577681,0.004638113842289414,0.00028360409307338035,2.989906414011472e-15,0.0018661528014842204,0.00011040625988142786
Adult Female,Liver,photon,10.0,1000,1500,,0.00014000000000000001,0.0002039536729542,,0.0,,,,3.389313113516436e-15,,,,0.0003435498515373856,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,1700,,0.008320000000000001,0.0002539256348405,,0.0,,,,5.146881041347702e-15,,,,0.02041667689136463,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,1800,,0.00019,0.000447891455365,,0.0,,,,4.487200717392059e-15,,,,0.0004662462270864518,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,2000,,0.012029999999999999,8.04081142983e-05,,0.0,,,,1.5775214486544078e-15,,,,0.029520747957105343,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,2100,,7.000000000000001e-05,0.0001575172169521,,0.0,,,,3.122293155202396e-15,,,,0.0001717749257686928,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,2300,,0.0070999999999999995,6.698462547628e-05,,0.0,,,,3.262903571364836e-16,,,,0.01742288532796741,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,2500,0.0072,0.0019,0.0003097433392749,0.0,0.0,3.761919763359868e-15,0.5235983784492001,52.35983784492001,3.776959938558676e-15,,,0.008008008008008008,0.004662462270864518,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,2700,0.0684,0.06420000000000001,5.443661967660001e-05,0.0,0.0,5.537914699777387e-16,0.38501842512853063,38.50184251285306,5.547619054564594e-16,,,0.07607607607607608,0.1575421462050011,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,2900,0.0603,0.033530000000000004,0.00014393348705271002,0.0,0.0,5.370924152266254e-16,0.5310141281796971,53.10141281796971,5.403766442844737e-16,,,0.06706706706706707,0.08228018944320385,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,3000,,0.00067,0.0,,0.0,,,,0.0,,,,0.001644131432357488,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,3200,,0.02367,2.1606613773700002e-05,,0.0,,,,5.586028845460827e-17,,,,0.05808446418492797,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,3300,,0.00033,0.0,,0.0,,,,0.0,,,,0.0008097960786238374,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,3500,,0.07991,1.940241660905e-05,,0.0,,,,1.1037155470556928e-16,,,,0.1960933474025177,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,3600,,0.0045899999999999995,0.0,,0.0,,,,0.0,,,,0.011263527275404282,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,3800,,0.024399999999999998,0.0,,0.0,,,,0.0,,,,0.05987583126794434,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,4000,0.0072,0.0016,2.33217261486e-06,0.0,0.0,5.853780550435408e-17,0.999499874937,99.9499874937,5.853780550435408e-17,,,0.008008008008008008,0.003926284017570121,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,4200,0.1575,0.039700000000000006,0.000233518224978247,0.0,0.0,1.7750376660802829e-15,0.28349726238729195,28.349726238729193,1.7827628119080412e-15,,,0.17517517517517517,0.09742092218595863,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,4400,0.1449,0.0229,0.0008918315877101388,0.0,0.0,1.5395344615469302e-14,0.05943587990825709,5.943587990825709,1.5407300922866712e-14,,,0.16116116116116116,0.05619494000147235,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,4600,0.0252,0.0076,0.000206618779611037,0.0,0.0,3.5770810475690525e-15,0.35231608905796047,35.231608905796044,3.578748499209741e-15,,,0.028028028028028028,0.018649849083458073,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,4800,0.0351,0.0088,0.00012070581616730001,0.0,0.0,1.7697068964504287e-15,0.5574160637769282,55.74160637769282,1.7697068964504287e-15,,,0.03903903903903904,0.021594562096635666,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,5000,0.1449,0.0206,0.0010121028194176658,0.0,0.0,1.538767690564334e-14,0.12722847890676472,12.722847890676473,1.5411906203444455e-14,,,0.16116116116116116,0.0505509067262153,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,5200,0.1107,0.018,0.000508136272889775,0.0,0.0,8.814548737798711e-15,0.19981604963852712,19.98160496385271,8.823326954125256e-15,,,0.12312312312312312,0.04417069519766385,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,5400,0.0891,0.0158,0.00023078703192054602,0.0,0.0,3.5634979899540615e-15,0.3419814764737354,34.19814764737354,3.56616787204444e-15,,,0.0990990990990991,0.038772054673504946,,,,,,,,,,
Adult Female,Liver,photon,10.0,1000,5600,0.027899999999999998,0.0043,0.0008180941896897327,0.0,0.0,1.0313195037503963e-14,0.3057170295752884,30.57170295752884,1.0333080734267992e-14,,,0.03103103103103103,0.010551888297219699,,,,,,,,,,
