Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ IDs,Target Region Name,Target Region Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%),Calculation Method
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,1170.2,1.1466103858252763e-14,0.007156579127999841,0.04129087277916347,4.129087277916347,Direct dose calculation
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,Colon wall,436.26476966999996,2.344626819845133e-14,0.014634009572288349,0.06564436746588186,6.564436746588186,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,7601_7801_8001_8201_8401,Stem cells of colon,1.1005784699999999,2.6902367558620002e-14,0.01679113712416157,0.16017415528179785,16.017415528179786,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,9700_9900,RLung + LLung,1060.69435,3.9446379471014054e-14,0.024620493542297152,0.038444080777027996,3.8444080777028,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,7200_7201_7202_7203,Stomach wall,171.89965309999997,7.912601091901081e-14,0.04938657151769177,0.05718677980662545,5.7186779806625445,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,7201,Stem cells of stomach,1.05546897,7.06362737e-14,0.0440876943284671,0.1269732392,12.69732392,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,6200_6300_6400_6500,Breast-a + Breast-g,22.94243749,1.2082508027376989e-14,0.007541308349512299,0.3352201460476522,33.52201460476522,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,12900_13000,Testes,31.775275800000003,0.0,0.0,0.0,0.0,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,13700_13701,Urinary bladder wall,45.214551199999995,3.087371535353667e-18,1.926985745414297e-06,0.9999499987000001,99.99499987000002,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,13701,Urinary bladder basal cells,1.8323032,0.0,0.0,0.0,0.0,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,11000_11001_11002,Oesophagus wall,45.8503585176,3.85991841156357e-14,0.02409171579245366,0.14956812957060056,14.956812957060055,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,11001,Oesophagus basal cells,0.0912091276,3.5871165410000006e-14,0.0223890204418012,0.3350638512,33.50638512,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,9500,Liver,2088.2318,5.425934921e-13,0.3386602204685714,0.004685971978,0.46859719780000003,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,13200,Thyroid,20.661609,6.093457656e-17,3.803237125476878e-05,0.7396452548,73.96452547999999,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,1400_1500_1700_2000_2100_2300_2500_2700_2900_3000_3200_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,543.48,3.775776778104984e-15,0.002356654502368182,0.040192021915932505,4.0192021915932505,Direct dose calculation
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,6100,Brain,1449.54045,3.2099501519999995e-18,2.003493300227595e-06,0.7359154631000001,73.59154631000001,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,12000_12100,Salivary glands,81.37683,2.128248681435236e-17,1.3283483457888006e-05,0.7052659143,70.52659143,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,12200_12201,Skin,3176.439849,2.2931805266648667e-15,0.0014312907066556255,0.04557172634131888,4.557172634131888,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,12201,Basal cells of skin,93.698649,2.2036674750000002e-15,0.0013754210542307,0.0753010908,7.53010908,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,100_200,RAdrenal + LAdrenal,15.365755159999999,1.2653242373757865e-13,0.07897532709716602,0.14147610206652916,14.147610206652917,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,300_301_302_303_401_402_403_404_405,ET region,37.96397017849999,7.1689681195159e-18,4.474517957248118e-06,0.9999499986999998,99.99499986999997,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,7000,Gallbladder wall,9.17019857,3.56606785e-13,0.2225764484591917,0.06770465817,6.770465817,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,8700,Heart wall,341.40684,3.5916139250000006e-14,0.0224170909048485,0.06817937115,6.817937115,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,8900_9000_9100_9200_9300_9400,RKidney + LKidney,373.53372264000006,3.7827680826169434e-14,0.02361018131423559,0.06894157329104489,6.894157329104489,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,10200_10300_10400_10500,Systemic lymph nodes,139.32107328,2.9314986668835642e-15,0.0018296975531124182,0.21287138182259027,21.287138182259028,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,10600,Muscle,26267.367,2.411567769e-15,0.0015051822113891,0.02737418223,2.7374182229999997,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,500_501_600,Oral mucosa,0.122504235,0.0,0.0,0.0,0.0,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,11300,Pancreas,153.63712800000002,8.226269595e-14,0.0513443363261563,0.07794592052,7.7945920520000005,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,11500,Prostate,15.589338599999998,3.631580821e-17,2.2666544648910576e-05,0.9999499987,99.99499987,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,7400_7401_7402_7403,Small intestine wall,763.2671439299999,1.784804524278701e-15,0.0011139873634424576,0.15998501923892372,15.998501923892372,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,7401,Stem cells of small intestine,2.00367066,8.206148829e-16,0.0005121875238258,0.3081496098,30.81496098,
ICRP 145 Adult Male Resized to Filipino,9500,Liver,electron,10.0,10000,12700,Spleen,202.09854,6.834368667000001e-16,0.0004265677405329,0.3568572052999999,35.68572052999999,
