Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ IDs,Target Region Name,Target Region Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%),Calculation Method
Adult Male,6100,Brain,photon,10.0,1000,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,1170.2,3.8115209755846144e-15,0.002378964275661006,0.14342476463198148,14.342476463198148,Direct dose calculation
Adult Male,6100,Brain,photon,10.0,1000,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,1170.1999999999998,4.429657700558712e-15,0.0027647748734793,0.0481423087204008,4.814230872040081,Fluence-to-dose response functions
Adult Male,6100,Brain,photon,10.0,1000,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,Colon wall,493.0286250496823,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,1000,9700_9900,RLung + LLung,1198.7383429115457,1.4131894586346704e-15,0.0008820434830000732,0.6115577584309115,61.155775843091156,
Adult Male,6100,Brain,photon,10.0,1000,7200_7201_7202_7203,Stomach wall,194.2706753681761,1.6863026055519216e-18,1.0525073014839802e-06,0.9994998748999999,99.94998749,
Adult Male,6100,Brain,photon,10.0,1000,6200_6300_6400_6500,Breast-a + Breast-g,25.898324961339796,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,1000,12900_13000,Testes,37.2335030541024,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,1000,13700_13701,Urinary bladder wall,51.098861067696,3.865673549109248e-15,0.002412763653566958,0.9994998749000003,99.94998749000003,
Adult Male,6100,Brain,photon,10.0,1000,11000_11001_11002,Oesophagus wall,51.805516059568895,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,1000,9500,Liver,2360.0000048976,7.441380606999999e-16,0.000464454445851,0.7838129541,78.38129540999999,
Adult Male,6100,Brain,photon,10.0,1000,13200,Thyroid,23.350524289154095,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,1000,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,544.4000000000001,6.418105602555526e-15,0.004005866435920006,0.13872080950952714,13.872080950952714,Direct dose calculation
Adult Male,6100,Brain,photon,10.0,1000,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,544.4,7.308577548059232e-15,0.0045616553087614,0.0273653092645028,2.73653092645028,Fluence-to-dose response functions
Adult Male,6100,Brain,photon,10.0,1000,6100,Brain,1517.389677890517,5.859648205000001e-14,0.0365730474446575,0.1100449654,11.00449654,
Adult Male,6100,Brain,photon,10.0,1000,12000_12100,Salivary glands,88.09072105494198,9.301121275597161e-15,0.005805303284430281,0.9835781918263868,98.35781918263868,
Adult Male,6100,Brain,photon,10.0,1000,12200_12201_12300_12301_12400_12401_12500_12501,Skin,3469.5686797503827,1.6609280774904225e-15,0.001036669766768372,0.14983753939006694,14.983753939006695,
Adult Male,6100,Brain,photon,10.0,1000,100_200,RAdrenal + LAdrenal,17.3654826537696,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,1000,300_301_302_303_401_402_403_404_405,ET region,40.874294211561896,6.957198110040323e-15,0.004342341513664018,0.850453586600467,85.0453586600467,
Adult Male,6100,Brain,photon,10.0,1000,7000,Gallbladder wall,10.363612759847,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,1000,8700,Heart wall,385.83881449935967,1.290731732e-17,8.056113817972959e-06,0.9994998749,99.94998749,
Adult Male,6100,Brain,photon,10.0,1000,8900_9000_9100_9200_9300_9400,RKidney + LKidney,422.1460954257534,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,1000,10200_10300_10400_10500,Systemic lymph nodes,157.75215354934082,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,1000,10600_10700_10800_10900,Muscle,29776.620790656812,1.0397163735980452e-15,0.0006489399180677878,0.16017557077496145,16.017557077496143,
Adult Male,6100,Brain,photon,10.0,1000,500_501_600,Oral mucosa,0.132558756435,1.3581502741529633e-14,0.00847690726060757,0.8001864688099246,80.01864688099246,
Adult Male,6100,Brain,photon,10.0,1000,11300,Pancreas,173.6312955899076,5.434128123e-17,3.3917159991489045e-05,0.9994998749,99.94998749,
Adult Male,6100,Brain,photon,10.0,1000,11500,Prostate,17.6181441863475,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,1000,7400_7401_7402_7403,Small intestine wall,862.6001132021238,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,1000,12700,Spleen,228.399995069508,3.907682287e-18,2.4389834454421608e-06,0.9994998749,99.94998749,
Adult Male,6100,Brain,photon,10.0,1000,13100,Thymus,25.9090285487644,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,1000,500_13300_13301,Tongue,75.63116131116001,7.763873664394406e-15,0.0048458287929287365,0.603691926109487,60.369192610948694,
Adult Male,6100,Brain,photon,10.0,1000,13400,Tonsils,3.1090947489247,1.415490531e-13,0.0883479699405033,0.7262544562,72.62544562,
Adult Male,6100,Brain,photon,10.0,1000,7600_7601_7602_7800_7801_7802,Right colon wall (ascending + right transverse),199.8816354031003,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,1000,8000_8001_8002_8200_8201_8202,Left colon wall (left transverse + descending),199.8816446823837,0.0,0.0,0.0,0.0,
Adult Male,6100,Brain,photon,10.0,1000,8400_8401_8402_8600,Rectosigmoid colon wall (sigmoid + rectum),93.2653449641983,0.0,0.0,0.0,0.0,
