Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ IDs,Target Region Name,Target Region Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%),Calculation Method
Adult Female,6100,Brain,photon,10.0,1000,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,899.1,3.6212345655539545e-15,0.0022601968401657156,0.15217428480846648,15.217428480846648,Direct dose calculation
Adult Female,6100,Brain,photon,10.0,1000,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,899.1,4.7493665578364e-15,0.0029643214468678,0.0393193704680936,3.9319370468093617,Fluence-to-dose response functions
Adult Female,6100,Brain,photon,10.0,1000,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,Colon wall,450.2518559416332,0.0,0.0,0.0,0.0,
Adult Female,6100,Brain,photon,10.0,1000,9700_9900,RLung + LLung,949.7733446006616,1.7309041493396866e-15,0.001080345395512541,0.9209468978429917,92.09468978429916,
Adult Female,6100,Brain,photon,10.0,1000,7200_7201_7202_7203,Stomach wall,172.87288770036602,0.0,0.0,0.0,0.0,
Adult Female,6100,Brain,photon,10.0,1000,6200_6300_6400_6500,Breast-a + Breast-g,512.3095308708365,1.3980415033144005e-16,8.725888729406999e-05,0.616329488695352,61.6329488695352,
Adult Female,6100,Brain,photon,10.0,1000,11100_11200,ROvary + LOvary,12.6365476832867,0.0,0.0,0.0,0.0,
Adult Female,6100,Brain,photon,10.0,1000,13700_13701,Urinary bladder wall,40.80452677620801,0.0,0.0,0.0,0.0,
Adult Female,6100,Brain,photon,10.0,1000,11000_11001_11002,Oesophagus wall,43.218221843014405,0.0,0.0,0.0,0.0,
Adult Female,6100,Brain,photon,10.0,1000,9500,Liver,1810.000002004968,1.631465868e-15,0.0010182809019795,0.6410004003,64.10004003,
Adult Female,6100,Brain,photon,10.0,1000,13200,Thyroid,19.4553068342601,0.0,0.0,0.0,0.0,
Adult Female,6100,Brain,photon,10.0,1000,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,407.50999999999993,5.724571880557366e-15,0.003572996733990381,0.1556011034874912,15.56011034874912,Direct dose calculation
Adult Female,6100,Brain,photon,10.0,1000,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,407.51,8.110320909134768e-15,0.0050620641551156,0.0272971209002264,2.729712090022644,Fluence-to-dose response functions
Adult Female,6100,Brain,photon,10.0,1000,6100,Brain,1349.568113424676,5.6168138010000014e-14,0.0350573943085001,0.12112367660000001,12.11236766,
Adult Female,6100,Brain,photon,10.0,1000,12000_12100,Salivary glands,71.7597616442942,4.3396066018867973e-14,0.02708569398526791,0.44784444294610753,44.78444429461075,
Adult Female,6100,Brain,photon,10.0,1000,12200_12201_12300_12301_12400_12401_12500_12501,Skin,2422.0288890218944,1.8572951414857033e-15,0.0011592324479535576,0.13813651869913007,13.813651869913008,
Adult Female,6100,Brain,photon,10.0,1000,100_200,RAdrenal + LAdrenal,15.465087135504,0.0,0.0,0.0,0.0,
Adult Female,6100,Brain,photon,10.0,1000,300_301_302_303_401_402_403_404_405,ET region,19.0777948977352,0.0,0.0,0.0,0.0,
Adult Female,6100,Brain,photon,10.0,1000,7000,Gallbladder wall,8.2011184280042,0.0,0.0,0.0,0.0,
Adult Female,6100,Brain,photon,10.0,1000,8700,Heart wall,290.88996946725456,1.324405187e-15,0.0008266286992923,0.9994998749,99.94998749,
Adult Female,6100,Brain,photon,10.0,1000,8900_9000_9100_9200_9300_9400,RKidney + LKidney,356.9049464935012,0.0,0.0,0.0,0.0,
Adult Female,6100,Brain,photon,10.0,1000,10200_10300_10400_10500,Systemic lymph nodes,125.5694786065128,0.0,0.0,0.0,0.0,
Adult Female,6100,Brain,photon,10.0,1000,10600_10700_10800_10900,Muscle,17926.43830028058,1.1693322356827672e-15,0.0007298397760073764,0.18983357700852108,18.983357700852107,
Adult Female,6100,Brain,photon,10.0,1000,500_501_600,Oral mucosa,0.10108664506500001,3.0707311590717843e-15,0.0019165996394576506,0.9994998749,99.94998749,
