Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,100,Adrenal_left,6.07144455,5.4937998919999995e-17,3.428960187919169e-05,0.7104283023,71.04283022999999
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,200,Adrenal_right,7.703215199999999,7.524781583e-18,4.696599253363264e-06,0.9999499987,99.99499987
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,300,ET1_0~8 um,0.00792453406,5.939321725e-14,0.03707033044273176,0.8905835204,89.05835204
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,301,ET1_8~40 um,0.031966979799999996,5.934632493000001e-14,0.037041062558651514,0.714721903,71.47219030000001
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,302,ET1_40~50 um,0.01007870546,3.3748190240000005e-14,0.02106396356296013,0.8665209078,86.65209078000001
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,303,ET1_50 um~surface,4.04565431,2.78394091e-14,0.017375992452528636,0.6427821459,64.27821459
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,400,ET2_-15~0 um,0.0958725,1.3514526e-14,0.008435103666604117,0.4222149363,42.22149363
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,401,ET2_0~40 um,0.264961845,1.781009544e-14,0.011116187230577917,0.4369798311,43.69798311
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,402,ET2_40~50 um,0.0665561019,1.772154928e-14,0.011060921064463049,0.4862692232,48.62692232
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,403,ET2_50~55 um,0.0333505818,1.64668287e-14,0.010277786075864733,0.4158675253,41.58675253
