Phantom,Source Organ,Source Type,Source Energy (MeV),Number of Particles,Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Uncertainty (kg^-1)
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,1400,0.0207,0.0071600000000000006,0.000163121735903367,0.0,0.0,2.498661195263673e-15,0.18773674957535408,18.77367495753541,2.5031142813895696e-15,0.02108969395278652,2.108969395278652,0.02302302302302302,0.017592569842010863,0.8991,0.40698999999999996,7.761725957569829e-15,0.02089259511008725,2.0892595110087253,0.004844488299765276,0.00010121393256255091,3.182197835395466e-15,0.0019861716666351435,4.1887752587031106e-05
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,1500,,0.00014000000000000001,0.000331154512307089,,0.0,,,,5.3606128555434325e-15,,,,0.0003439887957935085,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,1700,,0.008320000000000001,0.00028896828219068896,,0.0,,,,4.998802145366197e-15,,,,0.02044276272144279,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,2000,,0.012029999999999999,0.000151647984991465,,0.0,,,,2.5361185134868963e-15,,,,0.02955846580997076,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,2100,,7.000000000000001e-05,0.00014181148417199,,0.0,,,,2.1875166203856606e-15,,,,0.00017199439789675425,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,2300,,0.0070999999999999995,4.8431255664521e-05,,0.0,,,,8.321800715590351e-16,,,,0.017445146072385072,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,2500,0.0072,0.0019,0.000201590655524971,0.0,0.0,2.922610315334669e-15,0.19942156892947896,19.942156892947896,2.9271731253271525e-15,,,0.008008008008008008,0.004668419371483329,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,2700,0.0684,0.06420000000000001,6.733159542206939e-05,0.0,0.0,8.391734852458786e-16,0.1307573753650118,13.075737536501181,8.403495648212706e-16,,,0.07607607607607608,0.1577434334995946,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,2900,0.0603,0.033530000000000004,7.678631274977319e-05,0.0,0.0,9.19113823207365e-16,0.2678951721602873,26.78951721602873,9.204882829083667e-16,,,0.06706706706706707,0.08238531659254529,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,3000,,0.00067,5.4314089095614996e-05,,0.0,,,,6.69022402993323e-16,,,,0.0016462320941546477,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,3200,,0.02367,3.3400227750349993e-06,,0.0,,,,5.2867890121040396e-17,,,,0.058158677117373894,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,3500,,0.07991,6.219913175548401e-06,,0.0,,,,9.903845071619013e-17,,,,0.19634389051328044,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,3600,,0.0045899999999999995,2.1145231724750003e-05,,0.0,,,,3.0417343215455164e-16,,,,0.011277918376372884,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,3800,,0.024399999999999998,1.808728305013e-06,,0.0,,,,4.19018507236014e-17,,,,0.05995233298115433,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,4000,0.0072,0.0016,8.4716249206977e-05,0.0,0.0,1.2288113738402825e-15,0.3858140480983187,38.581404809831874,1.229380099452673e-15,,,0.008008008008008008,0.003931300523354383,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,4200,0.1575,0.039700000000000006,0.0001403180834482117,0.0,0.0,1.7675907094271318e-15,0.10779993404147568,10.779993404147568,1.7697658906285548e-15,,,0.17517517517517517,0.09754539423573064,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,4400,0.1449,0.0229,0.0008153826690128168,0.0,0.0,1.425625960898498e-14,0.020373215662165375,2.0373215662165376,1.426967791643868e-14,,,0.16116116116116116,0.0562667387405096,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,4600,0.0252,0.0076,0.00023032372570777328,0.0,0.0,3.3671514885554797e-15,0.10908088710952162,10.908088710952162,3.3732735755666157e-15,,,0.028028028028028028,0.018673677485933318,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,4800,0.0351,0.0088,0.000159521301340287,0.0,0.0,2.52609933112148e-15,0.20141592871876124,20.141592871876124,2.529049168326695e-15,,,0.03903903903903904,0.021622152878449104,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,5000,0.1449,0.0206,0.0008997356876726709,0.0,0.0,1.510009826508169e-14,0.04291724614305419,4.291724614305419,1.511687985476357e-14,,,0.16116116116116116,0.050615494238187675,,,,,,,,,,
Adult ICRP 145 Female Resized to Filipino,Liver,photon,10.0,10000,5200,0.1107,0.018,0.0008244096609836132,0.0,0.0,1.3035666413094207e-14,0.056127836541468135,5.6127836541468135,1.30475648757362e-14,,,0.12312312312312312,0.0442271308877368,,,,,,,,,,
