Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Number of Particles,Target Organ IDs,Target Region Name,Target Region Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%),Calculation Method
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,899.1,5.154159572781601e-15,0.0032169733744736623,0.05359933599168878,5.359933599168878,Direct dose calculation
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,899.1,5.578501015299756e-15,0.0034818264708884,0.0171223746401961,1.712237464019615,Fluence-to-dose response functions
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,Colon wall,401.010386868,4.634732279828657e-16,0.00028927723582248334,0.5659570181011709,56.59570181011709,
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,9700_9900,RLung + LLung,845.959877,1.1829785848145806e-15,0.0007383571572013158,0.26124393914636346,26.124393914636347,
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,7200_7201_7202_7203,Stomach wall,153.976890312,4.0903524494015357e-16,0.00025529971930678537,0.6864144807761877,68.64144807761878,
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,6200_6300_6400_6500,Breast-a + Breast-g,476.8716738,2.664603412281385e-15,0.0016631146377593885,0.2680539484518472,26.805394845184722,
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,11100_11200,ROvary + LOvary,11.255306139999998,0.0,0.0,0.0,0.0,
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,13700_13701,Urinary bladder wall,36.3443808,0.0,0.0,0.0,0.0,
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,11000_11001_11002,Oesophagus wall,38.5192867332,2.777786441142947e-15,0.0017337579279308672,0.5440146477662251,54.40146477662251,
Adult ICRP 145 Female Resized to Filipino,6100,Brain,photon,10.0,10000,9500,Liver,1612.1540000000002,4.673852953e-16,0.0002917189561884,0.3538523143,35.385231430000005,
