Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Target Organ ID,Target Organ Name,Target Organ Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%)
Adult Male,9500,Liver,photon,10.0,100,Adrenal_left,8.6827395219656,9.3393e-15,0.005829132569911502,0.9301,93.01
Adult Male,9500,Liver,photon,10.0,200,Adrenal_right,8.682743131804001,3.9934e-14,0.02492484233795316,0.3228,32.28
Adult Male,9500,Liver,photon,10.0,300,ET1_0~8 um,0.022309011006,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,301,ET1_8~40 um,0.08953171142029999,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,302,ET1_40~50 um,0.0280764945985,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,303,ET1_50 um~surface,11.2912058306315,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,400,ET2_-15~0 um,0.1412003875,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,401,ET2_0~40 um,0.38983244306199993,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,402,ET2_40~50 um,0.09782525440189999,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,403,ET2_50~55 um,0.0489742500194,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,404,ET2_55~65 um,0.09805441229749999,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,405,ET2_65 um~surface,28.8084848041248,5.4959e-16,0.00034302709722331044,0.5855,58.550000000000004
Adult Male,9500,Liver,photon,10.0,500,Oral mucosa_tongue,0.08596550424,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,501,Oral mucosa_mouth floor,0.023515567425,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,600,Oral mucosa_lips_and cheeks,0.02307768477,0.0,0.0,0.0,0.0
Adult Male,9500,Liver,photon,10.0,700,Trachea,10.363608784414097,2.1916e-15,0.0013678891287589058,1.0,100.0
Adult Male,9500,Liver,photon,10.0,800,BB1_-11~-6 um,0.0251639823,1.5654e-15,0.0009770458305161486,1.0,100.0
Adult Male,9500,Liver,photon,10.0,801,BB1_-6~0 um,0.031163358601999997,1.5763e-15,0.0009838490754073112,1.0,100.0
Adult Male,9500,Liver,photon,10.0,802,BB1_0~10 um,0.052011207849299995,1.5585e-15,0.0009727391892547704,1.0,100.0
Adult Male,9500,Liver,photon,10.0,803,BB1_10~35 um,0.13041112597489998,1.5908e-15,0.0009928992635652798,1.0,100.0
Adult Male,9500,Liver,photon,10.0,804,BB1_35~40 um,0.026156756824199996,1.6116e-15,0.001005881602440159,1.0,100.0
