Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Target Organ IDs,Target Region Name,Target Region Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%),Calculation Method
Adult Female,9500,Liver,electron,1.0,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,899.1,5.232627665425426e-16,0.0032659493057029,0.9949874370999998,99.49874371,Direct dose calculation
Adult Female,9500,Liver,electron,1.0,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,Colon wall,450.2518559416332,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,electron,1.0,9700_9900,RLung + LLung,949.7733446006616,8.438703589239986e-16,0.0052670245028928,0.941223593,94.1223593,
Adult Female,9500,Liver,electron,1.0,7200_7201_7202_7203,Stomach wall,172.87288770036602,5.300897127910309e-15,0.0330855975266371,0.9949874371,99.49874371,
Adult Female,9500,Liver,electron,1.0,6200_6300_6400_6500,Breast-a + Breast-g,512.3095308708365,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,electron,1.0,11100_11200,ROvary + LOvary,12.6365476832867,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,electron,1.0,13700_13701,Urinary bladder wall,40.80452677620801,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,electron,1.0,11000_11001_11002,Oesophagus wall,43.218221843014405,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,electron,1.0,9500,Liver,1810.000002004968,8.598078552000001e-14,0.5366498530523781,0.01370152673,1.370152673,
Adult Female,9500,Liver,electron,1.0,13200,Thyroid,19.4553068342601,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,electron,1.0,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,407.50999999999993,1.8245537298814755e-16,0.0011387968661897,0.9949874371,99.49874371,Direct dose calculation
Adult Female,9500,Liver,electron,1.0,6100,Brain,1349.568113424676,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,electron,1.0,12000_12100,Salivary glands,71.7597616442942,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,electron,1.0,12200_12201_12300_12301_12400_12401_12500_12501,Skin,2422.0288890218944,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,electron,1.0,100_200,RAdrenal + LAdrenal,15.465087135504,0.0,0.0,0.0,0.0,
