Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Target Organ IDs,Target Region Name,Target Region Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%),Calculation Method
Adult Female,9500,Liver,photon,10.0,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,899.1,7.263214143208e-15,0.0045333416984586,0.171313475047966,17.1313475047966,Direct dose calculation
Adult Female,9500,Liver,photon,10.0,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,899.1,7.959437576654085e-15,0.0049678901862293,0.2077416502017654,20.77416502017654,Direct dose calculation
Adult Female,9500,Liver,photon,10.0,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,899.1,7.315855723540446e-15,0.0045661979885926,0.0650665632378895,6.506656323788953,Fluence-to-dose response functions
Adult Female,9500,Liver,photon,10.0,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,899.1,6.494415641114529e-15,0.0040534954157338,0.0649572531324884,6.495725313248841,Fluence-to-dose response functions
Adult Female,9500,Liver,photon,10.0,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,Colon wall,450.2518559416332,5.799199137857042e-15,0.0036195754043541,0.3793180571302697,37.931805713026975,
Adult Female,9500,Liver,photon,10.0,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,Colon wall,450.2518559416332,5.193991320243352e-15,0.0032418343957971,0.4165594671626665,41.655946716266655,
Adult Female,9500,Liver,photon,10.0,9700_9900,RLung + LLung,949.7733446006616,1.1232936349684296e-14,0.0070110474159398,0.2467674673597622,24.67674673597622,
Adult Female,9500,Liver,photon,10.0,9700_9900,RLung + LLung,949.7733446006616,1.1406793683933461e-14,0.0071195606288776,0.2622512900108385,26.22512900108385,
Adult Female,9500,Liver,photon,10.0,7200_7201_7202_7203,Stomach wall,172.87288770036602,1.7628828920758218e-14,0.0110030495681035,0.3466478341369923,34.66478341369923,
Adult Female,9500,Liver,photon,10.0,7200_7201_7202_7203,Stomach wall,172.87288770036602,2.8181135563785854e-14,0.0175892813349988,0.3083392516553518,30.833925165535188,
Adult Female,9500,Liver,photon,10.0,6200_6300_6400_6500,Breast-a + Breast-g,512.3095308708365,1.6986928720127984e-14,0.0106024069753903,0.2919622738618656,29.196227386186564,
Adult Female,9500,Liver,photon,10.0,6200_6300_6400_6500,Breast-a + Breast-g,512.3095308708365,7.501532065057747e-15,0.0046820880456418,0.425997272157827,42.59972721578271,
Adult Female,9500,Liver,photon,10.0,11100_11200,ROvary + LOvary,12.6365476832867,3.5861658784677907e-14,0.0223830868729796,0.9994998749,99.94998749,
Adult Female,9500,Liver,photon,10.0,11100_11200,ROvary + LOvary,12.6365476832867,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,photon,10.0,13700_13701,Urinary bladder wall,40.80452677620801,9.467756068622346e-15,0.005909308541709,0.6994054941805253,69.94054941805253,
Adult Female,9500,Liver,photon,10.0,13700_13701,Urinary bladder wall,40.80452677620801,6.384874715516996e-17,3.98512534761969e-05,0.9994998748999998,99.94998748999998,
Adult Female,9500,Liver,photon,10.0,11000_11001_11002,Oesophagus wall,43.218221843014405,1.014839577020998e-14,0.0063341304290988,0.5701594300420241,57.015943004202406,
Adult Female,9500,Liver,photon,10.0,11000_11001_11002,Oesophagus wall,43.218221843014405,1.8998804769980383e-14,0.0118581212375747,0.7001892591089492,70.01892591089492,
Adult Female,9500,Liver,photon,10.0,9500,Liver,1810.000002004968,5.436916196000001e-14,0.0339345617744188,0.1020561138999999,10.205611389999998,
Adult Female,9500,Liver,photon,10.0,9500,Liver,1810.000002004968,4.877986e-14,0.0304459938840944,0.1101965459,11.01965459,
Adult Female,9500,Liver,photon,10.0,13200,Thyroid,19.4553068342601,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,photon,10.0,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,407.50999999999993,3.437239130854336e-15,0.002145355922632,0.1768978720116072,17.68978720116073,Direct dose calculation
Adult Female,9500,Liver,photon,10.0,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,407.50999999999993,2.8255620212711244e-15,0.0017635770996216,0.1958695754732656,19.586957547326563,Direct dose calculation
Adult Female,9500,Liver,photon,10.0,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,407.51,3.002939081596849e-15,0.001874287152784,0.066958491107015,6.695849110701502,Fluence-to-dose response functions
