# Header
# Document: Specific Absorbed Fractions (kg^-1)
# Phantom type: Adult Female Reference Computational Phantom
# Source type: photons
# Number of source energies: 1
# Number of source organs: 2
# Number of target organs: 42
# End Header
Source Organ,Target Organ,10 MeV
Brain,Red (active) marrow,0.0029643214468678
Brain,Colon wall,0.0
Brain,RLung + LLung,0.0010803453955125
Brain,Stomach wall,0.0
Brain,Breast-a + Breast-g,8.725888729406999e-05
Brain,ROvary + LOvary,0.0
Brain,Urinary bladder wall,0.0
Brain,Oesophagus wall,0.0
Brain,Liver,0.0010182809019795
Brain,Thyroid,0.0
Brain,50-um endosteal region,0.0050620641551156
Brain,Brain,0.0350573943085001
Brain,Salivary glands,0.0270856939852679
Brain,Skin,0.0011592324479535
Brain,RAdrenal + LAdrenal,0.0
Brain,ET region,0.0
Brain,Gallbladder wall,0.0
Brain,Heart wall,0.0008266286992923
Brain,RKidney + LKidney,0.0
Brain,Systemic lymph nodes,0.0
Brain,Muscle,0.0007298397760073
Brain,Oral mucosa,0.0019165996394576
Brain,Pancreas,0.0
Brain,Small intestine wall,0.0
Brain,Spleen,0.0
Brain,Thymus,0.0080950167383359
Brain,Uterus/cervix,0.0
Brain,Tongue,0.0152181694678044
Brain,Tonsils,0.0
Brain,Right colon wall (ascending + right transverse),0.0
Brain,Left colon wall (left transverse + descending),0.0
Brain,Rectosigmoid colon wall (sigmoid + rectum),0.0
Brain,Extrathoracic lymph nodes,0.0266865757324499
Brain,Alveolar-interstitium,0.0010803453955125
Brain,Thoracic lymph nodes,0.0065810252104829
Brain,Entire lens of eye,0.0
Brain,Pituitary gland,0.3844062297066544
Brain,Spinal cord,0.0
Brain,Ureters,0.0
Brain,Adipose/residual tissue,0.0008283602416719
Liver,Red (active) marrow,0.0046381138422894
Liver,Colon wall,0.0036930173172375
Liver,RLung + LLung,0.0076646683789552
Liver,Stomach wall,0.0099326204477258
Liver,Breast-a + Breast-g,0.0044827541644855
Liver,ROvary + LOvary,4.86980356692648e-05
Liver,Urinary bladder wall,0.0022602329708693
Liver,Oesophagus wall,0.0039863722160411
Liver,Liver,0.0302455838024679
Liver,Thyroid,0.0
Liver,50-um endosteal region,0.0018661528014842
Liver,Brain,1.201071071168873e-05
Liver,Salivary glands,0.0062221862409155
Liver,Skin,0.0013144074202002
Liver,RAdrenal + LAdrenal,0.0063508024015817
Liver,ET region,0.0
Liver,Gallbladder wall,0.028021481400535
Liver,Heart wall,0.006500120922373
Liver,RKidney + LKidney,0.0101526845190342
Liver,Systemic lymph nodes,0.0021327599966753
Liver,Muscle,0.0014383353055698
Liver,Oral mucosa,0.0
Liver,Pancreas,0.0146804301603623
Liver,Small intestine wall,0.0036660498153847
Liver,Spleen,0.0136773812605741
Liver,Thymus,0.0
Liver,Uterus/cervix,0.0057426787607243
Liver,Tongue,0.0
Liver,Tonsils,0.0
Liver,Right colon wall (ascending + right transverse),0.0018442579215312
Liver,Left colon wall (left transverse + descending),0.0058342121445241
Liver,Rectosigmoid colon wall (sigmoid + rectum),0.0030874595237116
Liver,Extrathoracic lymph nodes,0.0
Liver,Alveolar-interstitium,0.0076646683789552
Liver,Thoracic lymph nodes,0.0095710894944938
Liver,Entire lens of eye,0.0
Liver,Pituitary gland,0.0
Liver,Spinal cord,0.0118683357730213
Liver,Ureters,0.0083327246182331
Liver,Adipose/residual tissue,0.0022611892637462
