# Header
# Document: Specific Absorbed Fractions (kg^-1)
# Phantom type: Adult Male Reference Computational Phantom
# Source type: electrons
# Number of source energies: 1
# Number of source organs: 2
# Number of target organs: 42
# End Header
Source Organ,Target Organ,10 MeV
Brain,Red (active) marrow,0.0119971485102814
Brain,Colon wall,0.0
Brain,RLung + LLung,7.694275241057367e-06
Brain,Stomach wall,0.0
Brain,Breast-a + Breast-g,0.0
Brain,Testes,0.0
Brain,Urinary bladder wall,0.0
Brain,Oesophagus wall,4.522389953019354e-05
Brain,Liver,1.838743197524489e-06
Brain,Thyroid,0.0
Brain,50-um endosteal region,0.0234415810437068
Brain,Brain,0.4804220890291975
Brain,Salivary glands,0.0003436244735039
Brain,Skin,0.0021127809566264
Brain,RAdrenal + LAdrenal,0.0
Brain,ET region,0.0294567267980985
Brain,Gallbladder wall,0.0
Brain,Heart wall,0.0
Brain,RKidney + LKidney,0.0
Brain,Systemic lymph nodes,0.0
Brain,Muscle,0.0007420971859531
Brain,Oral mucosa,0.0042036261993301
Brain,Pancreas,0.0
Brain,Prostate,0.0
Brain,Small intestine wall,0.0
Brain,Spleen,0.0
Brain,Thymus,0.0
Brain,Tongue,0.0083418420895876
Brain,Tonsils,0.015730687924888
Brain,Right colon wall (ascending + right transverse),0.0
Brain,Left colon wall (left transverse + descending),0.0
Brain,Rectosigmoid colon wall (sigmoid + rectum),0.0
Brain,Extrathoracic lymph nodes,0.0593594086143725
Brain,Alveolar-interstitium,7.694275241057367e-06
Brain,Thoracic lymph nodes,0.0
Brain,Entire lens of eye,0.0
Brain,Pituitary gland,0.0
Brain,Spinal cord,0.0053744880110394
Brain,Ureters,0.0
Brain,Adipose/residual tissue,0.0018940195951674
Liver,Red (active) marrow,0.0060001055186282
Liver,Colon wall,0.00603092052519
Liver,RLung + LLung,0.0208757661674852
Liver,Stomach wall,0.0349306044174908
Liver,Breast-a + Breast-g,5.911954785151599e-06
Liver,Testes,0.0
Liver,Urinary bladder wall,0.0
Liver,Oesophagus wall,0.0174699366352167
Liver,Liver,0.3083231673194098
Liver,Thyroid,0.0
Liver,50-um endosteal region,0.0019769312560595
Liver,Brain,0.0
Liver,Salivary glands,0.0
Liver,Skin,0.0008633618392981
Liver,RAdrenal + LAdrenal,0.0703021948541588
Liver,ET region,0.0
Liver,Gallbladder wall,0.2463158829839885
Liver,Heart wall,0.0232034485967932
Liver,RKidney + LKidney,0.0172874650241887
Liver,Systemic lymph nodes,0.0009158962143517
Liver,Muscle,0.0011230938206029
Liver,Oral mucosa,0.0
Liver,Pancreas,0.0607293526039564
Liver,Prostate,0.0
Liver,Small intestine wall,0.0011943361275427
Liver,Spleen,0.0003322486344536
Liver,Thymus,0.0
Liver,Tongue,0.0
Liver,Tonsils,0.0
Liver,Right colon wall (ascending + right transverse),0.0134805599723256
Liver,Left colon wall (left transverse + descending),0.0013921884248221
Liver,Rectosigmoid colon wall (sigmoid + rectum),6.72456462113706e-06
Liver,Extrathoracic lymph nodes,0.0
Liver,Alveolar-interstitium,0.0208757661674852
Liver,Thoracic lymph nodes,0.0091458723707743
Liver,Entire lens of eye,0.0
Liver,Pituitary gland,0.0
Liver,Spinal cord,0.0001612298399678
Liver,Ureters,0.0022956123505479
Liver,Adipose/residual tissue,0.0038596696900819
